feature_list,group_threshold,fitness,metric,p_value,bin_size,group_strata_prop,count_bt,count_at,birth_iteration
"['P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9']",1,5497.67813994676,5497.67813994676,0.0,8,0.5,5000,5000,47
"['P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9']",0,5497.67813994676,5497.67813994676,0.0,8,0.5,5000,5000,48
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_57', 'R_61']",2,5497.67813994676,5497.67813994676,0.0,11,0.5,5000,5000,43
"['P_1', 'P_2', 'P_3', 'P_4', 'P_5', 'P_7', 'P_8', 'P_9', 'R_27']",1,5497.67813994676,5497.67813994676,0.0,9,0.5,5000,5000,46
"['P_1', 'P_10', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9']",1,5497.67813994676,5497.67813994676,0.0,8,0.5,5000,5000,47
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_57']",2,5497.67813994676,5497.67813994676,0.0,10,0.5,5000,5000,48
"['P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_57']",1,5497.67813994676,5497.67813994676,0.0,9,0.5,5000,5000,48
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61', 'R_8']",3,5497.67813994676,5497.67813994676,0.0,12,0.5,5000,5000,42
"['P_1', 'P_10', 'P_2', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_12']",1,5497.67813994676,5497.67813994676,0.0,9,0.5,5000,5000,37
"['P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_60']",1,5497.67813994676,5497.67813994676,0.0,9,0.5,5000,5000,48
"['P_1', 'P_10', 'P_2', 'P_3', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61']",1,5497.67813994676,5497.67813994676,0.0,10,0.5,5000,5000,45
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61', 'R_85']",2,5497.67813994676,5497.67813994676,0.0,11,0.5,5000,5000,44
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9']",1,5497.67813994676,5497.67813994676,0.0,10,0.5,5000,5000,45
"['P_1', 'P_10', 'P_2', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_60', 'R_8']",2,5497.67813994676,5497.67813994676,0.0,11,0.5,5000,5000,40
"['P_1', 'P_10', 'P_2', 'P_3', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_35']",1,5497.67813994676,5497.67813994676,0.0,10,0.5,5000,5000,48
"['P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_9']",1,5497.67813994676,5497.67813994676,0.0,8,0.5,5000,5000,48
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61']",2,5497.67813994676,5497.67813994676,0.0,10,0.5,5000,5000,45
