feature_list,group_threshold,fitness,pre_fitness,log_rank_score,log_rank_p_value,bin_size,group_strata_prop,count_bt,count_at,low_risk_area,birth_iteration,deletion_prop,cluster,residuals_score,residuals_p_value,HR,HR_CI,HR_p_value,adj_HR,adj_HR_CI,is_merge,adj_HR_p_value,pareto
"['P_1', 'P_2', 'P_3', 'P_4', 'P_6', 'P_8']",2,1.0,1.0,595.0219516326536,2.025683667331767e-131,6,0.4579,5421,4579,1.38706017305,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'P_6', 'P_8']",2,0.951229424500714,1.0,548.0083717648369,3.4139063620250923e-121,5,0.3191,6809,3191,1.2988962689,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'P_6']",1,0.9048374180359595,1.0,488.1133497322382,3.667138589638788e-108,4,0.4773,4773,5227,1.4063026623500001,42,0.0,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3']",1,0.8607079764250578,1.0,456.6611272387504,2.561493978042489e-101,3,0.3564,6436,3564,1.3043349362999999,48,0.0,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3']",0,0.8187307530779818,1.0,317.2663399523794,5.706363762095761e-71,2,0.3559,3559,6441,1.4381723959000001,37,0.0,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
['P_1'],0,0.7788007830714049,1.0,260.40278663449004,1.4019048251779375e-58,1,0.4023,5977,4023,1.28052148145,2,0.0,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'P_4', 'P_8']",2,0.7408182206817179,0.8524669408633652,539.1706444261251,2.8566518712898874e-119,5,0.3192,6808,3192,1.2967413294,46,0.0,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2']",0,0.7046880897187134,0.7052159772554634,300.5012811285941,2.5618836106748606e-67,2,0.3588,3588,6412,1.4265768507499998,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_6']",1,0.6703200460356393,0.5172501689743658,389.36658566055684,1.1370318036637742e-86,3,0.3497,6503,3497,1.2873814921000002,41,0.0038037545572269025,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'P_4']",1,0.6376281516217733,0.453453744354436,470.91456897566763,2.0265262348382518e-104,4,0.4675,4675,5325,1.4105396046999998,45,0.003998777223721223,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
