,Bin #,Score,Bins
0,Bin 1,4523.707375541381,"['P_4', 'P_10', 'P_5', 'P_6']"
1,Bin 2,4446.036684750627,"['P_3', 'P_2', 'P_7', 'P_5']"
2,Bin 3,4441.435176632882,"['P_5', 'P_2', 'P_9', 'P_10']"
3,Bin 4,4432.1885881160215,"['P_10', 'P_4', 'P_2', 'P_7']"
4,Bin 5,4397.228218818613,"['P_5', 'P_6', 'P_3', 'P_2']"
5,Bin 6,3832.426910796252,"['P_9', 'P_4', 'P_10']"
6,Bin 7,3824.025186811531,"['P_7', 'P_4', 'P_1']"
7,Bin 8,3821.1062027996027,"['P_10', 'P_4', 'P_2']"
8,Bin 9,3799.0954752881757,"['P_10', 'P_9', 'P_2']"
9,Bin 10,3795.927128999554,"['P_2', 'P_4', 'P_3']"
10,Bin 11,3756.185042268613,"['P_3', 'P_5', 'P_4']"
11,Bin 12,3742.6365492968143,"['P_9', 'P_8', 'P_5']"
12,Bin 13,3739.6054991137953,"['P_5', 'P_6', 'P_10']"
13,Bin 14,3739.6054991137953,"['P_10', 'P_5', 'P_6']"
14,Bin 15,3729.9443472036946,"['P_3', 'P_2', 'P_7']"
15,Bin 16,3723.48320256085,"['P_2', 'P_6', 'P_7']"
16,Bin 17,3697.214812933191,"['P_5', 'P_8', 'P_7']"
17,Bin 18,3695.489032018064,"['P_2', 'P_6', 'P_3']"
18,Bin 19,3670.8181841774885,"['P_8', 'P_3', 'P_6']"
19,Bin 20,3665.5436023721336,"['P_5', 'P_9', 'P_10']"
20,Bin 21,3641.346830019314,"['P_10', 'P_5', 'P_8']"
21,Bin 22,3059.5809487889437,"['P_9', 'P_1']"
22,Bin 23,2952.4628670501306,"['P_8', 'P_2']"
23,Bin 24,2931.5498384017437,"['P_9', 'P_6']"
24,Bin 25,2920.42113720819,"['P_10', 'P_1']"
25,Bin 26,2895.681770591136,"['P_2', 'P_4']"
26,Bin 27,2895.681770591136,"['P_4', 'P_2']"
27,Bin 45,2885.8141025435825,"['P_5', 'P_4']"
28,Bin 28,2875.3601947028383,"['P_7', 'P_1']"
29,Bin 29,2874.8071849315,"['P_4', 'P_1']"
30,Bin 30,2871.6565097422135,"['P_9', 'P_2']"
31,Bin 31,2871.6565097422135,"['P_2', 'P_9']"
32,Bin 32,2868.09806178298,"['P_10', 'P_2']"
33,Bin 33,2868.09806178298,"['P_2', 'P_10']"
34,Bin 34,2863.1191585803535,"['P_2', 'P_1']"
35,Bin 35,2863.1191585803535,"['P_1', 'P_2']"
36,Bin 36,2854.8677569689266,"['P_5', 'P_1']"
37,Bin 37,2854.8677569689266,"['P_1', 'P_5']"
38,Bin 38,2851.6101311702887,"['P_2', 'P_5']"
39,Bin 39,2851.6101311702887,"['P_5', 'P_2']"
40,Bin 40,2826.138777309806,"['P_7', 'P_6']"
41,Bin 46,2771.5262607399227,"['P_8', 'P_10']"
42,Bin 42,654.7561533022321,"['P_6', 'P_3', 'P_2', 'R_27']"
43,Bin 50,428.76726073542767,"['P_2', 'P_10', 'R_35']"
44,Bin 48,152.81072334254122,"['P_3', 'P_2', 'R_9', 'R_39']"
45,Bin 44,0.48064289523421866,['R_23']
46,Bin 43,0.012294685157187853,['R_8']
47,Bin 41,0.0,"['P_3', 'R_6', 'R_23', 'P_5', 'R_34', 'R_28', 'R_40']"
48,Bin 47,0.0,"['P_4', 'R_21', 'R_33', 'R_32']"
49,Bin 49,0.0,"['P_2', 'R_24', 'R_8', 'R_29', 'P_1']"
