,Bin #,Score,Bins
0,Bin 1,4174.3604633746,"['P_1', 'P_2', 'P_10', 'P_9']"
1,Bin 2,4119.683428633741,"['P_1', 'P_5', 'P_2', 'P_10']"
2,Bin 3,3985.5634420001206,"['P_3', 'P_5', 'P_6', 'P_10']"
3,Bin 4,3584.7591286309203,"['P_3', 'P_8', 'P_2']"
4,Bin 5,3477.673172091141,"['P_2', 'P_5', 'P_3']"
5,Bin 42,3477.673172091141,"['P_2', 'P_3', 'P_5']"
6,Bin 6,3438.7550086709102,"['P_9', 'P_7', 'P_1']"
7,Bin 7,3421.52556380568,"['P_2', 'P_3', 'P_6']"
8,Bin 8,3421.52556380568,"['P_3', 'P_6', 'P_2']"
9,Bin 9,3417.1592594026733,"['P_7', 'P_5', 'P_2']"
10,Bin 10,3417.1592594026733,"['P_7', 'P_2', 'P_5']"
11,Bin 11,3404.482835587805,"['P_2', 'P_6', 'P_5']"
12,Bin 12,3403.126702409786,"['P_2', 'P_9', 'P_5']"
13,Bin 13,3397.9103753288714,"['P_8', 'P_3', 'P_5']"
14,Bin 14,3385.788179847406,"['P_2', 'P_6', 'P_9']"
15,Bin 15,3375.9831727604833,"['P_7', 'P_1', 'P_3']"
16,Bin 16,3361.217225379526,"['P_4', 'P_1', 'P_10']"
17,Bin 17,3354.409057023358,"['P_7', 'P_9', 'P_3']"
18,Bin 18,3349.6490562803283,"['P_6', 'P_2', 'P_7']"
19,Bin 19,3342.5432175788765,"['P_5', 'P_3', 'P_7']"
20,Bin 20,3338.3559817933246,"['P_10', 'P_8', 'P_7']"
21,Bin 21,3337.1727420493457,"['P_2', 'P_6', 'P_4']"
22,Bin 22,3327.33789635792,"['P_2', 'P_10', 'P_1']"
23,Bin 23,3310.933600107739,"['P_8', 'P_5', 'P_6']"
24,Bin 24,3296.819971614858,"['P_2', 'P_9', 'P_10']"
25,Bin 25,3292.336647041976,"['P_5', 'P_3', 'P_4']"
26,Bin 26,3262.533249242974,"['P_3', 'P_1', 'P_5']"
27,Bin 27,3237.97670092892,"['P_10', 'P_6', 'P_9']"
28,Bin 28,3148.951713130261,"['P_1', 'P_5', 'P_10']"
29,Bin 29,2531.517785700234,"['P_8', 'P_2']"
30,Bin 30,2471.7495775452085,"['P_5', 'P_2']"
31,Bin 31,2471.7495775452085,"['P_2', 'P_5']"
32,Bin 32,2448.0192823252855,"['P_3', 'P_8']"
33,Bin 33,2448.0192823252855,"['P_8', 'P_3']"
34,Bin 34,2423.393146359327,"['P_2', 'P_3']"
35,Bin 35,2423.393146359327,"['P_3', 'P_2']"
36,Bin 36,2416.084009556184,"['P_2', 'P_9']"
37,Bin 37,2395.693270883293,"['P_1', 'P_8']"
38,Bin 38,2395.693270883293,"['P_8', 'P_1']"
39,Bin 39,2391.2354861529348,"['P_2', 'P_1']"
40,Bin 40,2389.7841112715623,"['P_6', 'P_1']"
41,Bin 45,2369.9283205219167,"['P_6', 'P_2']"
42,Bin 47,660.1009658600711,"['P_2', 'P_3', 'P_7', 'R_25']"
43,Bin 50,473.85060590133077,"['R_33', 'P_9', 'P_2']"
44,Bin 49,364.0265745739254,"['P_8', 'P_3', 'R_35']"
45,Bin 48,97.60434226868607,"['P_2', 'R_24', 'R_8', 'R_29', 'P_1']"
46,Bin 46,41.92189645764094,"['P_4', 'R_6', 'R_23']"
47,Bin 41,1.5239009197437794,['R_7']
48,Bin 43,0.0,['P_4']
49,Bin 44,0.0,['P_1']
