,Bin #,Score,Bins
0,Bin 1,109.75766537423097,"['P_8', 'P_4', 'P_2', 'P_7']"
1,Bin 2,106.42510086592033,"['P_8', 'P_2', 'P_4']"
2,Bin 3,106.42510086592033,"['P_4', 'P_8', 'P_2']"
3,Bin 4,101.23365928470362,"['P_6', 'P_4', 'P_5']"
4,Bin 5,100.97524390922047,"['P_10', 'P_2', 'P_4']"
5,Bin 6,100.97524390922047,"['P_10', 'P_4', 'P_2']"
6,Bin 7,99.68607497151488,"['P_6', 'P_4', 'P_10']"
7,Bin 8,92.99720893618476,"['P_2', 'P_9', 'P_4']"
8,Bin 9,92.28591170356981,"['P_10', 'P_6', 'P_3']"
9,Bin 10,90.36155442545241,"['P_2', 'P_3', 'P_6']"
10,Bin 11,87.58652868711252,"['P_7', 'P_4', 'P_2']"
11,Bin 12,86.97315361360688,"['P_1', 'P_5', 'P_10']"
12,Bin 13,86.04188385463752,"['P_2', 'P_8', 'P_5']"
13,Bin 14,85.54960247115193,"['P_4', 'P_2']"
14,Bin 15,85.54960247115193,"['P_2', 'P_4']"
15,Bin 16,84.24420238646672,"['P_2', 'P_3', 'P_5']"
16,Bin 17,83.84570087709294,"['P_1', 'P_5', 'P_7']"
17,Bin 18,83.34280839388947,"['P_1', 'P_5', 'P_2']"
18,Bin 19,83.34280839388947,"['P_1', 'P_2', 'P_5']"
19,Bin 20,81.14401690555083,"['P_4', 'P_8', 'P_7']"
20,Bin 21,81.14401690555083,"['P_8', 'P_4', 'P_7']"
21,Bin 22,80.79844987390992,"['P_4', 'P_8', 'P_5']"
22,Bin 23,78.86246852601269,"['P_5', 'P_3', 'P_10']"
23,Bin 24,78.86246852601269,"['P_3', 'P_5', 'P_10']"
24,Bin 25,78.29052468712142,"['P_2', 'P_5', 'P_10']"
25,Bin 26,77.51392794275358,"['P_10', 'P_4']"
26,Bin 27,75.74150714669322,"['P_4', 'P_6']"
27,Bin 28,75.74150714669322,"['P_6', 'P_4']"
28,Bin 29,72.70696935891306,"['P_4', 'P_5']"
29,Bin 30,72.20134932956462,"['P_6', 'P_3']"
30,Bin 31,70.08391061716183,"['P_10', 'P_1']"
31,Bin 32,69.09724535147139,"['P_6', 'P_5']"
32,Bin 33,69.09724535147139,"['P_5', 'P_6']"
33,Bin 34,68.30990892136307,"['P_6', 'P_1']"
34,Bin 35,68.30990892136307,"['P_1', 'P_6']"
35,Bin 36,67.92851837670085,"['P_6', 'P_10']"
36,Bin 37,67.87177896860044,"['P_3', 'P_5']"
37,Bin 38,67.6469027033538,"['P_10', 'P_2']"
38,Bin 39,65.4667045820568,"['P_1', 'P_5']"
39,Bin 40,65.4667045820568,"['P_5', 'P_1']"
40,Bin 44,60.73735042073583,"['P_4', 'P_8']"
41,Bin 42,48.61901116215811,['P_4']
42,Bin 43,34.526107801981865,['P_1']
43,Bin 49,24.307089141421056,"['P_6', 'P_1', 'R_25']"
44,Bin 47,16.641767388931306,"['P_6', 'P_2', 'R_21', 'R_7']"
45,Bin 50,9.738616794078142,"['R_33', 'P_9', 'P_2']"
46,Bin 41,1.0020823241537136,"['P_7', 'R_23', 'R_33', 'P_3']"
47,Bin 45,0.0,['P_5']
48,Bin 46,0.0,"['P_6', 'R_21', 'R_33', 'R_36']"
49,Bin 48,0.0,"['P_10', 'R_24', 'R_8', 'R_29', 'P_1']"
