,Bin #,Score,Bins
0,Bin 1,3061.837835859082,"['P_7', 'P_3', 'P_8', 'P_10']"
1,Bin 2,3031.7750560617455,"['P_2', 'P_8', 'P_7', 'P_1']"
2,Bin 3,2711.879314831727,"['P_2', 'P_4', 'P_5']"
3,Bin 4,2671.584532888297,"['P_3', 'P_8', 'P_2']"
4,Bin 5,2654.489274711349,"['P_1', 'P_4', 'P_10']"
5,Bin 6,2635.0764177677042,"['P_2', 'P_3', 'P_4']"
6,Bin 7,2632.2700282638284,"['P_7', 'P_3', 'P_10']"
7,Bin 8,2626.469800309406,"['P_9', 'P_7', 'P_10']"
8,Bin 9,2621.5979297828508,"['P_3', 'P_1', 'P_9']"
9,Bin 10,2611.25958374199,"['P_8', 'P_2', 'P_7']"
10,Bin 11,2608.6283118758774,"['P_10', 'P_8', 'P_7']"
11,Bin 12,2608.6283118758774,"['P_8', 'P_7', 'P_10']"
12,Bin 13,2608.3683542857552,"['P_6', 'P_2', 'P_1']"
13,Bin 14,2605.2577572285245,"['P_4', 'P_3', 'P_6']"
14,Bin 15,2596.809219477387,"['P_3', 'P_7', 'P_5']"
15,Bin 16,2587.9469809513776,"['P_3', 'P_8', 'P_10']"
16,Bin 17,2534.8058539152294,"['P_9', 'P_7', 'P_5']"
17,Bin 18,2534.617329122238,"['P_10', 'P_6', 'P_8']"
18,Bin 19,2530.19415024066,"['P_10', 'P_2', 'P_5']"
19,Bin 20,2504.959188680933,"['P_10', 'P_2', 'P_6']"
20,Bin 21,2464.231813327607,"['P_8', 'P_7', 'P_5']"
21,Bin 22,2061.036991722006,"['P_4', 'P_1']"
22,Bin 23,2061.036991722006,"['P_1', 'P_4']"
23,Bin 24,2053.8579157377812,"['P_4', 'P_6']"
24,Bin 25,2029.670122497773,"['P_8', 'P_2']"
25,Bin 26,2029.670122497773,"['P_2', 'P_8']"
26,Bin 27,2022.66582819778,"['P_9', 'P_2']"
27,Bin 28,2020.929949379631,"['P_1', 'P_10']"
28,Bin 29,2020.929949379631,"['P_10', 'P_1']"
29,Bin 30,2014.2820745679473,"['P_1', 'P_8']"
30,Bin 31,1972.1622763279688,"['P_4', 'P_5']"
31,Bin 32,1955.6383233816384,"['P_1', 'P_2']"
32,Bin 33,1954.783795029455,"['P_1', 'P_7']"
33,Bin 34,1947.550499739696,"['P_10', 'P_7']"
34,Bin 35,1947.550499739696,"['P_7', 'P_10']"
35,Bin 36,1945.307706437247,"['P_3', 'P_1']"
36,Bin 37,1942.5159552840068,"['P_7', 'P_4']"
37,Bin 38,1942.5159552840068,"['P_4', 'P_7']"
38,Bin 39,1942.4250229972176,"['P_2', 'P_7']"
39,Bin 40,1940.899911864004,"['P_8', 'P_4']"
40,Bin 42,1841.869526973794,"['P_4', 'P_10']"
41,Bin 45,1826.7888591097148,"['P_5', 'P_3']"
42,Bin 46,1128.753745352219,['P_1']
43,Bin 41,592.4574886744774,"['P_7', 'P_10', 'R_33', 'P_3']"
44,Bin 50,309.3105784265292,"['P_10', 'P_7', 'R_25']"
45,Bin 48,155.5809697408225,"['P_7', 'P_10', 'R_21', 'R_7']"
46,Bin 43,0.7191621266529222,['R_38']
47,Bin 44,0.0,['P_3']
48,Bin 47,0.0,"['P_2', 'R_21', 'R_33', 'R_36']"
49,Bin 49,0.0,"['P_4', 'R_24', 'R_8', 'R_29', 'R_1']"
