,Bin #,Score,Bins
0,Bin 1,2009.7420214416184,"['P_7', 'P_9', 'P_3']"
1,Bin 2,1549.4358991970798,"['P_3', 'P_7']"
2,Bin 3,1549.4358991970798,"['P_7', 'P_3']"
3,Bin 4,1549.173085719262,"['P_8', 'P_5']"
4,Bin 5,1519.3203790296338,"['P_3', 'P_6']"
5,Bin 6,1517.600553023116,"['P_1', 'P_8']"
6,Bin 7,1512.657236826013,"['P_8', 'P_7']"
7,Bin 8,1511.3936210530485,"['P_1', 'P_6']"
8,Bin 9,1495.4479698406835,"['P_7', 'P_1']"
9,Bin 10,1470.2244719637786,"['P_1', 'P_9']"
10,Bin 11,1470.2244719637786,"['P_9', 'P_1']"
11,Bin 12,1434.6615894178585,"['P_9', 'P_7']"
12,Bin 13,1434.6615894178585,"['P_7', 'P_9']"
13,Bin 14,1433.4614970751622,"['P_1', 'P_3']"
14,Bin 15,1429.080957021239,"['P_3', 'P_9']"
15,Bin 16,1429.080957021239,"['P_9', 'P_3']"
16,Bin 17,1427.227389115556,"['P_9', 'P_6']"
17,Bin 18,1427.227389115556,"['P_6', 'P_9']"
18,Bin 45,884.9948613107732,['P_2']
19,Bin 19,876.6799901375093,['P_4']
20,Bin 20,847.534341022258,['P_8']
21,Bin 21,782.2935705735473,['P_1']
22,Bin 22,716.3185604430722,['P_9']
23,Bin 23,503.2550605738098,"['P_3', 'R_56', 'P_9', 'P_6']"
24,Bin 24,483.8579523899778,"['P_3', 'P_9', 'P_6', 'R_163']"
25,Bin 25,430.1545166497052,"['P_8', 'R_2', 'P_10', 'P_5']"
26,Bin 26,377.3911363947249,"['P_1', 'P_9', 'R_56']"
27,Bin 27,342.46705247965,"['P_1', 'R_56', 'P_6']"
28,Bin 28,328.9461144924519,"['P_8', 'P_7', 'R_75']"
29,Bin 29,311.52428287331287,"['P_9', 'P_5', 'R_26']"
30,Bin 30,301.04089007015915,"['P_7', 'P_9', 'R_122']"
31,Bin 31,295.5698996553106,"['P_7', 'P_3', 'R_118']"
32,Bin 32,295.3348055802212,"['P_1', 'P_8', 'R_118']"
33,Bin 33,292.0951549195009,"['P_1', 'R_118', 'P_2']"
34,Bin 34,290.50251598342453,"['P_3', 'R_57', 'P_2']"
35,Bin 35,289.29277501774897,"['P_7', 'P_9', 'R_181']"
36,Bin 36,286.5766080525302,"['P_1', 'P_6', 'R_118']"
37,Bin 37,285.2830307950447,"['P_8', 'R_2', 'P_5']"
38,Bin 38,284.1014378540576,"['P_6', 'R_186', 'P_1']"
39,Bin 39,280.22283339910547,"['P_1', 'P_6', 'R_121']"
40,Bin 40,279.3750678004341,"['P_1', 'P_7', 'R_144']"
41,Bin 41,45.114638577185424,"['P_7', 'R_181', 'R_67']"
42,Bin 49,19.874505958025015,"['P_9', 'R_62', 'R_73']"
43,Bin 44,18.74351415480106,"['P_1', 'R_35', 'R_86']"
44,Bin 47,1.5286628313998158,"['R_29', 'R_22']"
45,Bin 46,0.6800930787809617,['R_49']
46,Bin 42,0.0,"['P_3', 'P_9', 'R_173', 'R_33', 'R_11', 'R_13']"
47,Bin 43,0.0,"['P_7', 'R_65', 'R_184', 'R_69', 'R_82', 'R_109', 'R_138']"
48,Bin 48,0.0,"['R_128', 'R_69', 'R_177']"
49,Bin 50,0.0,"['R_85', 'R_177', 'R_171']"
