,Bin #,Score,Bins
0,Bin 1,9222.049651985639,"['P_10', 'P_7', 'P_1']"
1,Bin 2,9181.380316097953,"['P_2', 'P_7', 'P_3']"
2,Bin 3,9164.296609008272,"['P_1', 'P_10', 'P_2']"
3,Bin 4,9146.424262533736,"['P_2', 'P_9', 'P_3']"
4,Bin 5,8554.450769957539,"['P_1', 'P_10']"
5,Bin 6,8554.450769957539,"['P_10', 'P_1']"
6,Bin 7,8533.321047287829,"['P_10', 'P_4']"
7,Bin 8,8471.691863550719,"['P_8', 'P_1']"
8,Bin 9,8456.833991493786,"['P_8', 'P_9']"
9,Bin 10,8402.27468065586,"['P_3', 'P_10']"
10,Bin 11,8386.436408725376,"['P_6', 'P_2']"
11,Bin 12,8386.436408725376,"['P_2', 'P_6']"
12,Bin 13,8383.3075288424,"['P_10', 'P_7']"
13,Bin 14,8348.172802412259,"['P_4', 'P_9']"
14,Bin 15,8348.172802412259,"['P_9', 'P_4']"
15,Bin 16,8347.693526311692,"['P_6', 'P_5']"
16,Bin 17,8339.656108978219,"['P_3', 'P_2']"
17,Bin 18,8339.656108978219,"['P_2', 'P_3']"
18,Bin 19,8335.470501056407,"['P_9', 'P_2']"
19,Bin 20,8335.470501056407,"['P_2', 'P_9']"
20,Bin 21,8309.47413064524,"['P_2', 'P_7']"
21,Bin 22,8307.185070608648,"['P_4', 'P_2']"
22,Bin 23,8306.203150504984,"['P_7', 'P_3']"
23,Bin 24,8302.87952545788,"['P_10', 'P_2']"
24,Bin 25,8302.443293166441,"['P_1', 'P_5']"
25,Bin 26,8302.443293166441,"['P_5', 'P_1']"
26,Bin 27,8264.740257878377,"['P_6', 'P_7']"
27,Bin 28,8264.740257878377,"['P_7', 'P_6']"
28,Bin 29,8224.327118317482,"['P_3', 'P_5']"
29,Bin 30,8224.327118317482,"['P_5', 'P_3']"
30,Bin 31,5903.414381740331,['P_1']
31,Bin 32,5793.0383887713015,['P_10']
32,Bin 33,5640.9709518355,['P_9']
33,Bin 34,5640.532529668348,['P_8']
34,Bin 35,5598.558620817319,['P_4']
35,Bin 36,5592.440418862223,['P_6']
36,Bin 37,5542.956577157516,['P_2']
37,Bin 38,5531.737467804338,['P_7']
38,Bin 39,5496.753780439893,['P_3']
39,Bin 40,5438.566663512627,['P_5']
40,Bin 41,0.0,"['R_2', 'R_7', 'R_15']"
41,Bin 42,0.0,"['P_1', 'P_10', 'R_9']"
42,Bin 43,0.0,"['P_7', 'P_6', 'R_2']"
43,Bin 44,0.0,"['P_3', 'R_2']"
44,Bin 45,0.0,"['P_10', 'R_13', 'R_35']"
45,Bin 46,0.0,"['P_4', 'R_33', 'R_19', 'R_30', 'R_28']"
46,Bin 47,0.0,"['R_33', 'P_9']"
47,Bin 48,0.0,"['R_22', 'R_25']"
48,Bin 49,0.0,"['R_29', 'R_14']"
49,Bin 50,0.0,"['R_29', 'R_4']"
