,Bin #,Score,Bins
0,Bin 1,1797.042183124712,"['P_10', 'P_5', 'P_6', 'P_3', 'P_2']"
1,Bin 2,1792.1465767640539,"['P_10', 'P_5', 'P_4', 'P_3', 'P_7']"
2,Bin 3,1670.1815738603002,"['P_2', 'P_10', 'P_1', 'P_6']"
3,Bin 4,1499.8664232997278,"['P_7', 'P_8', 'P_4']"
4,Bin 5,1473.5332925477837,"['P_4', 'P_3', 'P_8']"
5,Bin 6,1468.5114693245396,"['P_8', 'P_10', 'P_6']"
6,Bin 7,1466.065278994162,"['P_7', 'P_4', 'P_3']"
7,Bin 8,1464.1264807950552,"['P_6', 'P_7', 'P_10']"
8,Bin 9,1461.00735543073,"['P_2', 'P_10', 'P_7']"
9,Bin 10,1458.5099327787682,"['P_2', 'P_3', 'P_8']"
10,Bin 11,1441.7712773975354,"['P_6', 'P_1', 'P_7']"
11,Bin 12,1418.259078992068,"['P_2', 'P_10', 'P_1']"
12,Bin 13,1405.2932011891407,"['P_7', 'P_3', 'P_6']"
13,Bin 14,1399.405811674121,"['P_6', 'P_3', 'P_10']"
14,Bin 15,1399.405811674121,"['P_10', 'P_6', 'P_3']"
15,Bin 16,1394.7975574325135,"['P_4', 'P_2', 'P_5']"
16,Bin 17,1376.548197621249,"['P_3', 'P_7', 'P_2']"
17,Bin 18,1340.576447153821,"['P_5', 'P_6', 'P_10']"
18,Bin 19,1191.7091719528464,"['P_7', 'P_8']"
19,Bin 20,1191.7091719528464,"['P_8', 'P_7']"
20,Bin 21,1142.5642452864479,"['P_8', 'P_1']"
21,Bin 22,1139.9758908624779,"['P_6', 'P_4']"
22,Bin 23,1139.9758908624779,"['P_4', 'P_6']"
23,Bin 24,1133.25849575038,"['P_7', 'P_4']"
24,Bin 25,1131.9646762647337,"['P_8', 'P_10']"
25,Bin 26,1129.6301746440768,"['P_10', 'P_4']"
26,Bin 27,1129.6301746440768,"['P_4', 'P_10']"
27,Bin 28,1121.8959389272015,"['P_4', 'P_8']"
28,Bin 29,1121.8959389272015,"['P_8', 'P_4']"
29,Bin 30,1109.863150012489,"['P_9', 'P_4']"
30,Bin 31,1097.1110556384428,"['P_1', 'P_7']"
31,Bin 32,1089.4873306903023,"['P_4', 'P_2']"
32,Bin 33,1089.4873306903023,"['P_2', 'P_4']"
33,Bin 34,1088.8153433840719,"['P_3', 'P_8']"
34,Bin 35,1084.4760615085142,"['P_8', 'P_6']"
35,Bin 36,1084.4760615085142,"['P_6', 'P_8']"
36,Bin 37,1082.1808988705873,"['P_6', 'P_10']"
37,Bin 38,1081.2204774869901,"['P_3', 'P_4']"
38,Bin 39,1072.622998571155,"['P_10', 'P_2']"
39,Bin 40,1072.622998571155,"['P_2', 'P_10']"
40,Bin 50,269.5396260899079,"['R_33', 'P_9', 'P_2']"
41,Bin 45,245.2261463252403,"['P_3', 'P_4', 'R_20']"
42,Bin 49,207.4473160538303,"['P_6', 'P_8', 'R_25']"
43,Bin 41,89.9017915630112,"['P_2', 'R_23', 'R_33', 'P_3']"
44,Bin 47,65.97820466225313,"['P_7', 'P_6', 'R_9', 'R_39']"
45,Bin 42,1.9189854472140677,['R_8']
46,Bin 43,0.17672583366519168,['R_23']
47,Bin 44,0.0,"['P_5', 'P_7', 'P_8', 'R_39', 'R_23']"
48,Bin 46,0.0,"['P_8', 'R_21', 'R_34', 'R_36']"
49,Bin 48,0.0,"['P_4', 'R_24', 'R_8', 'R_29', 'R_1']"
