,Bin #,Score,Bins
0,Bin 1,4481.126213931897,"['P_6', 'P_8', 'P_9', 'P_10']"
1,Bin 2,3918.711869992841,"['P_8', 'P_9', 'P_10']"
2,Bin 3,3869.6038637510283,"['P_10', 'P_3', 'P_2']"
3,Bin 4,3836.7034882609596,"['P_3', 'P_8', 'P_2']"
4,Bin 5,3836.7034882609596,"['P_8', 'P_2', 'P_3']"
5,Bin 6,3836.205810284225,"['P_3', 'P_2', 'P_1']"
6,Bin 7,3799.2773891712613,"['P_8', 'P_10', 'P_6']"
7,Bin 8,3799.2773891712613,"['P_6', 'P_8', 'P_10']"
8,Bin 9,3779.22798043045,"['P_3', 'P_6', 'P_2']"
9,Bin 10,3709.624178781083,"['P_2', 'P_8', 'P_7']"
10,Bin 11,3704.016151119893,"['P_2', 'P_8', 'P_5']"
11,Bin 12,3692.840838294175,"['P_8', 'P_5', 'P_3']"
12,Bin 13,3673.0400857951254,"['P_4', 'P_2', 'P_5']"
13,Bin 14,3661.9034994066456,"['P_6', 'P_5', 'P_3']"
14,Bin 15,3635.62855302038,"['P_9', 'P_5', 'P_2']"
15,Bin 16,2971.2626347038936,"['P_4', 'P_9']"
16,Bin 17,2936.8196448394106,"['P_9', 'P_10']"
17,Bin 18,2926.9143118408892,"['P_4', 'P_10']"
18,Bin 19,2925.236147800015,"['P_3', 'P_1']"
19,Bin 20,2923.7731138985046,"['P_6', 'P_4']"
20,Bin 21,2923.7731138985046,"['P_4', 'P_6']"
21,Bin 22,2915.3231550023415,"['P_9', 'P_8']"
22,Bin 23,2913.3266938580537,"['P_3', 'P_8']"
23,Bin 24,2913.3266938580537,"['P_8', 'P_3']"
24,Bin 25,2911.467564923539,"['P_4', 'P_1']"
25,Bin 26,2908.785908124379,"['P_10', 'P_1']"
26,Bin 27,2897.1776812824546,"['P_10', 'P_6']"
27,Bin 28,2878.2868946447584,"['P_4', 'P_3']"
28,Bin 29,2867.7540560069306,"['P_4', 'P_2']"
29,Bin 30,2867.6672618711027,"['P_3', 'P_2']"
30,Bin 31,2867.6672618711027,"['P_2', 'P_3']"
31,Bin 32,2864.529969697024,"['P_6', 'P_1']"
32,Bin 33,2851.726583899105,"['P_7', 'P_10']"
33,Bin 34,2851.726583899105,"['P_10', 'P_7']"
34,Bin 35,2841.1698885018177,"['P_10', 'P_2']"
35,Bin 36,2820.4959261020426,"['P_6', 'P_3']"
36,Bin 37,2812.6034312664838,"['P_9', 'P_2']"
37,Bin 38,2810.8492584209644,"['P_8', 'P_7']"
38,Bin 39,2793.4422696724337,"['P_9', 'P_6']"
39,Bin 40,2782.6593618666607,"['P_8', 'P_2']"
40,Bin 43,1621.2937483732776,['P_8']
41,Bin 50,535.4180711816331,"['R_33', 'P_9', 'P_2']"
42,Bin 42,506.23263452030534,"['P_8', 'P_2', 'R_27']"
43,Bin 49,448.56545805028605,"['P_10', 'P_7', 'R_35']"
44,Bin 47,163.49107671132188,"['P_5', 'P_2', 'R_21', 'R_20']"
45,Bin 44,1.9062588314134177,['R_23']
46,Bin 41,0.0,"['P_3', 'R_34', 'R_26', 'R_29', 'R_10']"
47,Bin 45,0.0,"['P_8', 'R_16', 'R_6', 'R_23']"
48,Bin 46,0.0,"['P_6', 'R_21', 'R_33', 'R_36']"
49,Bin 48,0.0,"['P_3', 'R_24', 'R_8', 'R_29', 'P_1']"
