,Bin #,Score,Bins
0,Bin 1,7017.091426768844,"['P_5', 'P_8', 'P_7']"
1,Bin 2,6924.859614314506,"['P_8', 'P_7', 'P_6']"
2,Bin 3,6924.859614314506,"['P_8', 'P_6', 'P_7']"
3,Bin 4,5527.727673064932,"['P_1', 'P_4']"
4,Bin 5,5413.383868537303,"['P_8', 'P_1']"
5,Bin 6,5399.811779403588,"['P_8', 'P_9']"
6,Bin 7,5399.811779403588,"['P_9', 'P_8']"
7,Bin 8,5397.327542951069,"['P_4', 'P_8']"
8,Bin 9,5290.591280599589,"['P_5', 'P_1']"
9,Bin 10,5256.315156228811,"['P_5', 'P_2']"
10,Bin 11,5243.261238174912,"['P_3', 'P_2']"
11,Bin 12,5233.050436040805,"['P_9', 'P_6']"
12,Bin 13,5213.808004310569,"['P_8', 'P_3']"
13,Bin 14,5213.808004310569,"['P_3', 'P_8']"
14,Bin 15,5211.198609067065,"['P_7', 'P_9']"
15,Bin 16,5189.207994263671,"['P_8', 'P_7']"
16,Bin 17,5189.207994263671,"['P_7', 'P_8']"
17,Bin 18,5164.2692596750485,"['P_8', 'P_6']"
18,Bin 19,5164.2692596750485,"['P_6', 'P_8']"
19,Bin 20,5162.556680342504,"['P_8', 'P_5']"
20,Bin 21,5162.556680342504,"['P_5', 'P_8']"
21,Bin 22,5153.276522607827,"['P_9', 'P_3']"
22,Bin 23,5128.541110177982,"['P_7', 'P_6']"
23,Bin 24,5128.541110177982,"['P_6', 'P_7']"
24,Bin 25,5111.74018881947,"['P_9', 'P_5']"
25,Bin 26,5111.74018881947,"['P_5', 'P_9']"
26,Bin 27,5081.915781518279,"['P_5', 'P_6']"
27,Bin 28,5060.1483829484505,"['P_7', 'P_5']"
28,Bin 29,2945.240511514265,['P_4']
29,Bin 30,2888.925724648085,['P_9']
30,Bin 31,2862.662744508054,['P_8']
31,Bin 32,1004.3121231256196,"['P_7', 'R_54', 'P_8', 'P_6']"
32,Bin 33,667.0476689459302,"['P_8', 'P_3', 'R_54']"
33,Bin 34,664.4136013959624,"['P_8', 'P_9', 'R_168']"
34,Bin 35,664.4136013959624,"['P_9', 'P_8', 'R_168']"
35,Bin 36,663.340618647407,"['P_6', 'P_1', 'R_131']"
36,Bin 37,648.9688639899648,"['R_142', 'P_7', 'P_6']"
37,Bin 38,647.1508932914792,"['P_7', 'R_168', 'P_3']"
38,Bin 39,636.8610140304181,"['P_7', 'R_142', 'P_2']"
39,Bin 40,634.1521721847162,"['P_8', 'P_1', 'R_185']"
40,Bin 48,479.5004236026317,"['P_8', 'P_6', 'R_162']"
41,Bin 47,248.57980188248092,"['P_8', 'R_168']"
42,Bin 42,172.52051128110955,"['P_9', 'R_141']"
43,Bin 43,87.407311739909,"['P_9', 'R_168', 'R_67']"
44,Bin 46,4.298687622537016,"['R_54', 'R_88']"
45,Bin 50,1.1094643596553002,"['R_83', 'R_178']"
46,Bin 49,0.0797919804722151,['R_87']
47,Bin 41,0.0,"['R_152', 'R_83', 'P_8', 'P_3']"
48,Bin 44,0.0,"['P_8', 'R_173', 'R_33', 'R_66', 'R_54', 'R_190']"
49,Bin 45,0.0,"['P_1', 'R_65', 'R_78', 'R_76', 'R_144', 'R_56', 'R_126']"
