,Bin #,Score,Bins
0,Bin 1,9094.783852154473,"['P_9', 'P_10', 'P_7', 'P_1', 'P_4']"
1,Bin 2,9004.122029722956,"['P_9', 'P_1', 'P_4', 'P_2', 'P_3']"
2,Bin 3,8975.05274590058,"['P_4', 'P_8', 'P_6', 'P_9', 'P_3']"
3,Bin 4,8928.311109616316,"['P_8', 'P_2', 'P_9', 'P_1', 'P_3']"
4,Bin 5,8583.281355675415,"['P_9', 'P_10', 'P_4', 'P_1']"
5,Bin 6,8583.281355675415,"['P_4', 'P_10', 'P_9', 'P_1']"
6,Bin 7,8583.281355675415,"['P_9', 'P_10', 'P_1', 'P_4']"
7,Bin 8,8583.281355675415,"['P_4', 'P_9', 'P_10', 'P_1']"
8,Bin 9,8583.281355675415,"['P_9', 'P_4', 'P_1', 'P_10']"
9,Bin 10,8549.230092427637,"['P_4', 'P_9', 'P_2', 'P_1']"
10,Bin 11,8549.230092427637,"['P_1', 'P_2', 'P_4', 'P_9']"
11,Bin 12,8549.230092427637,"['P_9', 'P_2', 'P_1', 'P_4']"
12,Bin 13,8549.230092427637,"['P_1', 'P_4', 'P_9', 'P_2']"
13,Bin 14,8549.230092427637,"['P_1', 'P_9', 'P_4', 'P_2']"
14,Bin 15,8492.818643710674,"['P_1', 'P_10', 'P_9', 'P_2']"
15,Bin 16,8492.818643710674,"['P_10', 'P_9', 'P_1', 'P_2']"
16,Bin 17,8472.058581772057,"['P_4', 'P_9', 'P_1', 'P_8']"
17,Bin 18,8472.058581772057,"['P_9', 'P_8', 'P_1', 'P_4']"
18,Bin 19,8472.058581772057,"['P_9', 'P_4', 'P_1', 'P_8']"
19,Bin 20,8472.058581772057,"['P_9', 'P_1', 'P_4', 'P_8']"
20,Bin 21,8472.058581772057,"['P_4', 'P_1', 'P_8', 'P_9']"
21,Bin 22,8464.188776154497,"['P_9', 'P_10', 'P_7', 'P_1']"
22,Bin 23,8464.188776154497,"['P_9', 'P_10', 'P_1', 'P_7']"
23,Bin 24,8464.188776154497,"['P_10', 'P_1', 'P_7', 'P_9']"
24,Bin 25,8446.309772046106,"['P_1', 'P_8', 'P_9', 'P_10']"
25,Bin 26,8446.309772046106,"['P_1', 'P_9', 'P_10', 'P_8']"
26,Bin 27,8446.309772046106,"['P_10', 'P_8', 'P_9', 'P_1']"
27,Bin 28,8446.309772046106,"['P_9', 'P_10', 'P_8', 'P_1']"
28,Bin 29,8441.526606401543,"['P_10', 'P_1', 'P_7', 'P_2']"
29,Bin 30,8440.53080637223,"['P_8', 'P_2', 'P_4', 'P_10']"
30,Bin 31,8437.624086211074,"['P_4', 'P_1', 'P_2', 'P_10']"
31,Bin 32,8437.624086211074,"['P_2', 'P_4', 'P_10', 'P_1']"
32,Bin 33,8437.624086211074,"['P_1', 'P_10', 'P_4', 'P_2']"
33,Bin 34,8437.624086211074,"['P_2', 'P_10', 'P_1', 'P_4']"
34,Bin 35,8436.169398220425,"['P_8', 'P_2', 'P_9', 'P_4']"
35,Bin 36,8419.383074730318,"['P_1', 'P_9', 'P_8', 'P_2']"
36,Bin 37,8419.383074730318,"['P_1', 'P_8', 'P_9', 'P_2']"
37,Bin 38,8419.383074730318,"['P_8', 'P_9', 'P_1', 'P_2']"
38,Bin 39,8419.383074730318,"['P_9', 'P_2', 'P_1', 'P_8']"
39,Bin 40,8419.383074730318,"['P_2', 'P_9', 'P_8', 'P_1']"
40,Bin 41,8419.383074730318,"['P_9', 'P_8', 'P_1', 'P_2']"
41,Bin 42,8419.383074730318,"['P_9', 'P_1', 'P_8', 'P_2']"
42,Bin 43,8419.383074730318,"['P_8', 'P_2', 'P_9', 'P_1']"
43,Bin 44,8404.855203289118,"['P_9', 'P_1', 'P_3', 'P_8']"
44,Bin 45,8403.605941671489,"['P_7', 'P_9', 'P_1', 'P_4']"
45,Bin 46,8403.605941671489,"['P_9', 'P_1', 'P_7', 'P_4']"
46,Bin 47,8403.605941671489,"['P_9', 'P_1', 'P_4', 'P_7']"
47,Bin 48,8403.605941671489,"['P_7', 'P_4', 'P_9', 'P_1']"
48,Bin 49,8402.575407362274,"['P_9', 'P_1', 'P_3', 'P_4']"
49,Bin 50,8395.112561857106,"['P_10', 'P_7', 'P_4', 'P_9']"
50,Bin 51,8395.112561857106,"['P_9', 'P_10', 'P_7', 'P_4']"
51,Bin 52,8395.112561857106,"['P_10', 'P_7', 'P_9', 'P_4']"
52,Bin 53,8393.009783311454,"['P_1', 'P_4', 'P_3', 'P_8']"
53,Bin 54,8388.558516704546,"['P_8', 'P_9', 'P_2', 'P_7']"
54,Bin 55,8388.558516704546,"['P_2', 'P_8', 'P_9', 'P_7']"
55,Bin 56,8388.558516704546,"['P_8', 'P_2', 'P_7', 'P_9']"
56,Bin 57,8388.558516704546,"['P_9', 'P_2', 'P_7', 'P_8']"
57,Bin 58,8388.558516704546,"['P_8', 'P_9', 'P_7', 'P_2']"
58,Bin 59,8388.558516704546,"['P_9', 'P_8', 'P_2', 'P_7']"
59,Bin 60,8388.558516704546,"['P_9', 'P_8', 'P_7', 'P_2']"
60,Bin 61,8386.358774362554,"['P_6', 'P_2', 'P_10', 'P_1']"
61,Bin 62,8384.24682468874,"['P_10', 'P_8', 'P_2', 'P_7']"
62,Bin 63,8369.739747272984,"['P_10', 'P_7', 'P_1', 'P_8']"
63,Bin 64,8369.739747272984,"['P_10', 'P_8', 'P_1', 'P_7']"
64,Bin 769,8369.739747272984,"['P_1', 'P_10', 'P_8', 'P_7']"
65,Bin 65,8369.653838866738,"['P_10', 'P_9', 'P_2', 'P_8']"
66,Bin 66,8369.653838866738,"['P_9', 'P_10', 'P_8', 'P_2']"
67,Bin 67,8369.653838866738,"['P_8', 'P_9', 'P_10', 'P_2']"
68,Bin 68,8368.962708797078,"['P_8', 'P_4', 'P_10', 'P_7']"
69,Bin 69,8363.855411867422,"['P_10', 'P_1', 'P_2', 'P_8']"
