,Bin #,Score,Bins
0,Bin 35,9273.801575303663,"['P_7', 'P_10', 'P_6', 'P_1']"
1,Bin 28,9155.181084109217,"['P_2', 'P_4', 'P_9', 'P_10']"
2,Bin 36,9114.14498659026,"['P_10', 'P_8', 'P_7', 'P_9']"
3,Bin 15,9062.879017244204,"['P_6', 'P_7', 'P_9', 'P_2']"
4,Bin 20,9039.606874194946,"['P_6', 'P_3', 'P_10', 'P_4']"
5,Bin 32,8934.301783458332,"['P_3', 'P_6', 'P_5', 'P_9']"
6,Bin 13,7991.209978899787,"['P_9', 'P_8', 'P_1']"
7,Bin 22,7933.77512631683,"['P_1', 'P_4', 'P_2']"
8,Bin 34,7831.88514106259,"['P_1', 'P_8', 'P_5']"
9,Bin 23,7797.387715468555,"['P_3', 'P_10', 'P_2']"
10,Bin 3,7795.034872321394,"['P_3', 'P_8', 'P_2']"
11,Bin 17,7775.765067912039,"['P_6', 'P_1', 'P_3']"
12,Bin 24,7775.765067912039,"['P_3', 'P_6', 'P_1']"
13,Bin 30,7740.9946738419285,"['P_2', 'P_1', 'P_3']"
14,Bin 16,7725.844382578191,"['P_9', 'P_2', 'P_3']"
15,Bin 14,7675.486276216911,"['P_8', 'P_5', 'P_7']"
16,Bin 25,7664.617452336287,"['P_3', 'P_5', 'P_7']"
17,Bin 9,7656.954224405296,"['P_4', 'P_7', 'P_3']"
18,Bin 27,7653.091249438946,"['P_6', 'P_10', 'P_5']"
19,Bin 7,7651.970636500678,"['P_6', 'P_9', 'P_3']"
20,Bin 8,7651.970636500678,"['P_9', 'P_3', 'P_6']"
21,Bin 21,7609.773729899558,"['P_7', 'P_9', 'P_5']"
22,Bin 40,7589.036334601631,"['P_7', 'P_6', 'P_8']"
23,Bin 19,6004.12416174128,"['P_4', 'P_1']"
24,Bin 38,6001.473839126739,"['P_1', 'P_9']"
25,Bin 48,5998.33940171147,"['P_10', 'P_1']"
26,Bin 39,5938.49575315568,"['P_4', 'P_9']"
27,Bin 2,5907.491739245353,"['P_10', 'P_4']"
28,Bin 10,5907.491739245353,"['P_4', 'P_10']"
29,Bin 37,5897.144144587619,"['P_8', 'P_1']"
30,Bin 1,5893.628987444626,"['P_2', 'P_10']"
31,Bin 26,5886.479632719112,"['P_2', 'P_1']"
32,Bin 29,5886.479632719112,"['P_1', 'P_2']"
33,Bin 11,5873.182249223683,"['P_8', 'P_2']"
34,Bin 6,5867.684089211804,"['P_2', 'P_4']"
35,Bin 12,5867.684089211804,"['P_4', 'P_2']"
36,Bin 18,5850.250338259328,"['P_9', 'P_2']"
37,Bin 4,5848.704813124548,"['P_6', 'P_1']"
38,Bin 5,5848.704813124548,"['P_1', 'P_6']"
39,Bin 31,5799.464571776049,"['P_9', 'P_10']"
40,Bin 33,5776.331209703288,"['P_5', 'P_1']"
41,Bin 45,5531.049714063657,"['P_5', 'P_7']"
42,Bin 50,906.5786186538667,"['R_33', 'P_9', 'P_2']"
43,Bin 41,766.4390440244701,"['P_2', 'R_15', 'P_7']"
44,Bin 42,273.7395902279904,"['P_6', 'R_14']"
45,Bin 47,265.8794688800152,"['P_4', 'R_6']"
46,Bin 49,240.3600829626149,"['P_5', 'R_40']"
47,Bin 46,93.94476513698464,"['P_1', 'R_29', 'R_1']"
48,Bin 43,0.0,"['P_4', 'P_9', 'R_38', 'R_23', 'R_4']"
49,Bin 44,0.0,"['P_9', 'R_10', 'R_15', 'R_9']"
