,Bin #,Score,Bins
0,Bin 5,8.290827993875316,"['P_7', 'R_13', 'R_25']"
1,Bin 27,7.030272786017777,"['R_19', 'R_28', 'P_7']"
2,Bin 10,6.788319581738416,"['R_1', 'R_6']"
3,Bin 31,6.722618201971972,"['R_19', 'R_28', 'P_3']"
4,Bin 22,6.618798109650233,"['R_19', 'R_28']"
5,Bin 7,6.347022453016483,"['R_1', 'P_7', 'R_6', 'P_4']"
6,Bin 15,6.094705450169641,"['R_1', 'R_21']"
7,Bin 30,5.7217269816193825,"['R_20', 'P_3', 'P_1', 'R_8']"
8,Bin 16,5.631127050466818,['R_1']
9,Bin 35,5.548467988116161,"['P_6', 'R_7', 'R_12']"
10,Bin 40,5.267247247668161,"['R_1', 'R_34']"
11,Bin 17,5.158279697444898,"['R_14', 'R_39', 'P_5']"
12,Bin 6,5.10011114171323,"['R_9', 'R_20', 'P_3']"
13,Bin 18,5.10011114171323,"['R_20', 'R_9', 'P_3']"
14,Bin 38,4.955072613679137,"['R_9', 'P_9', 'R_20', 'P_1']"
15,Bin 4,4.870772691931802,"['R_14', 'R_18']"
16,Bin 32,4.736361533930583,"['R_34', 'P_8']"
17,Bin 39,4.547289325252388,"['R_20', 'R_31']"
18,Bin 8,4.445386640410762,['P_8']
19,Bin 34,4.401655856303983,"['R_1', 'R_40']"
20,Bin 19,4.373569303747769,"['P_5', 'R_21', 'R_1']"
21,Bin 2,4.245386093337795,"['R_1', 'P_7']"
22,Bin 9,4.2444038777776685,"['R_1', 'R_26']"
23,Bin 13,4.2444038777776685,"['R_26', 'R_1']"
24,Bin 33,4.214597437685379,"['R_19', 'P_7', 'P_9', 'R_26']"
25,Bin 36,4.155552819571598,"['R_1', 'R_35']"
26,Bin 29,4.002055868223145,"['R_30', 'R_22']"
27,Bin 1,3.9338366791748665,"['R_1', 'R_21', 'P_7']"
28,Bin 23,3.7671208113790167,"['R_18', 'P_4', 'P_7', 'R_27']"
29,Bin 24,3.7650198572969966,"['R_20', 'P_5', 'R_9']"
30,Bin 37,3.747862887787356,"['P_8', 'P_6', 'R_25']"
31,Bin 25,3.7439008182394664,"['R_20', 'P_3', 'P_1']"
32,Bin 26,3.704824948280505,"['R_39', 'R_15']"
33,Bin 20,3.7037506860343616,"['R_26', 'R_1', 'P_2']"
34,Bin 3,3.6788524082118794,"['R_19', 'P_2', 'R_11']"
35,Bin 28,3.6783315974639765,"['R_1', 'P_2']"
36,Bin 21,3.6255857909517974,"['R_1', 'R_30']"
37,Bin 11,3.618260492534796,"['R_13', 'R_34']"
38,Bin 14,3.5945922350870965,"['P_8', 'R_16']"
39,Bin 12,3.5159208518021727,"['P_6', 'R_7']"
40,Bin 47,3.208037936832499,"['R_7', 'P_9']"
41,Bin 45,1.151685495833084,"['R_1', 'R_15']"
42,Bin 42,0.7193828807640283,"['P_7', 'R_25', 'R_38']"
43,Bin 41,0.5271825157302567,"['R_13', 'P_6', 'P_7', 'R_10']"
44,Bin 48,0.43559488769145127,"['R_19', 'R_40']"
45,Bin 49,0.40941407310171607,"['R_33', 'P_9', 'P_2']"
46,Bin 46,0.032275629362281656,"['R_15', 'R_29', 'P_1']"
47,Bin 43,0.0,"['R_20', 'R_31', 'R_8', 'R_25', 'R_22']"
48,Bin 44,0.0,"['R_14', 'R_10', 'R_15', 'R_17']"
49,Bin 50,0.0,"['R_22', 'R_25', 'R_35']"
