,Bin #,Score,Bins
0,Bin 1,5497.678139946757,"['P_4', 'P_8', 'P_3', 'P_2']"
1,Bin 2,5456.9760048422995,"['P_10', 'P_4', 'P_6']"
2,Bin 3,5420.491082212308,"['P_10', 'P_2', 'P_3']"
3,Bin 4,5048.602498983631,"['P_10', 'P_4']"
4,Bin 5,5048.602498983631,"['P_4', 'P_10']"
5,Bin 6,5027.938596691897,"['P_8', 'P_6']"
6,Bin 7,5013.120772973692,"['P_1', 'P_10']"
7,Bin 8,5013.120772973692,"['P_10', 'P_1']"
8,Bin 9,4987.8616894603165,"['P_10', 'P_3']"
9,Bin 10,4973.650898206833,"['P_4', 'P_8']"
10,Bin 11,4964.6916420419575,"['P_8', 'P_2']"
11,Bin 12,4959.190115865467,"['P_4', 'P_2']"
12,Bin 13,4959.190115865467,"['P_2', 'P_4']"
13,Bin 14,4957.09023381788,"['P_6', 'P_10']"
14,Bin 15,4957.09023381788,"['P_10', 'P_6']"
15,Bin 16,4956.946056401185,"['P_6', 'P_3']"
16,Bin 17,4954.823460119376,"['P_4', 'P_6']"
17,Bin 18,4954.823460119376,"['P_6', 'P_4']"
18,Bin 19,4950.827423912196,"['P_9', 'P_10']"
19,Bin 20,4938.897189681297,"['P_5', 'P_2']"
20,Bin 21,4934.950239123358,"['P_4', 'P_7']"
21,Bin 22,4924.876672063269,"['P_6', 'P_2']"
22,Bin 23,4924.876672063269,"['P_2', 'P_6']"
23,Bin 24,4921.187991514006,"['P_10', 'P_2']"
24,Bin 25,4917.881894933817,"['P_3', 'P_2']"
25,Bin 26,4917.881894933817,"['P_2', 'P_3']"
26,Bin 27,4908.720049049446,"['P_10', 'P_5']"
27,Bin 28,4908.720049049446,"['P_5', 'P_10']"
28,Bin 29,4879.7542848689445,"['P_5', 'P_7']"
29,Bin 30,4874.796830951588,"['P_6', 'P_7']"
30,Bin 31,4862.909782608679,"['P_2', 'P_7']"
31,Bin 46,4857.078371413172,"['P_5', 'P_8']"
32,Bin 32,4853.933205643671,"['P_5', 'P_3']"
33,Bin 33,4853.933205643671,"['P_3', 'P_5']"
34,Bin 34,4850.924640427471,"['P_5', 'P_1']"
35,Bin 35,4850.924640427471,"['P_1', 'P_5']"
36,Bin 36,3382.96049411918,['P_10']
37,Bin 37,3376.8284046019608,['P_6']
38,Bin 38,3371.2555664164497,['P_4']
39,Bin 39,3366.325113619695,['P_1']
40,Bin 40,3329.7854605244493,['P_8']
41,Bin 41,0.0,"['R_2', 'R_7', 'R_15']"
42,Bin 42,0.0,"['P_8', 'P_6', 'R_9']"
43,Bin 43,0.0,"['P_8', 'P_4', 'R_6', 'R_29']"
44,Bin 44,0.0,"['P_3', 'P_6', 'R_20']"
45,Bin 45,0.0,"['P_3', 'R_17']"
46,Bin 47,0.0,"['R_33', 'P_9']"
47,Bin 48,0.0,"['R_22', 'R_25']"
48,Bin 49,0.0,"['R_29', 'R_14']"
49,Bin 50,0.0,"['R_29', 'R_4']"
