,Bin #,Score,Bins
0,Bin 1,4876.117140890496,"['P_4', 'P_1', 'P_2', 'P_3']"
1,Bin 2,4393.00189773888,"['P_2', 'P_8', 'P_4']"
2,Bin 3,4304.306489902854,"['P_10', 'P_1', 'P_9']"
3,Bin 4,4258.830340005597,"['P_9', 'P_3', 'P_8']"
4,Bin 5,4258.830340005597,"['P_9', 'P_8', 'P_3']"
5,Bin 6,4245.173971764554,"['P_4', 'P_2', 'P_6']"
6,Bin 7,4229.721718630806,"['P_4', 'P_8', 'P_6']"
7,Bin 8,4221.368485531514,"['P_6', 'P_1', 'P_9']"
8,Bin 9,4208.569544990712,"['P_2', 'P_10', 'P_1']"
9,Bin 10,4154.38679090487,"['P_10', 'P_3', 'P_6']"
10,Bin 11,4151.822596077177,"['P_6', 'P_2', 'P_9']"
11,Bin 12,4148.020410541124,"['P_1', 'P_3', 'P_6']"
12,Bin 13,4142.452384854359,"['P_10', 'P_2', 'P_6']"
13,Bin 14,4122.540528983394,"['P_6', 'P_5', 'P_3']"
14,Bin 15,4116.154401380015,"['P_1', 'P_2', 'P_3']"
15,Bin 16,4097.626452136118,"['P_6', 'P_9', 'P_3']"
16,Bin 17,4096.554980129805,"['P_4', 'P_1', 'P_3']"
17,Bin 18,4001.82571403527,"['P_5', 'P_3', 'P_10']"
18,Bin 19,3308.3603484295572,"['P_2', 'P_8']"
19,Bin 20,3257.9214752797157,"['P_4', 'P_2']"
20,Bin 21,3240.5334120895286,"['P_4', 'P_1']"
21,Bin 22,3240.5334120895286,"['P_1', 'P_4']"
22,Bin 23,3232.6390087559093,"['P_1', 'P_9']"
23,Bin 24,3224.0736881385974,"['P_6', 'P_4']"
24,Bin 25,3211.055515570475,"['P_4', 'P_9']"
25,Bin 26,3192.471421086413,"['P_9', 'P_8']"
26,Bin 27,3164.191031649049,"['P_2', 'P_5']"
27,Bin 28,3164.191031649049,"['P_5', 'P_2']"
28,Bin 29,3156.7672756571505,"['P_8', 'P_1']"
29,Bin 30,3153.547916136279,"['P_4', 'P_8']"
30,Bin 31,3153.547916136279,"['P_8', 'P_4']"
31,Bin 32,3152.3649868126095,"['P_2', 'P_1']"
32,Bin 33,3152.3649868126095,"['P_1', 'P_2']"
33,Bin 34,3127.490967642869,"['P_10', 'P_2']"
34,Bin 35,3127.490967642869,"['P_2', 'P_10']"
35,Bin 36,3113.7827300010777,"['P_10', 'P_1']"
36,Bin 37,3109.766638704647,"['P_6', 'P_7']"
37,Bin 38,3109.766638704647,"['P_7', 'P_6']"
38,Bin 39,3107.30688387606,"['P_6', 'P_1']"
39,Bin 40,3107.30688387606,"['P_1', 'P_6']"
40,Bin 42,3025.385102795363,"['P_9', 'P_3']"
41,Bin 44,1769.6185957943483,['P_2']
42,Bin 50,520.0111091629369,"['R_33', 'P_9', 'P_2']"
43,Bin 49,407.51109542063347,"['P_2', 'P_10', 'R_25']"
44,Bin 47,198.87581894746862,"['P_6', 'P_10', 'R_21', 'R_7']"
45,Bin 45,155.5341743728695,"['P_1', 'R_9']"
46,Bin 41,0.0,"['P_6', 'R_23', 'R_33', 'R_13']"
47,Bin 43,0.0,['P_3']
48,Bin 46,0.0,"['P_2', 'R_21', 'R_33', 'R_36']"
49,Bin 48,0.0,"['P_7', 'R_24', 'R_8', 'R_29', 'P_1']"
