,Bin #,Score,Bins
0,Bin 1,1352.116776636912,"['P_3', 'P_8', 'P_2', 'P_4']"
1,Bin 2,1351.2707785267096,"['P_4', 'P_6', 'P_1', 'P_7']"
2,Bin 3,1345.6482604154428,"['P_8', 'P_6', 'P_4', 'P_10']"
3,Bin 4,1179.8665263557325,"['P_8', 'P_2', 'P_4']"
4,Bin 5,1171.986813458579,"['P_1', 'P_9', 'P_2']"
5,Bin 6,1169.5597476254493,"['P_3', 'P_8', 'P_2']"
6,Bin 7,1167.2574659856934,"['P_8', 'P_1', 'P_2']"
7,Bin 8,1166.5893539167794,"['P_3', 'P_8', 'P_1']"
8,Bin 9,1156.7909321122,"['P_8', 'P_1', 'P_10']"
9,Bin 10,1135.2956590062895,"['P_8', 'P_6', 'P_4']"
10,Bin 11,1131.295949029791,"['P_1', 'P_3', 'P_7']"
11,Bin 12,1119.4808306044308,"['P_3', 'P_4', 'P_5']"
12,Bin 13,1108.3934811770532,"['P_6', 'P_1', 'P_3']"
13,Bin 14,1105.6642239929715,"['P_8', 'P_10', 'P_3']"
14,Bin 15,1094.44372668789,"['P_3', 'P_4', 'P_6']"
15,Bin 16,1091.271444294336,"['P_3', 'P_8', 'P_4']"
16,Bin 17,1088.739684198821,"['P_9', 'P_5', 'P_10']"
17,Bin 18,1087.940862561325,"['P_1', 'P_2', 'P_6']"
18,Bin 19,1070.3917208675998,"['P_2', 'P_4', 'P_7']"
19,Bin 20,1050.9602366712138,"['P_2', 'P_6', 'P_3']"
20,Bin 21,906.1060131779184,"['P_8', 'P_1']"
21,Bin 22,906.1060131779184,"['P_1', 'P_8']"
22,Bin 23,887.9978286161504,"['P_4', 'P_1']"
23,Bin 24,887.9978286161504,"['P_1', 'P_4']"
24,Bin 25,885.3295704583694,"['P_5', 'P_1']"
25,Bin 26,885.3295704583694,"['P_1', 'P_5']"
26,Bin 27,875.0260110722627,"['P_1', 'P_6']"
27,Bin 28,875.0260110722627,"['P_6', 'P_1']"
28,Bin 29,869.0843789033946,"['P_1', 'P_10']"
29,Bin 30,869.0843789033946,"['P_10', 'P_1']"
30,Bin 31,864.3850156414412,"['P_4', 'P_6']"
31,Bin 32,860.9834608790311,"['P_4', 'P_9']"
32,Bin 33,860.9834608790311,"['P_9', 'P_4']"
33,Bin 34,850.4295959494767,"['P_3', 'P_5']"
34,Bin 35,850.4295959494767,"['P_5', 'P_3']"
35,Bin 36,848.1099820873882,"['P_5', 'P_6']"
36,Bin 37,848.1099820873882,"['P_6', 'P_5']"
37,Bin 38,837.9353116870493,"['P_7', 'P_6']"
38,Bin 39,835.4255679318379,"['P_9', 'P_6']"
39,Bin 40,832.7111326859764,"['P_3', 'P_1']"
40,Bin 42,832.607560425246,"['P_1', 'P_2']"
41,Bin 45,810.8152025183451,"['P_6', 'P_8']"
42,Bin 44,523.1622050419667,['P_1']
43,Bin 50,241.50858847864336,"['R_33', 'P_9', 'P_2']"
44,Bin 49,179.43819377113,"['P_3', 'P_5', 'R_32']"
45,Bin 41,58.866647440823144,"['P_3', 'P_4', 'R_33', 'R_13']"
46,Bin 47,55.528817382240184,"['P_4', 'P_8', 'R_21', 'R_8']"
47,Bin 43,5.671432444672154,['R_38']
48,Bin 46,0.0,"['P_6', 'R_21', 'R_33', 'R_36']"
49,Bin 48,0.0,"['P_6', 'R_24', 'R_8', 'R_29', 'P_1']"
