,Bin #,Score,Bins
0,Bin 28,2979.311680655801,"['P_10', 'P_5', 'P_6', 'P_9']"
1,Bin 25,2959.9642485667523,"['P_10', 'P_9', 'P_5', 'P_4']"
2,Bin 26,2642.11354721294,"['P_4', 'P_2', 'P_5']"
3,Bin 39,2540.6719850513605,"['P_4', 'P_9', 'P_5']"
4,Bin 9,2528.513452119985,"['P_5', 'P_1', 'P_3']"
5,Bin 37,2044.739207023951,"['P_1', 'P_4']"
6,Bin 19,1991.7978152831197,"['P_1', 'P_9']"
7,Bin 23,1991.7978152831197,"['P_9', 'P_1']"
8,Bin 27,1975.620586188113,"['P_4', 'P_10']"
9,Bin 8,1951.0656001016455,"['P_5', 'P_1']"
10,Bin 10,1951.0656001016455,"['P_1', 'P_5']"
11,Bin 22,1941.613616218624,"['P_5', 'P_4']"
12,Bin 32,1939.199635520873,"['P_10', 'P_6']"
13,Bin 18,1928.770886248649,"['P_10', 'P_3']"
14,Bin 34,1920.7257110673518,"['P_2', 'P_10']"
15,Bin 16,1920.5414616968235,"['P_6', 'P_1']"
16,Bin 3,1915.831358861781,"['P_4', 'P_3']"
17,Bin 36,1888.8916093059845,"['P_5', 'P_2']"
18,Bin 4,1855.8410337859468,"['P_9', 'P_10']"
19,Bin 33,1855.8410337859468,"['P_10', 'P_9']"
20,Bin 2,1744.5511858197594,"['P_5', 'P_9']"
21,Bin 24,1744.5511858197594,"['P_9', 'P_5']"
22,Bin 7,1134.521267201533,['P_1']
23,Bin 30,1089.1216981916664,['P_4']
24,Bin 6,996.801018358765,['P_2']
25,Bin 1,969.9616680848902,['P_9']
26,Bin 5,644.6466933793881,"['P_9', 'P_10', 'P_1', 'R_20']"
27,Bin 11,623.5709759402329,"['P_3', 'P_1', 'R_55', 'P_2']"
28,Bin 35,620.0091852795819,"['P_1', 'P_9', 'P_10', 'R_48']"
29,Bin 21,619.6168778099965,"['P_9', 'P_10', 'P_5', 'R_77']"
30,Bin 20,609.9205494262565,"['P_1', 'P_9', 'P_4', 'R_63']"
31,Bin 13,580.760402914284,"['P_5', 'P_3', 'R_87', 'P_1']"
32,Bin 31,579.810739956322,"['P_1', 'P_9', 'P_3', 'R_5']"
33,Bin 12,569.3127539802074,"['P_1', 'P_9', 'P_2', 'R_56']"
34,Bin 17,547.9356657861562,"['P_10', 'P_3', 'P_4', 'R_22']"
35,Bin 29,537.3016057958479,"['P_5', 'P_3', 'R_7', 'P_10']"
36,Bin 40,523.1113155609461,"['P_6', 'P_9', 'P_5', 'R_5']"
37,Bin 14,503.8896077818321,"['P_9', 'R_42', 'P_10', 'P_5']"
38,Bin 15,484.7211975943832,"['P_5', 'P_10', 'P_9', 'R_74']"
39,Bin 38,467.71361478051574,"['P_4', 'P_5', 'P_1', 'R_89']"
40,Bin 41,138.83275472275142,"['P_6', 'P_9', 'R_54', 'R_82']"
41,Bin 42,136.23118233117316,"['P_10', 'P_9', 'R_60', 'R_76']"
42,Bin 49,47.57717690543113,"['P_5', 'R_35', 'R_28']"
43,Bin 43,0.0,"['P_9', 'R_53', 'R_23', 'R_75', 'R_49']"
44,Bin 44,0.0,"['R_86', 'R_39', 'R_85', 'R_28']"
45,Bin 45,0.0,"['R_42', 'R_23', 'R_7', 'R_37']"
46,Bin 46,0.0,"['R_4', 'R_82', 'R_84', 'R_52', 'R_74', 'R_50', 'R_53']"
47,Bin 47,0.0,"['P_4', 'R_26', 'R_42', 'R_24']"
48,Bin 48,0.0,"['P_9', 'R_46', 'R_32', 'R_43', 'R_76', 'R_84', 'R_17', 'R_53']"
49,Bin 50,0.0,"['R_37', 'R_6', 'R_74']"
