,Bin #,Score,Bins
0,Bin 1,2630.70291802619,"['P_4', 'P_2', 'P_6', 'P_1', 'P_9']"
1,Bin 2,2618.117226378968,"['P_6', 'P_4', 'P_9', 'P_2', 'P_7']"
2,Bin 3,2525.8005353747303,"['P_2', 'P_1', 'P_4', 'P_9']"
3,Bin 4,2525.8005353747303,"['P_1', 'P_2', 'P_4', 'P_9']"
4,Bin 5,2525.8005353747303,"['P_4', 'P_1', 'P_9', 'P_2']"
5,Bin 6,2525.8005353747303,"['P_1', 'P_2', 'P_9', 'P_4']"
6,Bin 7,2523.818754232388,"['P_6', 'P_4', 'P_2', 'P_5']"
7,Bin 8,2523.818754232388,"['P_4', 'P_2', 'P_5', 'P_6']"
8,Bin 9,2523.818754232388,"['P_4', 'P_6', 'P_5', 'P_2']"
9,Bin 10,2523.818754232388,"['P_4', 'P_5', 'P_2', 'P_6']"
10,Bin 11,2511.932953365627,"['P_4', 'P_2', 'P_6', 'P_8']"
11,Bin 12,2493.6829572446345,"['P_4', 'P_2', 'P_6', 'P_10']"
12,Bin 13,2493.6829572446345,"['P_10', 'P_4', 'P_6', 'P_2']"
13,Bin 14,2487.161847247365,"['P_4', 'P_6', 'P_1', 'P_9']"
14,Bin 15,2485.7200435385985,"['P_1', 'P_4', 'P_6', 'P_2']"
15,Bin 16,2484.5556397600785,"['P_4', 'P_2', 'P_5', 'P_3']"
16,Bin 17,2484.33304996665,"['P_1', 'P_4', 'P_5', 'P_2']"
17,Bin 18,2482.6073586153902,"['P_4', 'P_9', 'P_6', 'P_2']"
18,Bin 19,2482.6073586153902,"['P_6', 'P_4', 'P_2', 'P_9']"
19,Bin 20,2482.6073586153902,"['P_4', 'P_2', 'P_9', 'P_6']"
20,Bin 21,2482.6073586153902,"['P_6', 'P_2', 'P_4', 'P_9']"
21,Bin 22,2482.6073586153902,"['P_4', 'P_6', 'P_2', 'P_9']"
22,Bin 590,2482.6073586153902,"['P_2', 'P_4', 'P_9', 'P_6']"
23,Bin 23,2481.180338645998,"['P_4', 'P_2', 'P_10', 'P_8']"
24,Bin 24,2480.641699362324,"['P_4', 'P_2', 'P_9', 'P_8']"
25,Bin 25,2480.641699362324,"['P_2', 'P_4', 'P_8', 'P_9']"
26,Bin 26,2480.641699362324,"['P_8', 'P_4', 'P_2', 'P_9']"
27,Bin 27,2480.641699362324,"['P_2', 'P_4', 'P_9', 'P_8']"
28,Bin 28,2476.4246051323175,"['P_4', 'P_2', 'P_8', 'P_5']"
29,Bin 29,2459.704690624567,"['P_9', 'P_5', 'P_4', 'P_6']"
30,Bin 30,2450.989460093065,"['P_8', 'P_1', 'P_6', 'P_4']"
31,Bin 31,2443.955603683762,"['P_9', 'P_5', 'P_1', 'P_2']"
32,Bin 32,2438.8802761558127,"['P_9', 'P_6', 'P_4', 'P_10']"
33,Bin 33,2438.8802761558127,"['P_4', 'P_6', 'P_9', 'P_10']"
34,Bin 34,2438.8802761558127,"['P_4', 'P_9', 'P_10', 'P_6']"
35,Bin 35,2436.9394432901468,"['P_4', 'P_2', 'P_9', 'P_5']"
36,Bin 36,2436.9394432901468,"['P_9', 'P_5', 'P_2', 'P_4']"
37,Bin 37,2432.6963873597497,"['P_1', 'P_4', 'P_10', 'P_8']"
38,Bin 38,2432.6963873597497,"['P_10', 'P_1', 'P_8', 'P_4']"
39,Bin 39,2431.887302120353,"['P_6', 'P_8', 'P_2', 'P_9']"
40,Bin 40,2424.721296366519,"['P_5', 'P_9', 'P_2', 'P_6']"
41,Bin 41,2424.721296366519,"['P_2', 'P_6', 'P_9', 'P_5']"
42,Bin 42,2424.721296366519,"['P_2', 'P_6', 'P_5', 'P_9']"
43,Bin 43,2417.6856482833527,"['P_2', 'P_6', 'P_9', 'P_1']"
44,Bin 44,2417.6856482833527,"['P_9', 'P_2', 'P_6', 'P_1']"
45,Bin 45,2414.4080982631413,"['P_2', 'P_1', 'P_10', 'P_4']"
46,Bin 46,2409.1611121400992,"['P_2', 'P_8', 'P_9', 'P_3']"
47,Bin 47,2406.80555637319,"['P_2', 'P_4', 'P_9', 'P_10']"
48,Bin 48,2405.6510209957046,"['P_4', 'P_2', 'P_10', 'P_5']"
49,Bin 49,2403.5938064498364,"['P_1', 'P_2', 'P_6', 'P_10']"
50,Bin 50,2403.5938064498364,"['P_1', 'P_2', 'P_10', 'P_6']"
51,Bin 51,2403.5938064498364,"['P_2', 'P_6', 'P_10', 'P_1']"
52,Bin 52,2403.5938064498364,"['P_2', 'P_6', 'P_1', 'P_10']"
53,Bin 53,2401.091353756659,"['P_6', 'P_5', 'P_1', 'P_2']"
54,Bin 54,2372.8388630718673,"['P_8', 'P_4', 'P_10', 'P_5']"
55,Bin 55,2351.00886224131,"['P_8', 'P_4', 'P_9', 'P_10']"
56,Bin 56,2351.00886224131,"['P_10', 'P_8', 'P_9', 'P_4']"
57,Bin 57,2348.64562398034,"['P_4', 'P_10', 'P_1', 'P_3']"
58,Bin 58,2341.386223561313,"['P_6', 'P_10', 'P_9', 'P_5']"
59,Bin 59,2297.1280422811988,"['P_9', 'P_10', 'P_5', 'P_4']"
60,Bin 60,2297.1280422811988,"['P_9', 'P_4', 'P_10', 'P_5']"
61,Bin 61,2226.347931808171,"['P_6', 'P_4', 'P_2']"
