,Bin #,Score,Bins
0,Bin 342,190.85173601517118,"['P_1', 'R_552']"
1,Bin 538,172.88922077182497,"['P_2', 'R_654']"
2,Bin 480,138.85479464521225,"['P_3', 'R_379']"
3,Bin 172,127.27599153471348,"['P_8', 'R_759']"
4,Bin 60,124.79744465350491,"['P_3', 'R_651']"
5,Bin 412,120.23096983073542,"['P_4', 'R_36']"
6,Bin 428,116.17688630873978,"['R_674', 'P_9']"
7,Bin 205,114.65465296838525,"['R_758', 'P_6']"
8,Bin 478,114.54119682100442,"['P_7', 'R_514']"
9,Bin 44,109.24802388551514,"['P_5', 'R_47']"
10,Bin 477,107.03627700638695,"['P_10', 'R_456']"
11,Bin 544,106.67302863238312,"['P_7', 'R_530']"
12,Bin 441,106.52148424633863,"['R_653', 'P_10']"
13,Bin 320,103.49220726567196,"['P_6', 'R_790']"
14,Bin 118,12.02874493842709,"['R_414', 'R_566']"
15,Bin 127,6.955728652613599,"['R_232', 'R_94']"
16,Bin 171,5.622843875025518,"['R_463', 'R_131']"
17,Bin 283,5.26593630967269,"['R_757', 'R_332']"
18,Bin 423,4.987672047353312,"['R_751', 'R_100']"
19,Bin 91,4.738032253759129,"['R_781', 'R_320']"
20,Bin 512,4.609481745823212,"['R_380', 'R_609']"
21,Bin 211,4.391700981504304,"['R_517', 'R_770']"
22,Bin 505,4.236887528379099,"['R_652', 'R_418']"
23,Bin 517,4.214347505499239,"['R_552', 'R_478']"
24,Bin 207,4.195900001320385,"['R_455', 'R_175']"
25,Bin 328,3.9951672994015652,"['R_141', 'R_767']"
26,Bin 214,3.976835148713426,"['R_508', 'R_748']"
27,Bin 18,3.944224541470283,"['R_339', 'R_334']"
28,Bin 293,3.9393276157973043,"['R_416', 'R_468']"
29,Bin 605,3.8752814897905647,"['R_219', 'R_42']"
30,Bin 588,3.867718243142922,"['R_189', 'R_769']"
31,Bin 579,3.784587856846858,"['R_583', 'R_154']"
32,Bin 533,3.7690028287942723,"['R_166', 'R_716']"
33,Bin 335,3.7592710486005037,"['R_716', 'R_475']"
34,Bin 116,3.723436660810736,"['R_553', 'R_16']"
35,Bin 271,3.716325776309796,"['R_688', 'R_336']"
36,Bin 572,3.7034856354480468,"['R_341', 'R_576']"
37,Bin 542,3.6712761182260527,"['R_208', 'R_469']"
38,Bin 46,3.5850496479504153,"['R_340', 'R_139']"
39,Bin 568,3.543956824805433,"['R_655', 'R_105']"
40,Bin 416,3.5072034304889135,"['R_508', 'R_491']"
41,Bin 232,3.485701457462336,"['R_212', 'R_763']"
42,Bin 522,3.4773841098439267,"['R_34', 'R_462']"
43,Bin 83,3.453771330266365,"['R_445', 'R_310']"
44,Bin 67,3.4468732022111417,"['R_25', 'R_474']"
45,Bin 452,3.4342237785497534,"['R_664', 'R_676']"
46,Bin 129,3.4313260402024444,"['R_230', 'R_234']"
