,Bin #,Score,Bins
0,Bin 1,13.686555461601028,"['R_29', 'R_35']"
1,Bin 2,13.44597153499082,"['R_20', 'R_29']"
2,Bin 3,11.776484330614972,"['R_35', 'R_20']"
3,Bin 4,9.610978789642028,"['P_3', 'R_29', 'R_20']"
4,Bin 5,8.759707808832752,"['P_7', 'R_20', 'R_29']"
5,Bin 6,8.240000045366125,"['R_20', 'R_29', 'P_10']"
6,Bin 7,8.240000045366125,"['R_20', 'P_10', 'R_29']"
7,Bin 8,8.097744718827483,"['R_20', 'P_3', 'R_35']"
8,Bin 9,8.048758237552349,"['R_35', 'R_29', 'P_10']"
9,Bin 10,7.900524893982708,"['R_35', 'P_5']"
10,Bin 11,7.317509375229481,['R_20']
11,Bin 12,6.857404724809063,"['R_7', 'R_14', 'P_10']"
12,Bin 13,6.78686778440885,"['R_3', 'R_35']"
13,Bin 14,6.501567919028759,"['R_27', 'R_20']"
14,Bin 15,6.4618014626122084,"['R_5', 'P_7']"
15,Bin 16,6.292406019526187,"['R_30', 'R_12']"
16,Bin 17,5.760555589472373,['R_35']
17,Bin 18,5.695583274600412,"['P_2', 'R_20']"
18,Bin 19,5.695583274600412,"['R_20', 'P_2']"
19,Bin 20,5.682377775628364,"['R_4', 'R_26']"
20,Bin 21,5.682377775628364,"['R_26', 'R_4']"
21,Bin 22,5.557612057378193,"['R_14', 'P_10', 'R_10']"
22,Bin 23,5.2028273526342055,"['R_9', 'R_4', 'P_6', 'P_2']"
23,Bin 24,5.183522920046096,"['R_19', 'R_5']"
24,Bin 25,5.183522920046096,"['R_5', 'R_19']"
25,Bin 26,5.073776584947289,"['R_29', 'R_15']"
26,Bin 27,5.056530350625335,"['R_26', 'R_35']"
27,Bin 28,5.056530350625335,"['R_35', 'R_26']"
28,Bin 29,5.004645986904884,"['R_35', 'P_8']"
29,Bin 30,4.935026139868162,"['R_35', 'R_9']"
30,Bin 31,4.865428048670214,"['R_6', 'R_24']"
31,Bin 32,4.865428048670214,"['R_24', 'R_6']"
32,Bin 33,4.830690538883059,"['R_36', 'R_3']"
33,Bin 34,4.8254182868507955,"['R_20', 'R_23']"
34,Bin 35,4.825186802959844,"['R_30', 'P_7', 'R_28']"
35,Bin 36,4.810002650871396,"['R_3', 'R_35', 'P_6']"
36,Bin 37,4.746756484332161,"['P_5', 'R_20', 'R_27']"
37,Bin 38,4.553470189147665,"['P_7', 'R_31', 'R_14']"
38,Bin 39,4.437325642665543,"['R_3', 'R_20']"
39,Bin 40,4.404685967973959,"['R_35', 'P_3']"
40,Bin 45,2.286403301610778,['R_26']
41,Bin 49,2.153882933062416,"['R_33', 'P_9', 'P_2']"
42,Bin 42,1.8206284070585805,"['P_7', 'R_20', 'R_33']"
43,Bin 46,0.01629712181417281,"['P_5', 'R_15', 'R_32']"
44,Bin 41,0.0,"['P_3', 'R_29', 'R_34', 'R_28', 'R_40']"
45,Bin 43,0.0,"['P_10', 'R_6', 'P_8', 'R_34', 'R_23']"
46,Bin 44,0.0,"['R_10', 'R_29', 'R_20']"
47,Bin 47,0.0,"['R_35', 'P_6', 'R_11', 'R_39', 'R_20', 'R_21', 'R_18', 'R_31']"
48,Bin 48,0.0,"['R_3', 'R_23', 'R_9']"
49,Bin 50,0.0,"['R_22', 'R_25', 'R_35']"
