,Bin #,Score,Bins
0,Bin 1,2085.1228252323344,"['P_5', 'P_3', 'P_2', 'P_4', 'P_7']"
1,Bin 2,1985.6135220717247,"['P_4', 'P_5', 'P_6', 'P_3', 'P_10']"
2,Bin 3,1733.83341262296,"['P_8', 'P_5', 'P_1', 'P_2']"
3,Bin 4,1589.0010392272263,"['P_6', 'P_4', 'P_2', 'P_1']"
4,Bin 5,1557.626477286351,"['P_1', 'P_6', 'P_10', 'P_4']"
5,Bin 6,1548.041729929782,"['P_4', 'P_3', 'P_1', 'P_2']"
6,Bin 7,962.4333670574047,"['P_9', 'R_27', 'P_5', 'P_3', 'P_4', 'P_2']"
7,Bin 8,739.8280643521605,"['P_1', 'P_5', 'P_4', 'P_6', 'P_10', 'R_36']"
8,Bin 9,618.7266522292091,"['P_9', 'P_7', 'P_8', 'P_1', 'R_6']"
9,Bin 10,618.3405609690564,"['R_2', 'P_4', 'P_9', 'P_7', 'P_1']"
10,Bin 11,592.2439583449303,"['P_8', 'P_1', 'P_6', 'P_7', 'R_22']"
11,Bin 12,580.9404282519383,"['P_2', 'P_4', 'P_5', 'R_31', 'P_3']"
12,Bin 13,549.8179429741979,"['P_3', 'P_5', 'R_29', 'P_1', 'P_9']"
13,Bin 14,527.8005666481986,"['P_5', 'R_29', 'P_4', 'P_6', 'P_1']"
14,Bin 15,523.507090718747,"['P_6', 'P_3', 'P_4', 'P_5', 'R_5']"
15,Bin 16,514.3106164738061,"['P_6', 'R_25', 'P_5', 'P_2', 'P_8']"
16,Bin 17,503.0183701568412,"['P_8', 'R_40', 'P_2', 'P_3', 'P_4']"
17,Bin 18,493.05240398469,"['P_9', 'P_7', 'R_29', 'P_4', 'P_8', 'R_39', 'P_1']"
18,Bin 19,488.64146479366286,"['P_5', 'P_2', 'P_6', 'P_4', 'R_6', 'P_3', 'R_19']"
19,Bin 20,483.22278819875294,"['R_9', 'P_1', 'P_5', 'P_8', 'R_29', 'P_6', 'P_4']"
20,Bin 21,478.87475771593614,"['P_9', 'P_3', 'P_1', 'P_4', 'R_22', 'R_13', 'P_2']"
21,Bin 22,441.71039473047114,"['P_9', 'P_5', 'P_2', 'R_2']"
22,Bin 23,419.5834475110643,"['P_3', 'P_1', 'R_4', 'P_9', 'P_5', 'P_2', 'R_5']"
23,Bin 24,407.3361636595371,"['P_8', 'P_5', 'P_2', 'P_6', 'R_8', 'R_10']"
24,Bin 25,403.4422536434911,"['P_5', 'P_9', 'P_4', 'R_2']"
25,Bin 26,403.4422536434911,"['P_5', 'P_4', 'R_2', 'P_9']"
26,Bin 27,390.70856082051466,"['P_2', 'P_4', 'P_9', 'R_5']"
27,Bin 28,381.14680809274813,"['P_7', 'R_31', 'P_6', 'P_10']"
28,Bin 29,379.8970778373231,"['P_4', 'P_6', 'P_5', 'R_2']"
29,Bin 30,371.76651169444517,"['P_6', 'P_8', 'P_4', 'R_30']"
30,Bin 31,368.4896073567524,"['P_2', 'P_7', 'P_5', 'R_14']"
31,Bin 32,362.7415654271428,"['P_5', 'P_9', 'P_4', 'R_33', 'R_20', 'P_6']"
32,Bin 33,360.9934226392171,"['P_4', 'P_6', 'R_10', 'P_1', 'P_10', 'R_28']"
33,Bin 34,353.51903859635536,"['P_7', 'P_4', 'P_5', 'R_14']"
34,Bin 35,352.2646963682111,"['P_4', 'P_2', 'R_10', 'P_3']"
35,Bin 36,350.77302912776025,"['P_5', 'P_9', 'P_7', 'R_9']"
36,Bin 37,348.75564940883385,"['P_8', 'P_1', 'R_5', 'P_4', 'P_5', 'R_20']"
37,Bin 38,347.72171937123215,"['P_7', 'P_6', 'P_4', 'R_10']"
38,Bin 39,345.93837532582336,"['P_3', 'P_8', 'P_4', 'P_5', 'R_9', 'R_19', 'P_6', 'R_10']"
39,Bin 40,344.6773560848487,"['P_5', 'P_3', 'R_38', 'P_4', 'P_6', 'P_1', 'R_6', 'R_30']"
40,Bin 47,196.09946861484516,"['R_2', 'P_2', 'P_4', 'P_7', 'R_9']"
41,Bin 41,183.1787404068714,"['P_1', 'R_33', 'P_5', 'R_22', 'P_4']"
42,Bin 46,80.54414771535492,"['P_9', 'R_29', 'P_2', 'R_32']"
43,Bin 44,80.01692010284968,"['P_3', 'P_6', 'R_37', 'R_10']"
44,Bin 50,20.37377130952833,"['P_5', 'R_28', 'R_36']"
45,Bin 43,17.779518777991104,"['R_38', 'R_30', 'R_12', 'P_4']"
46,Bin 48,10.564874596002769,"['P_9', 'R_34', 'R_6', 'R_13', 'R_26']"
47,Bin 49,1.1909097878935306,"['P_5', 'R_9', 'R_37', 'R_39', 'R_20', 'R_13', 'R_15', 'R_12', 'R_3']"
48,Bin 42,0.0,"['P_1', 'P_10', 'P_4']"
49,Bin 45,0.0,['P_5']
