,Bin #,Score,Bins
0,Bin 27,8337.284714647072,"['P_10', 'P_7', 'P_9', 'P_2']"
1,Bin 25,8228.118018831115,"['P_4', 'P_8', 'P_5', 'P_9']"
2,Bin 38,7372.884914677984,"['P_10', 'P_9', 'P_1']"
3,Bin 31,7183.273652808343,"['P_5', 'P_4', 'P_2']"
4,Bin 9,7162.324656944736,"['P_1', 'P_7', 'P_6']"
5,Bin 10,7142.131442644418,"['P_8', 'P_3', 'P_2']"
6,Bin 21,7037.951692323938,"['P_5', 'P_1', 'P_3']"
7,Bin 40,6994.330238923478,"['P_5', 'P_3', 'P_8']"
8,Bin 32,6990.122187353441,"['P_1', 'P_7', 'P_3']"
9,Bin 14,6967.152833622797,"['P_6', 'P_3', 'P_5']"
10,Bin 26,6967.152833622797,"['P_3', 'P_5', 'P_6']"
11,Bin 30,6960.223107445987,"['P_3', 'P_5', 'P_9']"
12,Bin 23,6927.550480859718,"['P_6', 'P_5', 'P_7']"
13,Bin 28,5527.727673064932,"['P_4', 'P_1']"
14,Bin 3,5454.0819085498715,"['P_10', 'P_4']"
15,Bin 17,5454.0819085498715,"['P_4', 'P_10']"
16,Bin 1,5427.017310131373,"['P_2', 'P_10']"
17,Bin 29,5427.017310131373,"['P_10', 'P_2']"
18,Bin 34,5413.383868537303,"['P_8', 'P_1']"
19,Bin 11,5408.584514499922,"['P_2', 'P_4']"
20,Bin 12,5408.584514499922,"['P_4', 'P_2']"
21,Bin 22,5403.0525150950625,"['P_2', 'P_1']"
22,Bin 37,5399.811779403588,"['P_9', 'P_8']"
23,Bin 20,5389.264726055334,"['P_2', 'P_8']"
24,Bin 36,5389.264726055334,"['P_8', 'P_2']"
25,Bin 6,5377.456449565123,"['P_1', 'P_6']"
26,Bin 7,5337.897792053977,"['P_7', 'P_10']"
27,Bin 4,5317.338320047099,"['P_1', 'P_7']"
28,Bin 24,5290.591280599589,"['P_1', 'P_5']"
29,Bin 5,5256.315156228811,"['P_2', 'P_5']"
30,Bin 18,5256.315156228811,"['P_5', 'P_2']"
31,Bin 35,5243.261238174912,"['P_3', 'P_2']"
32,Bin 16,5228.492346978233,"['P_4', 'P_3']"
33,Bin 19,5218.7487140109815,"['P_7', 'P_2']"
34,Bin 8,5213.808004310569,"['P_3', 'P_8']"
35,Bin 13,5213.808004310569,"['P_8', 'P_3']"
36,Bin 39,5203.629857053903,"['P_4', 'P_7']"
37,Bin 2,5202.965513721645,"['P_2', 'P_6']"
38,Bin 33,5202.965513721645,"['P_6', 'P_2']"
39,Bin 15,5162.556680342504,"['P_8', 'P_5']"
40,Bin 48,2908.4499614268234,['P_2']
41,Bin 41,631.2506640181932,"['P_10', 'R_15', 'P_7']"
42,Bin 46,568.3783952234987,"['P_5', 'P_6', 'R_26']"
43,Bin 50,274.4933154957964,"['R_33', 'P_9']"
44,Bin 44,232.42632648983226,"['P_1', 'P_9', 'R_21', 'R_9']"
45,Bin 43,225.96329837938364,"['P_4', 'P_7', 'R_29', 'R_2']"
46,Bin 49,225.60586150048476,"['P_2', 'R_40']"
47,Bin 45,223.09496087407223,"['P_3', 'R_14']"
48,Bin 47,174.75675550859992,"['P_2', 'R_6']"
49,Bin 42,157.43091195558867,"['P_5', 'R_6']"
