,Bin #,Score,Bins
0,Bin 1,11.360724543311072,"['P_9', 'P_8', 'R_37']"
1,Bin 2,11.315529621955191,"['R_30', 'P_8']"
2,Bin 3,11.315529621955191,"['P_8', 'R_30']"
3,Bin 4,11.052806757906366,"['P_8', 'R_37']"
4,Bin 5,11.052806757906366,"['R_37', 'P_8']"
5,Bin 6,10.367765901107322,"['R_30', 'R_3', 'P_5']"
6,Bin 7,8.632571867861166,"['R_37', 'R_19']"
7,Bin 8,8.488577396013456,"['R_37', 'P_6']"
8,Bin 9,8.356525770466696,"['R_30', 'P_8', 'P_2']"
9,Bin 10,7.8842027176222755,"['R_37', 'P_8', 'P_2']"
10,Bin 11,7.787786021152521,"['R_37', 'R_30']"
11,Bin 12,7.694787447129246,"['P_8', 'P_5', 'R_3']"
12,Bin 13,7.694787447129246,"['P_8', 'R_3', 'P_5']"
13,Bin 14,7.669403886713161,"['P_8', 'R_37', 'R_24']"
14,Bin 15,7.47590642855443,"['R_37', 'R_30', 'P_10']"
15,Bin 16,7.071535179565254,"['R_30', 'P_8', 'R_17']"
16,Bin 17,6.780845598733,['P_8']
17,Bin 18,6.687311131059433,"['R_37', 'R_15', 'P_6']"
18,Bin 19,6.557449102892027,"['P_8', 'P_5']"
19,Bin 20,6.557449102892027,"['P_5', 'P_8']"
20,Bin 21,6.4924017138774115,"['P_9', 'P_8', 'R_37', 'P_5']"
21,Bin 22,6.309145835940966,"['P_9', 'P_8']"
22,Bin 23,6.296682396468316,"['R_30', 'R_23']"
23,Bin 24,6.264671135839999,"['R_37', 'R_15']"
24,Bin 25,6.264671135839999,"['R_15', 'R_37']"
25,Bin 26,6.2490036189044105,"['P_8', 'P_5', 'R_3', 'R_7']"
26,Bin 27,6.059844859469906,"['P_8', 'R_8', 'R_30']"
27,Bin 46,6.029966843537639,"['R_37', 'P_8', 'R_3']"
28,Bin 28,5.963468008423316,"['R_30', 'P_7', 'P_3', 'P_5']"
29,Bin 29,5.88431189987814,"['P_5', 'R_30', 'R_28']"
30,Bin 30,5.880468287447148,"['P_8', 'P_6', 'R_37', 'P_7']"
31,Bin 31,5.86396649892317,"['R_1', 'P_8']"
32,Bin 32,5.86396649892317,"['P_8', 'R_1']"
33,Bin 33,5.841700406604989,"['R_15', 'R_37', 'P_9']"
34,Bin 34,5.283563582261906,"['P_8', 'R_30', 'P_3']"
35,Bin 35,5.082773072416235,"['P_8', 'R_28', 'R_3']"
36,Bin 36,4.953343195990519,"['R_30', 'P_5', 'P_7', 'P_2']"
37,Bin 37,4.770005513891075,"['P_8', 'R_8']"
38,Bin 38,4.691856105870528,"['P_8', 'R_37', 'R_8']"
39,Bin 39,4.63737914901388,"['P_8', 'R_37', 'R_40']"
40,Bin 40,4.59878525477494,"['R_30', 'P_9']"
41,Bin 44,4.23593459792737,['R_37']
42,Bin 42,0.715486514399381,['R_2']
43,Bin 49,0.22052415841575165,"['R_15', 'P_9', 'R_17']"
44,Bin 45,0.17433519103202674,"['P_8', 'P_6', 'R_25']"
45,Bin 50,0.03655426361494607,"['R_33', 'P_9', 'P_2']"
46,Bin 43,0.006380640374417144,['R_29']
47,Bin 41,0.0,"['R_37', 'P_8', 'R_39', 'R_21']"
48,Bin 47,0.0,"['P_8', 'R_14', 'R_22', 'R_1']"
49,Bin 48,0.0,"['R_37', 'R_28', 'R_6', 'R_7', 'R_21', 'R_18', 'R_15', 'P_5']"
