,Bin #,Score,Bins
0,Bin 1,7046.051556131005,"['P_4', 'P_3', 'P_8', 'P_6']"
1,Bin 2,6989.974081463334,"['P_6', 'P_8', 'P_5', 'P_7']"
2,Bin 3,5871.653329626515,"['P_6', 'P_4', 'P_10']"
3,Bin 4,5842.703363640807,"['P_2', 'P_10', 'P_9']"
4,Bin 5,5790.907041905943,"['P_1', 'P_6', 'P_8']"
5,Bin 6,5777.130675674725,"['P_2', 'P_3', 'P_4']"
6,Bin 7,5768.848323745742,"['P_9', 'P_5', 'P_2']"
7,Bin 8,5762.170796356629,"['P_9', 'P_2', 'P_6']"
8,Bin 9,5756.04987579841,"['P_7', 'P_4', 'P_1']"
9,Bin 10,5733.177725195309,"['P_7', 'P_10', 'P_6']"
10,Bin 11,5701.543977380457,"['P_3', 'P_8', 'P_2']"
11,Bin 12,5677.450973226366,"['P_3', 'P_5', 'P_2']"
12,Bin 13,5656.727555693632,"['P_2', 'P_5', 'P_10']"
13,Bin 14,5652.060729326693,"['P_2', 'P_10', 'P_3']"
14,Bin 15,5642.792857056228,"['P_3', 'P_9', 'P_10']"
15,Bin 16,5627.027868699564,"['P_3', 'P_4', 'P_5']"
16,Bin 17,5605.14265397656,"['P_6', 'P_2', 'P_5']"
17,Bin 18,5590.3781078965885,"['P_3', 'P_8', 'P_6']"
18,Bin 19,5575.772132253302,"['P_5', 'P_8', 'P_9']"
19,Bin 20,5545.73646829236,"['P_6', 'P_7', 'P_4']"
20,Bin 21,5545.315543598703,"['P_4', 'P_3', 'P_6']"
21,Bin 22,5545.315543598703,"['P_3', 'P_4', 'P_6']"
22,Bin 23,5524.04275468123,"['P_10', 'P_5', 'P_6']"
23,Bin 24,5518.287266442206,"['P_9', 'P_5', 'P_3']"
24,Bin 25,5490.371359789489,"['P_5', 'P_10', 'P_3']"
25,Bin 26,5482.36856012864,"['P_3', 'P_6', 'P_7']"
26,Bin 27,5445.4390356877,"['P_6', 'P_3', 'P_5']"
27,Bin 28,4245.439607251391,"['P_10', 'P_1']"
28,Bin 29,4228.644585306968,"['P_10', 'P_4']"
29,Bin 30,4228.644585306968,"['P_4', 'P_10']"
30,Bin 31,4202.160155909992,"['P_4', 'P_1']"
31,Bin 32,4165.236369119097,"['P_1', 'P_6']"
32,Bin 33,4165.236369119097,"['P_6', 'P_1']"
33,Bin 34,4162.289719468178,"['P_4', 'P_2']"
34,Bin 35,4162.289719468178,"['P_2', 'P_4']"
35,Bin 36,4139.024474233432,"['P_9', 'P_2']"
36,Bin 37,4098.562476370088,"['P_4', 'P_8']"
37,Bin 38,4083.394311868886,"['P_2', 'P_1']"
38,Bin 39,4083.394311868886,"['P_1', 'P_2']"
39,Bin 40,4074.9042044044504,"['P_8', 'P_2']"
40,Bin 45,3908.2233248926855,"['P_6', 'P_2']"
41,Bin 44,3902.059731974489,"['P_3', 'P_1']"
42,Bin 49,671.4198347237924,"['R_33', 'P_9', 'P_2']"
43,Bin 48,614.2498771544019,"['P_4', 'P_2', 'R_25']"
44,Bin 41,244.91403699355834,"['P_3', 'P_6', 'R_33', 'R_21']"
45,Bin 46,159.19880872160655,"['P_10', 'P_6', 'R_21', 'R_10', 'R_32']"
46,Bin 47,152.50194078276058,"['P_2', 'R_24', 'R_8', 'R_29', 'P_1']"
47,Bin 50,0.19681491468089699,"['R_22', 'R_25', 'R_35']"
48,Bin 42,0.00887761287481422,['R_38']
49,Bin 43,0.0,['P_8']
