,Bin #,Score,Bins
0,Bin 1,2224.8114002614307,"['P_3', 'P_8', 'P_4', 'P_2']"
1,Bin 2,2153.6388262130286,"['P_6', 'P_3', 'P_5', 'P_7']"
2,Bin 3,2070.9090289458104,"['P_3', 'P_5', 'P_6', 'P_9']"
3,Bin 4,1933.4177302814435,"['P_4', 'P_8', 'P_1']"
4,Bin 5,1894.2962002430347,"['P_3', 'P_8', 'P_2']"
5,Bin 6,1892.8540452416728,"['P_3', 'P_10', 'P_8']"
6,Bin 7,1891.6010456701747,"['P_4', 'P_2', 'P_10']"
7,Bin 8,1866.93593879868,"['P_6', 'P_8', 'P_10']"
8,Bin 9,1866.93593879868,"['P_8', 'P_10', 'P_6']"
9,Bin 10,1830.5603348523764,"['P_2', 'P_4', 'P_6']"
10,Bin 11,1830.5122049440838,"['P_2', 'P_7', 'P_8']"
11,Bin 12,1828.9989952986705,"['P_2', 'P_4', 'P_7']"
12,Bin 13,1822.081839616723,"['P_10', 'P_5', 'P_4']"
13,Bin 14,1821.9553952349388,"['P_10', 'P_3', 'P_7']"
14,Bin 15,1818.6297314576818,"['P_2', 'P_3', 'P_6']"
15,Bin 16,1813.151284107013,"['P_6', 'P_10', 'P_5']"
16,Bin 17,1813.151284107013,"['P_5', 'P_6', 'P_10']"
17,Bin 18,1801.6389980748086,"['P_10', 'P_5', 'P_7']"
18,Bin 19,1793.2668759752416,"['P_8', 'P_4', 'P_5']"
19,Bin 20,1788.2896913472796,"['P_3', 'P_5', 'P_8']"
20,Bin 21,1786.5988755730996,"['P_9', 'P_5', 'P_2']"
21,Bin 22,1783.2054141886865,"['P_5', 'P_6', 'P_7']"
22,Bin 23,1771.2609604291151,"['P_6', 'P_5', 'P_3']"
23,Bin 24,1771.2609604291151,"['P_3', 'P_5', 'P_6']"
24,Bin 25,1764.8075857632905,"['P_6', 'P_8', 'P_3']"
25,Bin 26,1746.6555729632753,"['P_3', 'P_9', 'P_5']"
26,Bin 27,1493.3148937662536,"['P_1', 'P_8']"
27,Bin 28,1493.3148937662536,"['P_8', 'P_1']"
28,Bin 29,1474.9869861803375,"['P_10', 'P_4']"
29,Bin 30,1473.466353520359,"['P_4', 'P_9']"
30,Bin 31,1473.466353520359,"['P_9', 'P_4']"
31,Bin 32,1447.8948964301853,"['P_10', 'P_1']"
32,Bin 33,1440.5091204238465,"['P_4', 'P_1']"
33,Bin 34,1440.3654968190451,"['P_10', 'P_8']"
34,Bin 35,1432.8879081313796,"['P_6', 'P_10']"
35,Bin 36,1428.4198036526288,"['P_10', 'P_2']"
36,Bin 37,1422.5418088700478,"['P_4', 'P_2']"
37,Bin 38,1418.811972826222,"['P_8', 'P_3']"
38,Bin 39,1418.811972826222,"['P_3', 'P_8']"
39,Bin 40,1405.7347287263497,"['P_3', 'P_4']"
40,Bin 42,1390.0114813012717,"['P_3', 'P_2']"
41,Bin 46,296.9828851865012,"['P_7', 'P_8', 'R_7']"
42,Bin 50,274.51382337660505,"['P_6', 'P_10', 'R_35']"
43,Bin 48,115.83329255191218,"['P_8', 'P_2', 'R_9', 'R_7']"
44,Bin 41,98.06542985918378,"['P_3', 'P_8', 'R_34', 'R_21']"
45,Bin 43,1.6619548768496357,['R_38']
46,Bin 44,0.0,['P_6']
47,Bin 45,0.0,"['P_6', 'P_4', 'P_8', 'R_33', 'R_15']"
48,Bin 47,0.0,"['P_8', 'R_21', 'R_34', 'R_36']"
49,Bin 49,0.0,"['P_2', 'R_24', 'R_8', 'R_29', 'P_1']"
