,Bin #,Score,Bins
0,Bin 33,5153.276522607827,"['P_9', 'P_3']"
1,Bin 11,569.5399176368593,"['R_181', 'P_5', 'P_10']"
2,Bin 39,562.6171329687858,"['P_9', 'P_3', 'R_164']"
3,Bin 37,251.08748814090336,"['P_3', 'R_60', 'P_9', 'R_55']"
4,Bin 31,249.62721980940026,"['P_5', 'R_44']"
5,Bin 3,247.36429318392246,"['R_142', 'P_9']"
6,Bin 17,237.18536957235577,"['P_3', 'P_8', 'R_163', 'R_71']"
7,Bin 24,236.89083803966017,"['R_173', 'P_4']"
8,Bin 7,221.1823473466954,"['R_26', 'P_3']"
9,Bin 23,217.16025949436195,"['P_3', 'R_74']"
10,Bin 26,216.6665487060807,"['R_15', 'P_9']"
11,Bin 43,215.87453584825866,"['P_5', 'R_39', 'P_2', 'R_106']"
12,Bin 13,209.0429872687292,"['P_5', 'R_149', 'P_4', 'R_39']"
13,Bin 27,207.64419470584753,"['R_178', 'P_5', 'R_90', 'P_9']"
14,Bin 46,206.30567891038322,"['P_5', 'P_6', 'R_122', 'R_174']"
15,Bin 18,200.84135408936845,"['R_170', 'P_3']"
16,Bin 10,191.05241980371468,"['P_8', 'R_112']"
17,Bin 12,181.16502713921733,"['P_5', 'R_78']"
18,Bin 20,177.34129054181707,"['P_5', 'R_22']"
19,Bin 2,177.18816656659538,"['R_184', 'P_3']"
20,Bin 4,173.00717303058752,"['P_5', 'R_114']"
21,Bin 28,153.32500843009893,"['P_3', 'R_16']"
22,Bin 1,99.37314193346377,"['R_181', 'P_5', 'R_37']"
23,Bin 25,96.84801931416709,"['P_5', 'R_51', 'R_188']"
24,Bin 14,93.93319644640268,"['P_3', 'R_13', 'R_26']"
25,Bin 36,93.51507190520323,"['R_185', 'P_2', 'R_102']"
26,Bin 5,91.75470609620838,"['R_68', 'R_115', 'P_4']"
27,Bin 35,90.64932615980982,"['P_5', 'R_186', 'R_159']"
28,Bin 34,89.13080081488606,"['R_106', 'P_3', 'R_60']"
29,Bin 9,88.72346680838326,"['R_173', 'R_123', 'P_4']"
30,Bin 19,88.6165895692718,"['P_2', 'R_7', 'R_66']"
31,Bin 30,83.37404184511391,"['R_115', 'P_4', 'R_158']"
32,Bin 21,80.98525257670151,"['P_9', 'R_51', 'R_118']"
33,Bin 32,78.34360173593556,"['R_90', 'P_3', 'R_174']"
34,Bin 15,77.96375723151452,"['P_3', 'R_169', 'R_190']"
35,Bin 8,77.15150614103625,"['P_3', 'R_128', 'R_170']"
36,Bin 16,76.20926592819784,"['R_185', 'P_2', 'R_88']"
37,Bin 22,74.67324269391739,"['P_3', 'R_39', 'R_155']"
38,Bin 38,70.70800144184264,"['P_5', 'R_43', 'R_147']"
39,Bin 6,69.80731318342657,"['P_2', 'R_119', 'R_2']"
40,Bin 40,69.48288790154237,"['P_4', 'R_2', 'R_137']"
41,Bin 29,68.56601078821222,"['P_3', 'R_89', 'R_53']"
42,Bin 41,0.0,"['R_132', 'R_43', 'R_53', 'R_141', 'R_185', 'R_160', 'R_140']"
43,Bin 42,0.0,"['P_2', 'R_119', 'R_182', 'R_158', 'R_45', 'R_174', 'R_176']"
44,Bin 44,0.0,"['R_149', 'P_4', 'R_23', 'R_131', 'R_108']"
45,Bin 45,0.0,['P_5']
46,Bin 47,0.0,"['R_184', 'R_37', 'R_53', 'R_27', 'R_62']"
47,Bin 48,0.0,"['P_3', 'R_135', 'R_56', 'R_158', 'R_90', 'R_44']"
48,Bin 49,0.0,"['P_4', 'R_110', 'R_38', 'P_6', 'R_76', 'R_46', 'R_17', 'R_120']"
49,Bin 50,0.0,"['R_137', 'R_15', 'R_43', 'R_38', 'P_3', 'R_127']"
