,Bin #,Score,Bins
0,Bin 1,8583.281355675415,"['P_10', 'P_9', 'P_1', 'P_4']"
1,Bin 2,8583.281355675415,"['P_9', 'P_1', 'P_4', 'P_10']"
2,Bin 800,8583.281355675415,"['P_9', 'P_4', 'P_10', 'P_1']"
3,Bin 3,8549.230092427637,"['P_9', 'P_4', 'P_1', 'P_2']"
4,Bin 4,8549.230092427637,"['P_2', 'P_1', 'P_4', 'P_9']"
5,Bin 5,8492.818643710674,"['P_1', 'P_9', 'P_2', 'P_10']"
6,Bin 6,8492.818643710674,"['P_10', 'P_1', 'P_9', 'P_2']"
7,Bin 7,8492.818643710674,"['P_2', 'P_9', 'P_1', 'P_10']"
8,Bin 8,8469.445198152993,"['P_4', 'P_10', 'P_1', 'P_7']"
9,Bin 9,8440.53080637223,"['P_10', 'P_4', 'P_8', 'P_2']"
10,Bin 10,8437.624086211074,"['P_1', 'P_4', 'P_2', 'P_10']"
11,Bin 11,8437.624086211074,"['P_4', 'P_2', 'P_10', 'P_1']"
12,Bin 12,8404.855203289118,"['P_9', 'P_8', 'P_1', 'P_3']"
13,Bin 13,8386.358774362554,"['P_1', 'P_10', 'P_2', 'P_6']"
14,Bin 14,8386.358774362554,"['P_2', 'P_6', 'P_1', 'P_10']"
15,Bin 15,8362.717336900881,"['P_4', 'P_1', 'P_8', 'P_5']"
16,Bin 16,8350.605264973176,"['P_1', 'P_2', 'P_10', 'P_5']"
17,Bin 17,8315.924951174411,"['P_1', 'P_9', 'P_2', 'P_6']"
18,Bin 18,8310.464444954905,"['P_9', 'P_2', 'P_4', 'P_6']"
19,Bin 19,8286.758467572554,"['P_8', 'P_1', 'P_3', 'P_2']"
20,Bin 20,8276.681737706365,"['P_8', 'P_9', 'P_3', 'P_7']"
21,Bin 21,8263.435405459164,"['P_5', 'P_10', 'P_4', 'P_8']"
22,Bin 22,8259.212480323693,"['P_9', 'P_2', 'P_1', 'P_3']"
23,Bin 23,8217.79918140932,"['P_9', 'P_6', 'P_10', 'P_3']"
24,Bin 24,7463.141337127081,"['P_1', 'P_9', 'P_4']"
25,Bin 25,7463.141337127081,"['P_9', 'P_1', 'P_4']"
26,Bin 26,7463.141337127081,"['P_4', 'P_1', 'P_9']"
27,Bin 27,7463.141337127081,"['P_9', 'P_4', 'P_1']"
28,Bin 28,7463.141337127081,"['P_1', 'P_4', 'P_9']"
29,Bin 29,7463.141337127081,"['P_4', 'P_9', 'P_1']"
30,Bin 30,7372.884914677984,"['P_9', 'P_10', 'P_1']"
31,Bin 31,7372.884914677984,"['P_1', 'P_9', 'P_10']"
32,Bin 32,7372.884914677984,"['P_10', 'P_1', 'P_9']"
33,Bin 33,7372.884914677984,"['P_1', 'P_10', 'P_9']"
34,Bin 34,7372.884914677984,"['P_10', 'P_9', 'P_1']"
35,Bin 35,7372.884914677984,"['P_9', 'P_1', 'P_10']"
36,Bin 36,7362.821949857208,"['P_1', 'P_10', 'P_4']"
37,Bin 37,7362.821949857208,"['P_10', 'P_1', 'P_4']"
38,Bin 38,7362.821949857208,"['P_1', 'P_4', 'P_10']"
39,Bin 39,7362.821949857208,"['P_4', 'P_10', 'P_1']"
40,Bin 40,7362.821949857208,"['P_4', 'P_1', 'P_10']"
41,Bin 41,7362.821949857208,"['P_10', 'P_4', 'P_1']"
42,Bin 42,7326.9726766684,"['P_9', 'P_8', 'P_1']"
43,Bin 43,7326.9726766684,"['P_8', 'P_1', 'P_9']"
44,Bin 44,7326.9726766684,"['P_9', 'P_1', 'P_8']"
45,Bin 45,7326.9726766684,"['P_1', 'P_8', 'P_9']"
46,Bin 46,7326.9726766684,"['P_8', 'P_9', 'P_1']"
47,Bin 47,7315.050130964843,"['P_10', 'P_2', 'P_1']"
48,Bin 48,7315.050130964843,"['P_2', 'P_1', 'P_10']"
49,Bin 49,7315.050130964843,"['P_1', 'P_10', 'P_2']"
50,Bin 50,7315.050130964843,"['P_1', 'P_2', 'P_10']"
51,Bin 51,7315.050130964843,"['P_10', 'P_1', 'P_2']"
52,Bin 52,7315.050130964843,"['P_2', 'P_10', 'P_1']"
53,Bin 53,7314.460685265829,"['P_10', 'P_7', 'P_1']"
54,Bin 54,7314.460685265829,"['P_10', 'P_1', 'P_7']"
55,Bin 55,7314.460685265829,"['P_1', 'P_7', 'P_10']"
56,Bin 56,7279.489510661427,"['P_2', 'P_9', 'P_8']"
57,Bin 57,7279.489510661427,"['P_8', 'P_9', 'P_2']"
58,Bin 58,7278.128043179125,"['P_2', 'P_4', 'P_1']"
59,Bin 59,7278.128043179125,"['P_1', 'P_2', 'P_4']"
60,Bin 60,7278.128043179125,"['P_4', 'P_2', 'P_1']"
61,Bin 61,7278.128043179125,"['P_1', 'P_4', 'P_2']"
62,Bin 62,7278.128043179125,"['P_2', 'P_1', 'P_4']"
63,Bin 63,7278.128043179125,"['P_4', 'P_1', 'P_2']"
64,Bin 64,7274.097251400186,"['P_9', 'P_2', 'P_1']"
65,Bin 65,7274.097251400186,"['P_9', 'P_1', 'P_2']"
66,Bin 66,7274.097251400186,"['P_1', 'P_9', 'P_2']"
67,Bin 67,7274.097251400186,"['P_1', 'P_2', 'P_9']"
68,Bin 68,7274.097251400186,"['P_2', 'P_1', 'P_9']"
69,Bin 69,7274.097251400186,"['P_2', 'P_9', 'P_1']"
70,Bin 70,7272.663546367054,"['P_6', 'P_1', 'P_10']"
71,Bin 71,7272.663546367054,"['P_1', 'P_10', 'P_6']"
72,Bin 72,7272.663546367054,"['P_1', 'P_6', 'P_10']"
73,Bin 73,7272.663546367054,"['P_6', 'P_10', 'P_1']"
74,Bin 74,7272.663546367054,"['P_10', 'P_1', 'P_6']"
75,Bin 75,7272.389593445877,"['P_9', 'P_4', 'P_2']"
76,Bin 76,7272.389593445877,"['P_2', 'P_4', 'P_9']"
77,Bin 77,7272.389593445877,"['P_9', 'P_2', 'P_4']"
78,Bin 78,7272.389593445877,"['P_4', 'P_2', 'P_9']"
79,Bin 79,7272.389593445877,"['P_4', 'P_9', 'P_2']"
80,Bin 80,7270.952073776247,"['P_4', 'P_10', 'P_8']"
81,Bin 81,7270.952073776247,"['P_8', 'P_10', 'P_4']"
82,Bin 82,7270.952073776247,"['P_10', 'P_8', 'P_4']"
83,Bin 83,7270.952073776247,"['P_10', 'P_4', 'P_8']"
84,Bin 84,7269.657143413157,"['P_2', 'P_4', 'P_8']"
85,Bin 85,7269.657143413157,"['P_2', 'P_8', 'P_4']"
86,Bin 86,7269.657143413157,"['P_4', 'P_8', 'P_2']"
87,Bin 87,7269.657143413157,"['P_4', 'P_2', 'P_8']"
88,Bin 88,7265.092788977167,"['P_1', 'P_4', 'P_8']"
89,Bin 89,7265.092788977167,"['P_8', 'P_1', 'P_4']"
90,Bin 90,7265.092788977167,"['P_4', 'P_1', 'P_8']"
91,Bin 91,7265.092788977167,"['P_4', 'P_8', 'P_1']"
92,Bin 92,7265.092788977167,"['P_1', 'P_8', 'P_4']"
93,Bin 93,7246.235049231313,"['P_10', 'P_4', 'P_9']"
94,Bin 94,7246.235049231313,"['P_4', 'P_10', 'P_9']"
95,Bin 95,7246.235049231313,"['P_9', 'P_10', 'P_4']"
96,Bin 96,7246.235049231313,"['P_4', 'P_9', 'P_10']"
97,Bin 97,7246.235049231313,"['P_9', 'P_4', 'P_10']"
98,Bin 98,7246.235049231313,"['P_10', 'P_9', 'P_4']"
99,Bin 99,7240.064395287613,"['P_9', 'P_4', 'P_8']"
100,Bin 100,7240.064395287613,"['P_4', 'P_9', 'P_8']"
101,Bin 101,7240.064395287613,"['P_9', 'P_8', 'P_4']"
102,Bin 102,7240.064395287613,"['P_8', 'P_9', 'P_4']"
103,Bin 103,7240.064395287613,"['P_4', 'P_8', 'P_9']"
104,Bin 104,7236.909071527111,"['P_2', 'P_10', 'P_4']"
105,Bin 105,7236.909071527111,"['P_4', 'P_10', 'P_2']"
