,Bin #,Score,Bins
0,Bin 389,241.97813306847576,"['P_8', 'R_216']"
1,Bin 90,237.4279908561108,"['R_478', 'P_5']"
2,Bin 42,237.0654573810269,"['R_466', 'P_9']"
3,Bin 428,236.64025819867751,"['R_74', 'P_4']"
4,Bin 468,232.3847590448839,"['R_323', 'P_8']"
5,Bin 323,228.82981554134022,"['R_444', 'P_10']"
6,Bin 19,213.28663673610032,"['R_82', 'P_4']"
7,Bin 417,213.1411027652524,"['R_604', 'P_1']"
8,Bin 352,209.2149684877846,"['P_3', 'R_390']"
9,Bin 313,204.2145364326372,"['R_372', 'P_9']"
10,Bin 211,197.88566273769496,"['R_613', 'P_10']"
11,Bin 260,184.98492013727892,"['P_2', 'R_144']"
12,Bin 1,170.43262875720265,"['P_6', 'R_227']"
13,Bin 510,147.42443070318274,"['P_7', 'R_402']"
14,Bin 555,66.11108120252148,"['P_3', 'R_381', 'R_488']"
15,Bin 206,7.697856107332646,"['R_256', 'R_419']"
16,Bin 212,6.729235724279685,"['R_465', 'R_434']"
17,Bin 436,6.450019068128351,"['R_577', 'R_2']"
18,Bin 483,5.972465423952468,"['R_634', 'R_619']"
19,Bin 253,5.943911502049608,"['R_590', 'R_496']"
20,Bin 514,5.941393773152234,"['R_398', 'R_45']"
21,Bin 498,5.940587628334271,"['R_35', 'R_93']"
22,Bin 59,5.76124079832515,"['R_320', 'R_138']"
23,Bin 72,5.658807801180876,"['R_140', 'R_617']"
24,Bin 326,5.6421306327936245,"['R_450', 'R_125']"
25,Bin 215,5.3189607487887525,"['R_686', 'R_616']"
26,Bin 495,5.245301937295394,"['R_378', 'R_71']"
27,Bin 324,5.229415402291768,"['R_648', 'R_65']"
28,Bin 386,4.895121439423735,"['R_474', 'R_60']"
29,Bin 88,4.878000464494391,"['R_549', 'R_47']"
30,Bin 228,4.656766214720744,"['R_308', 'R_315']"
31,Bin 496,4.485960739559087,"['R_503', 'R_118']"
32,Bin 506,4.434853299536378,"['R_150', 'R_657']"
33,Bin 398,4.364069380195842,"['R_661', 'R_310']"
34,Bin 48,4.281741430158138,"['R_418', 'R_67']"
35,Bin 397,4.120279267232754,"['R_656', 'R_678']"
36,Bin 328,4.119517270529151,"['R_682', 'R_527']"
37,Bin 112,4.063888110202099,"['R_667', 'R_394']"
38,Bin 429,3.9303696237347614,"['R_152', 'R_545']"
39,Bin 556,3.9101561261433924,"['R_28', 'R_656']"
40,Bin 430,3.7614215986089032,"['R_436', 'R_588']"
41,Bin 4,3.739328517172413,"['R_421', 'R_620']"
42,Bin 490,3.7205819337124364,"['R_187', 'R_582']"
43,Bin 200,3.6392012079912606,"['R_277', 'R_295']"
44,Bin 339,3.58782049189679,"['R_511', 'R_73']"
45,Bin 89,3.474250543116016,"['R_414', 'R_506']"
46,Bin 439,3.408294221755955,"['R_386', 'R_381']"
47,Bin 111,3.387322522136735,"['R_548', 'R_642']"
48,Bin 10,3.231702970506761,"['R_628', 'R_500']"
49,Bin 186,3.219475142982279,"['R_130', 'R_440']"
50,Bin 346,3.2147716976693395,"['R_280', 'R_213']"
51,Bin 136,3.1729871372346095,"['R_673', 'R_81']"
52,Bin 329,3.1724454393610904,"['R_468', 'R_258']"
53,Bin 312,3.1716960016043347,"['R_307', 'R_297']"
54,Bin 118,3.1696157457828233,"['R_559', 'R_425']"
55,Bin 238,3.1609786083445823,"['R_301', 'R_326']"
56,Bin 256,3.1360443913316014,"['R_602', 'R_359']"
57,Bin 474,3.1226657695067157,"['R_166', 'R_537']"
58,Bin 5,3.052205495405381,"['R_253', 'R_302']"
59,Bin 95,3.0215434581411773,"['R_458', 'R_175']"
60,Bin 156,3.0048609039734577,"['R_227', 'R_406']"
61,Bin 431,2.939268561716683,"['R_105', 'R_635']"
62,Bin 251,2.9053201562302116,"['R_347', 'R_659']"
63,Bin 135,2.8986808996041464,"['R_263', 'R_183']"
64,Bin 497,2.8933676915656226,"['R_461', 'R_540']"
65,Bin 393,2.889406007462457,"['R_221', 'R_385']"
66,Bin 140,2.8761187061378695,"['R_519', 'R_521']"
67,Bin 267,2.7910760433620703,"['R_585', 'R_586']"
68,Bin 159,2.643584387716792,"['R_296', 'R_683']"
69,Bin 305,2.5993097450831684,"['R_610', 'R_508']"
70,Bin 279,2.568999114778939,"['R_30', 'R_382']"
71,Bin 560,2.54174746421931,"['R_332', 'R_379']"
72,Bin 165,2.4947240936988653,"['R_5', 'R_536']"
73,Bin 133,2.3777765202404586,"['R_29', 'R_415']"
74,Bin 187,2.3773129863354003,"['R_356', 'R_471']"
75,Bin 487,2.364974136532001,"['R_205', 'R_224']"
76,Bin 262,2.3274249131665323,"['R_381', 'R_684']"
77,Bin 8,2.3041367390990954,"['R_321', 'R_50']"
78,Bin 52,2.276187880032693,"['R_657', 'R_135']"
79,Bin 321,2.214797501429299,"['R_93', 'R_66']"
80,Bin 125,2.1892120079027397,"['R_18', 'R_578']"
81,Bin 307,2.1530688930978754,"['R_279', 'R_206']"
82,Bin 202,2.1058323724829924,"['R_529', 'R_59']"
83,Bin 292,2.0728765522958836,"['R_431', 'R_142']"
84,Bin 505,2.0635852663137735,"['R_575', 'R_211']"
85,Bin 87,2.0429933496591866,"['R_457', 'R_546']"
86,Bin 2,2.0280619164318052,"['R_172', 'R_333']"
87,Bin 242,2.0219243430236644,"['R_417', 'R_297']"
88,Bin 520,2.0061300389200554,"['R_492', 'R_554']"
89,Bin 91,1.9958364731034377,"['R_587', 'R_177']"
90,Bin 244,1.9895622235548531,"['R_621', 'R_145']"
91,Bin 265,1.9637342169215888,"['R_344', 'R_435']"
92,Bin 443,1.960994256762692,"['R_646', 'R_633']"
93,Bin 35,1.9191839718427204,"['R_345', 'R_473']"
94,Bin 287,1.8919260767003165,"['R_96', 'R_504']"
95,Bin 500,1.8853389554945488,"['R_343', 'R_609']"
96,Bin 58,1.874356628002289,"['R_319', 'R_341']"
97,Bin 493,1.8695550015947564,"['R_325', 'R_634']"
98,Bin 440,1.8265268902182112,"['R_678', 'R_385']"
99,Bin 384,1.8229674338994615,"['R_173', 'R_517']"
100,Bin 203,1.7927098292072572,"['R_425', 'R_210']"
101,Bin 557,1.7495175108029861,"['R_127', 'R_616']"
102,Bin 234,1.7320257818675062,"['R_252', 'R_688']"
103,Bin 84,1.7248167391178582,"['R_372', 'R_626']"
104,Bin 350,1.680700243968456,"['R_283', 'R_86']"
105,Bin 96,1.6731753265730016,"['R_401', 'R_530']"
106,Bin 308,1.6718278837092033,"['R_269', 'R_631']"
107,Bin 198,1.647333608744174,"['R_604', 'R_304']"
108,Bin 479,1.6400681174283924,"['R_205', 'R_354']"
109,Bin 226,1.6218414721868735,"['R_410', 'R_375']"
110,Bin 454,1.6116155418417517,"['R_133', 'R_243']"
111,Bin 57,1.6054912472493428,"['R_615', 'R_675']"
112,Bin 508,1.591780861149288,"['R_16', 'R_154']"
113,Bin 83,1.5674356541176022,"['R_79', 'R_320']"
114,Bin 21,1.5587564044996833,"['R_288', 'R_495']"
115,Bin 24,1.5583449450037943,"['R_682', 'R_647']"
116,Bin 249,1.5488769814955174,"['R_89', 'R_566']"
117,Bin 16,1.5440576540981017,"['R_141', 'R_427']"
118,Bin 175,1.5314933144629046,"['R_487', 'R_190']"
119,Bin 257,1.5187010051139973,"['R_358', 'R_518']"
120,Bin 98,1.4933022275570733,"['R_668', 'R_650']"
121,Bin 45,1.4731185970829146,"['R_490', 'R_478']"
122,Bin 224,1.4692221359306035,"['R_106', 'R_497']"
