,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,18.21618022955166,"['P_7', 'R_60', 'R_2']",0,0.7653,0.5449
1,Bin 2,17.429277497206925,"['R_34', 'P_10', 'R_21']",0,0.7768,0.5432
2,Bin 3,17.387090860617516,"['P_4', 'R_43', 'R_50']",0,0.7689,0.5441
3,Bin 4,16.181224678406185,"['R_2', 'R_60']",0,0.6871,0.4973
4,Bin 5,14.524763968784438,"['R_28', 'P_1', 'R_50']",0,0.7651,0.5573
5,Bin 6,14.433337046470085,"['P_4', 'R_50', 'R_28']",0,0.767,0.5522
6,Bin 7,12.909724515001644,"['R_7', 'R_2']",0,0.6873,0.4967
7,Bin 8,12.794488210626835,"['P_7', 'R_60', 'R_7']",0,0.7684,0.5512
8,Bin 9,12.757811577791152,"['P_4', 'R_60', 'R_50']",0,0.772,0.5414
9,Bin 10,12.522233805789009,"['R_2', 'R_60', 'P_4']",0,0.7656,0.5434
10,Bin 11,12.047384623267256,"['R_2', 'R_60', 'P_2']",0,0.766,0.5436
11,Bin 12,12.037094575950425,"['R_28', 'R_50']",0,0.6853,0.5047
12,Bin 13,11.933542436683439,"['R_2', 'R_7', 'P_2']",0,0.7639,0.5433
13,Bin 14,11.741602221490744,"['R_50', 'R_14', 'P_4']",0,0.775,0.5484
14,Bin 15,11.656698021666603,"['P_6', 'R_7', 'R_2']",0,0.7655,0.5459
15,Bin 16,11.580664583891384,"['R_50', 'P_4', 'P_1']",0,0.6858,0.6364
16,Bin 17,11.516873542545142,"['R_7', 'R_76', 'P_2']",0,0.7663,0.5495
17,Bin 18,11.492992950034193,"['R_50', 'R_43', 'P_1']",0,0.7621,0.5441
18,Bin 19,11.401350520647803,"['R_77', 'R_2']",0,0.6858,0.5002
19,Bin 20,11.219873249229614,"['R_14', 'P_4', 'R_60']",0,0.7731,0.5499
20,Bin 21,11.081358929174812,"['R_43', 'R_50']",0,0.6851,0.4939
21,Bin 22,11.007032463515499,"['P_10', 'R_35', 'P_3']",0,0.6821,0.6265
22,Bin 23,10.840495768785722,"['R_43', 'P_2', 'R_50']",0,0.764,0.5434
23,Bin 24,10.77443680759447,"['R_60', 'R_7']",0,0.6939,0.5049
24,Bin 25,10.368813057920455,"['P_7', 'R_7', 'R_2']",0,0.7664,0.5444
25,Bin 26,10.332477176697187,"['R_7', 'P_2', 'R_60']",0,0.7686,0.5502
26,Bin 27,10.331112001581115,"['R_7', 'R_41']",0,0.6941,0.5073
27,Bin 28,10.299727215681889,"['R_40', 'P_4', 'R_50']",0,0.7725,0.5447
28,Bin 29,10.256863811678743,"['R_50', 'P_1', 'R_7']",0,0.7699,0.5475
29,Bin 30,10.247569239043234,"['R_34', 'P_10']",0,0.5891,0.5805
30,Bin 31,10.209444386430647,"['R_28', 'P_9', 'R_50']",0,0.766,0.5514
31,Bin 32,10.182719479390524,"['P_4', 'R_28', 'R_60']",0,0.7692,0.5524
32,Bin 33,10.15383883214194,"['R_34', 'R_21']",0,0.7032,0.499
33,Bin 34,10.037780439251916,"['R_60', 'R_50']",0,0.6897,0.4891
34,Bin 35,9.989123728796256,"['R_2', 'P_9', 'R_7']",0,0.7655,0.5467
35,Bin 36,9.953777415517303,"['R_28', 'R_50', 'P_2']",0,0.7634,0.5502
36,Bin 37,9.9346041126128,"['R_7', 'R_41', 'P_2']",0,0.7687,0.5507
37,Bin 38,9.848609131561668,"['R_2', 'P_1', 'R_7']",0,0.7676,0.5458
38,Bin 39,9.62448086065196,"['R_34', 'R_21', 'P_9']",0,0.7791,0.5429
39,Bin 40,9.523191827190205,"['R_7', 'R_77', 'P_1']",0,0.7652,0.5534
40,Bin 50,7.574381586718056,"['P_7', 'R_60', 'R_50']",0,0.7674,0.5386
41,Bin 46,4.495734385901623,"['P_4', 'R_2']",0,0.5775,0.5779
42,Bin 41,2.661328275434163,['P_4'],0,0.2578,0.6548
43,Bin 43,2.405177389500132,"['R_21', 'P_1']",0,0.5882,0.5804
44,Bin 48,1.8389286144790038,"['P_7', 'R_50']",0,0.5803,0.5771
45,Bin 44,0.5427109026319962,"['R_43', 'P_8', 'R_21']",0,0.7685,0.5403
46,Bin 42,0.0,"['R_60', 'R_79', 'R_7']",0,0.8312,0.5016
47,Bin 45,0.0,"['R_50', 'R_28', 'R_7']",0,0.8267,0.5051
48,Bin 47,0.0,"['P_5', 'R_7', 'R_85', 'P_1']",0,0.8248,0.5684
49,Bin 49,0.0,"['R_29', 'R_7', 'R_28', 'P_2']",0,0.8723,0.5243
