,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,954.0283113127447,"['P_5', 'P_1', 'P_4', 'P_10']",0,0.6392
1,Bin 2,950.1631690740764,"['P_4', 'P_1', 'P_5']",0,0.559
2,Bin 3,948.6374537630755,"['P_5', 'P_1', 'P_4', 'P_6']",0,0.6436
3,Bin 4,942.1694963831346,"['P_5', 'P_7', 'P_1', 'P_4']",0,0.6422
4,Bin 5,937.6563342953101,"['P_10', 'P_4', 'P_5', 'P_7']",0,0.641
5,Bin 6,936.1087922110675,"['P_5', 'P_2', 'P_1', 'P_4']",0,0.6433
6,Bin 7,925.7120994720794,"['P_4', 'P_5', 'P_2']",0,0.5565
7,Bin 8,923.2885876978346,"['P_4', 'P_9', 'P_5', 'P_1']",0,0.6446
8,Bin 9,919.9403446127566,"['P_1', 'P_5', 'P_3', 'P_4']",0,0.641
9,Bin 10,918.4996501965029,"['P_4', 'P_5', 'P_10', 'P_2']",0,0.6391
10,Bin 11,914.5147366147696,"['P_7', 'P_10', 'P_1', 'P_4']",0,0.6438
11,Bin 12,911.4008486394456,"['P_5', 'P_3', 'P_2', 'P_4']",0,0.6405
12,Bin 13,910.303063508356,"['P_4', 'P_5', 'P_6', 'P_10']",0,0.6405
13,Bin 14,908.2073479745219,"['P_4', 'P_5', 'P_10']",0,0.5506
14,Bin 15,905.1140287090536,"['P_4', 'P_1', 'P_2', 'P_9']",0,0.6477
15,Bin 16,904.4076476172887,"['P_9', 'P_5', 'P_2', 'P_4']",0,0.6422
16,Bin 17,900.9368543160717,"['P_4', 'P_5', 'P_6']",0,0.5567
17,Bin 18,896.3223639024267,"['P_2', 'P_1', 'P_4']",0,0.5597
18,Bin 19,895.8331457922905,"['P_5', 'P_7', 'P_4']",0,0.5561
19,Bin 20,893.9464821898786,"['P_5', 'P_7', 'P_4', 'P_2']",0,0.6431
20,Bin 21,892.6580095727521,"['P_4', 'P_3', 'P_2', 'P_1']",0,0.6415
21,Bin 22,892.0865963228479,"['P_5', 'P_10', 'P_2', 'P_1']",0,0.6371
22,Bin 23,891.942879095651,"['P_5', 'P_8', 'P_1', 'P_4']",0,0.648
23,Bin 24,890.670787008442,"['P_1', 'P_9', 'P_4', 'P_10']",0,0.6432
24,Bin 25,890.0702037097342,"['P_5', 'P_7', 'P_4', 'P_10', 'P_1']",0,0.6992
25,Bin 26,889.9865286267858,"['P_10', 'P_1', 'P_4']",0,0.5552
26,Bin 27,886.778793993883,"['P_4', 'P_5', 'P_10', 'P_9']",0,0.6379
27,Bin 28,886.2562587244662,"['P_5', 'P_1', 'P_2', 'P_9']",0,0.6419
28,Bin 29,884.4894731921956,"['P_6', 'P_5', 'P_7', 'P_4']",0,0.6434
29,Bin 30,884.3852439736214,"['P_7', 'P_4', 'P_1']",0,0.5592
30,Bin 31,884.20681834428,"['P_4', 'P_5', 'P_2', 'P_6']",0,0.6415
31,Bin 32,883.7026398521808,"['P_1', 'P_5', 'P_7', 'P_10']",0,0.6376
32,Bin 33,882.2402626585531,"['P_10', 'P_2', 'P_1', 'P_4']",0,0.642
33,Bin 34,880.8130213296613,"['P_5', 'P_3', 'P_2', 'P_10']",0,0.6378
34,Bin 35,880.4815714109205,"['P_1', 'P_4', 'P_9']",0,0.5623
35,Bin 36,879.9105271587962,"['P_3', 'P_5', 'P_7', 'P_4']",0,0.6409
36,Bin 37,879.3176528528061,"['P_10', 'P_9', 'P_1', 'P_5']",0,0.6419
37,Bin 38,879.193589261115,"['P_4', 'P_10', 'P_7']",0,0.5612
38,Bin 39,879.1464503414502,"['P_7', 'P_4', 'P_1', 'P_2']",0,0.6445
39,Bin 40,878.2133726559779,"['P_10', 'P_2', 'P_1', 'P_9']",0,0.6443
40,Bin 45,825.3507658351443,"['P_5', 'P_7', 'P_1']",0,0.5499
41,Bin 48,778.3217527600954,"['P_4', 'P_1']",0,0.437
42,Bin 42,704.424401002011,"['P_1', 'P_10']",0,0.4278
43,Bin 47,348.2895421596717,['P_9'],0,0.2533
44,Bin 41,147.40223154434076,"['P_5', 'R_82', 'P_10']",0,0.6775
45,Bin 44,33.628090979493805,"['P_8', 'R_29']",0,0.592
46,Bin 43,0.0,"['R_33', 'P_5', 'P_7', 'R_53', 'P_1', 'P_4']",0,0.8882
47,Bin 46,0.0,"['R_26', 'P_5', 'R_15', 'P_9', 'P_4']",0,0.862
48,Bin 49,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9106
49,Bin 50,0.0,"['R_84', 'R_69', 'R_79', 'R_52']",0,0.9051
