,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,3736.60793160728,"['P_10', 'P_1', 'P_5', 'P_9', 'P_4', 'P_3', 'P_6', 'P_7', 'P_2']",2,0.5,1.0
1,Bin 2,3736.60793160728,"['P_2', 'P_4', 'P_10', 'P_8', 'P_1', 'P_6', 'P_9', 'P_3', 'P_5']",2,0.5,1.0
2,Bin 3,3736.60793160728,"['P_10', 'P_8', 'P_3', 'P_1', 'P_4', 'P_6', 'P_7', 'P_2', 'P_5']",2,0.5,1.0
3,Bin 4,3095.118823650783,"['P_4', 'P_3', 'P_7', 'P_10', 'P_1', 'P_2', 'P_9', 'P_8']",2,0.438,0.938
4,Bin 5,3084.730460676003,"['P_10', 'P_7', 'P_8', 'P_2', 'P_3', 'P_1', 'P_4', 'P_6']",2,0.4334,0.9334
5,Bin 6,3073.769022627905,"['P_4', 'P_7', 'P_2', 'P_9', 'P_5', 'P_6', 'P_1', 'P_10']",2,0.435,0.935
6,Bin 7,3070.5242907172433,"['P_9', 'P_5', 'P_2', 'P_1', 'P_3', 'P_8', 'P_10', 'P_4']",2,0.4352,0.9352
7,Bin 8,2990.9807883566577,"['P_2', 'P_8', 'P_5', 'P_10', 'P_4', 'P_7', 'P_6', 'P_9']",2,0.4326,0.9326
8,Bin 9,2978.286875066507,"['P_8', 'P_7', 'P_6', 'P_3', 'P_5', 'P_10', 'P_4', 'P_9']",2,0.4309,0.9309
9,Bin 10,2926.551371138453,"['P_5', 'P_6', 'P_1', 'P_10', 'P_3', 'P_2', 'P_9', 'P_8']",2,0.4325,0.9325
10,Bin 11,2907.517708069485,"['P_8', 'P_10', 'P_4', 'P_9', 'P_1', 'P_5', 'P_3', 'P_6']",2,0.4318,0.9318
11,Bin 12,2892.6249300764825,"['P_8', 'P_7', 'P_3', 'P_10', 'P_4', 'P_9', 'P_1', 'P_5']",2,0.4321,0.9321
12,Bin 13,2817.123205311521,"['P_2', 'P_8', 'R_85', 'P_6', 'P_9', 'P_3', 'P_4', 'R_33', 'P_7', 'P_5', 'P_1', 'P_10']",3,0.5334,0.9666
13,Bin 14,2792.8901196288534,"['P_10', 'P_7', 'P_8', 'P_2', 'R_16', 'P_1', 'P_4', 'P_6', 'P_3', 'P_9', 'R_9', 'P_5']",3,0.5324,0.9676
14,Bin 15,2708.6951653188853,"['P_9', 'P_5', 'P_2', 'P_4', 'R_90', 'P_10', 'P_7', 'P_8', 'P_3', 'P_1']",3,0.3851,0.8851
