,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,0,"['R_334', 'R_473', 'R_186', 'R_367', 'R_350', 'R_210', 'R_433', 'R_83', 'R_430', 'R_75', 'R_319', 'R_216', 'R_394', 'R_408', 'R_422', 'R_41', 'R_247', 'R_486', 'R_392', 'R_42', 'R_396', 'R_49', 'R_318', 'R_15', 'R_442']",0,1.0,0.5
1,Bin 2,0,"['R_488', 'R_259', 'R_328', 'R_343', 'R_128', 'R_37', 'R_292', 'R_336', 'R_288', 'R_455', 'R_351', 'R_8', 'R_159', 'R_293', 'R_195', 'R_33', 'R_90', 'R_312', 'R_402', 'R_390', 'R_475', 'R_241', 'R_467', 'R_413']",0,1.0,0.5
2,Bin 3,0,"['R_283', 'R_147', 'R_332', 'R_268', 'R_471', 'R_255', 'R_261', 'R_204', 'R_179', 'R_83', 'R_134', 'R_215', 'R_77', 'R_125', 'R_129', 'R_430']",0,1.0,0.5
3,Bin 4,0,"['R_480', 'R_373', 'P_9', 'R_417', 'R_322', 'R_410', 'R_142', 'R_277', 'R_88', 'R_426', 'R_118', 'R_284', 'R_5', 'R_112', 'R_367', 'R_434', 'R_399', 'R_104', 'R_15', 'R_130', 'R_281', 'R_108', 'R_81', 'R_316', 'R_258', 'R_48', 'R_116', 'R_59', 'R_392', 'R_149', 'R_85', 'R_95', 'R_173', 'R_4', 'R_45']",0,1.0,0.5
4,Bin 5,0,"['R_229', 'R_71', 'R_79', 'R_358', 'R_449', 'R_411', 'R_326', 'R_446', 'R_382', 'R_414', 'R_296', 'R_457', 'R_44', 'R_389', 'R_9', 'R_448', 'R_102', 'R_58', 'R_426', 'R_379', 'R_15', 'R_293', 'R_489', 'R_161', 'R_422', 'R_121', 'R_325']",0,1.0,0.5
5,Bin 6,0,"['R_98', 'R_23', 'R_123', 'R_203', 'R_411', 'R_385', 'R_331', 'R_305', 'R_110', 'R_248', 'R_268', 'R_3', 'R_340', 'R_335', 'R_11', 'R_458', 'R_47', 'R_209', 'R_320', 'R_446', 'R_286', 'R_396', 'R_366', 'R_314', 'R_429']",0,1.0,0.5
6,Bin 7,0,"['R_368', 'R_1', 'R_9', 'R_317', 'R_6', 'R_245', 'R_64', 'R_301', 'R_114', 'R_313', 'R_185', 'R_10', 'R_418', 'R_307', 'R_102', 'R_173', 'R_271', 'R_428', 'R_297', 'R_74', 'R_39', 'R_350', 'R_285', 'R_438']",0,1.0,0.5
7,Bin 8,0,"['R_413', 'R_186', 'R_314', 'R_287', 'R_101', 'R_300', 'R_176', 'R_480', 'R_119', 'R_106', 'R_255', 'R_68', 'R_17', 'R_349', 'R_363', 'R_315', 'R_281', 'R_437', 'R_143', 'P_10', 'R_275', 'R_67', 'R_469', 'R_159', 'R_115', 'R_380', 'R_372', 'R_163', 'R_241', 'R_117']",0,1.0,0.5
8,Bin 9,0,"['R_90', 'R_211', 'R_8', 'R_48', 'R_198', 'R_311', 'R_218', 'R_291', 'R_268', 'R_355', 'R_229', 'R_114', 'R_107', 'R_257', 'R_160', 'R_270', 'R_292', 'R_382', 'R_108', 'R_161', 'R_266', 'R_401', 'R_215', 'R_197', 'R_54', 'R_457', 'R_182']",0,1.0,0.5
9,Bin 10,0,"['R_49', 'R_347', 'P_5', 'R_352', 'R_237', 'R_470', 'R_64', 'R_271', 'R_340', 'R_71', 'R_378', 'R_118', 'R_485', 'R_255', 'R_302', 'R_382', 'R_4', 'R_409', 'R_490', 'R_482', 'R_397', 'R_453', 'R_280']",0,1.0,0.5
10,Bin 11,0,"['R_200', 'R_299', 'R_250', 'R_211', 'R_76', 'P_7', 'R_433', 'R_15', 'R_266', 'R_32', 'R_215', 'R_167', 'R_474', 'R_156', 'R_86', 'R_273', 'R_356', 'R_14', 'R_423', 'R_487', 'R_468']",0,1.0,0.5
11,Bin 12,0,"['R_194', 'R_183', 'R_453', 'R_82', 'R_78', 'R_362', 'R_237', 'R_90', 'R_10', 'R_265', 'R_352', 'R_443', 'R_63', 'R_441', 'R_251', 'R_52', 'R_33', 'R_416', 'R_440', 'R_431', 'R_276']",0,1.0,0.5
