,Bin #,Score,Bins
0,Bin 21,4604.637771524923,"['P_8', 'P_3', 'P_2', 'P_5', 'P_9']"
1,Bin 29,4306.211698812945,"['P_8', 'P_9', 'P_5', 'P_4']"
2,Bin 19,4192.354217036092,"['P_10', 'P_2', 'P_6', 'P_3']"
3,Bin 13,4173.0885466634345,"['P_6', 'P_10', 'P_8', 'P_2']"
4,Bin 2,3825.02427276793,"['P_2', 'P_10', 'P_7']"
5,Bin 20,3774.131161325306,"['P_1', 'P_10', 'P_6']"
6,Bin 24,3773.706478586032,"['P_7', 'P_10', 'P_6']"
7,Bin 5,3712.75046918807,"['P_8', 'P_2', 'P_1']"
8,Bin 27,3710.3391174790877,"['P_3', 'P_1', 'P_7']"
9,Bin 15,3708.149589892631,"['P_2', 'P_9', 'P_1']"
10,Bin 23,3682.106470220951,"['P_2', 'P_1', 'P_3']"
11,Bin 22,3666.1656847506424,"['P_7', 'P_9', 'P_2']"
12,Bin 26,3666.1656847506424,"['P_2', 'P_9', 'P_7']"
13,Bin 16,3659.71971141478,"['P_7', 'P_3', 'P_10']"
14,Bin 31,3659.573127144952,"['P_8', 'P_5', 'P_4']"
15,Bin 3,3627.0598731125046,"['P_3', 'P_8', 'P_2']"
16,Bin 8,3627.0598731125046,"['P_2', 'P_8', 'P_3']"
17,Bin 1,3622.2207046587214,"['P_9', 'P_6', 'P_7']"
18,Bin 12,3618.393350494648,"['P_8', 'P_2', 'P_10']"
19,Bin 30,3618.393350494648,"['P_10', 'P_8', 'P_2']"
20,Bin 28,3616.150399606269,"['P_6', 'P_8', 'P_4']"
21,Bin 14,3598.389195337188,"['P_6', 'P_8', 'P_9']"
22,Bin 11,3587.6756953194676,"['P_2', 'P_7', 'P_4']"
23,Bin 40,3586.5716575603137,"['P_9', 'P_10', 'P_5']"
24,Bin 37,3577.447645109591,"['P_10', 'P_2', 'P_6']"
25,Bin 7,3575.3700024275986,"['P_7', 'P_2', 'P_3']"
26,Bin 9,3573.8968822142792,"['P_10', 'P_6', 'P_3']"
27,Bin 38,3550.8384332922074,"['P_2', 'P_9', 'P_6']"
28,Bin 17,3542.128765993511,"['P_8', 'P_6', 'P_5']"
29,Bin 6,3538.549099464643,"['P_2', 'P_7', 'P_6']"
30,Bin 18,3538.549099464643,"['P_7', 'P_6', 'P_2']"
31,Bin 34,3533.043681546305,"['P_2', 'P_3', 'P_4']"
32,Bin 36,3532.5754110873477,"['P_10', 'P_2', 'P_3']"
33,Bin 33,3469.998105934482,"['P_5', 'P_3', 'P_6']"
34,Bin 35,3469.998105934482,"['P_5', 'P_6', 'P_3']"
35,Bin 25,2891.4087568057876,"['P_5', 'P_1']"
36,Bin 4,2888.930966555657,"['P_4', 'P_9']"
37,Bin 39,2888.930966555657,"['P_9', 'P_4']"
38,Bin 10,2848.8218547962256,"['P_7', 'P_10']"
39,Bin 32,2834.013369779541,"['P_2', 'P_1']"
40,Bin 41,637.583607585478,"['P_9', 'P_8', 'P_7', 'R_10']"
41,Bin 50,456.3778775397247,"['R_33', 'P_9', 'P_2']"
42,Bin 46,423.4145242760219,"['P_10', 'R_29', 'P_1']"
43,Bin 42,186.5855900286164,"['P_2', 'R_38']"
44,Bin 47,134.12434722627881,"['P_7', 'R_6']"
45,Bin 43,131.89935861938872,"['P_9', 'P_2', 'R_23', 'R_8']"
46,Bin 45,125.44654300926742,"['P_2', 'R_15']"
47,Bin 48,120.89768507468908,"['P_3', 'R_29']"
48,Bin 49,101.5766233303509,"['P_5', 'R_40']"
49,Bin 44,0.0,"['P_5', 'P_4', 'R_22', 'R_14', 'R_17']"
