,Bin #,Score,Bins
0,Bin 14,10.61793824578936,"['R_20', 'P_5']"
1,Bin 37,10.233130673328944,"['P_5', 'R_20', 'P_3']"
2,Bin 5,7.868448074295396,"['R_13', 'P_5', 'R_40']"
3,Bin 9,7.868448074295396,"['R_13', 'R_40', 'P_5']"
4,Bin 27,7.8022026871192764,"['P_5', 'R_20', 'R_19']"
5,Bin 33,7.8022026871192764,"['R_20', 'P_5', 'R_19']"
6,Bin 39,7.265835612538188,"['P_5', 'R_20', 'R_14', 'P_3']"
7,Bin 7,7.15321510526816,"['R_7', 'P_5']"
8,Bin 18,7.15321510526816,"['P_5', 'R_7']"
9,Bin 24,7.088664098498987,"['R_13', 'P_5', 'R_29', 'P_3']"
10,Bin 1,6.745626481695046,"['R_20', 'R_7']"
11,Bin 12,6.745626481695046,"['R_7', 'R_20']"
12,Bin 29,6.733922567713644,"['P_5', 'R_40']"
13,Bin 36,6.716174067399697,"['R_12', 'R_7', 'P_6', 'P_7']"
14,Bin 35,6.143885720858666,"['R_18', 'P_9', 'R_31']"
15,Bin 30,5.905003159349639,"['R_13', 'R_29']"
16,Bin 8,5.114004609576577,"['P_5', 'R_26', 'R_7']"
17,Bin 20,5.114004609576577,"['R_26', 'R_7', 'P_5']"
18,Bin 13,5.039308338121729,"['R_13', 'P_5']"
19,Bin 28,5.039308338121729,"['P_5', 'R_13']"
20,Bin 26,5.028094820235387,"['P_5', 'R_7', 'R_21']"
21,Bin 19,5.002297576059063,"['P_5', 'R_7', 'R_32']"
22,Bin 38,4.931732514482221,"['R_20', 'P_7']"
23,Bin 32,4.891996319418657,"['P_5', 'R_14', 'R_20']"
24,Bin 10,4.862374278363392,"['R_13', 'P_5', 'R_7']"
25,Bin 3,4.805078196046378,"['R_12', 'P_5']"
26,Bin 23,4.805078196046378,"['P_5', 'R_12']"
27,Bin 2,4.71360436308968,"['R_16', 'P_9']"
28,Bin 15,4.71360436308968,"['P_9', 'R_16']"
29,Bin 22,4.711201525135075,"['R_5', 'P_5']"
30,Bin 4,4.643064742663285,"['R_12', 'R_7']"
31,Bin 11,4.5831745197114335,"['R_7', 'P_5', 'R_19']"
32,Bin 16,4.458135129918659,"['P_5', 'P_7']"
33,Bin 34,4.458135129918659,"['P_7', 'P_5']"
34,Bin 17,4.356410410140349,"['P_5', 'P_4']"
35,Bin 25,4.347781311386714,"['R_35', 'P_5']"
36,Bin 40,4.347781311386714,"['P_5', 'R_35']"
37,Bin 21,4.341373480034583,"['R_16', 'R_27']"
38,Bin 31,4.307351235909167,"['P_5', 'R_40', 'R_12']"
39,Bin 6,4.295281554786167,"['P_5', 'R_12', 'R_39']"
40,Bin 46,2.1311123016437032,"['R_21', 'R_24']"
41,Bin 42,1.769669474022507,"['P_5', 'R_6']"
42,Bin 47,0.9438956014036447,"['P_5', 'R_31']"
43,Bin 49,0.5896771449245869,"['R_33', 'P_9', 'P_2']"
44,Bin 48,0.4413098906936614,"['R_18', 'R_40']"
45,Bin 45,0.28567150607341846,"['P_5', 'P_6', 'R_26']"
46,Bin 41,0.0,"['R_13', 'R_14', 'R_31', 'R_20']"
47,Bin 43,0.0,"['P_5', 'R_20', 'R_7', 'P_6', 'R_22']"
48,Bin 44,0.0,"['R_16', 'R_10', 'R_15', 'R_9']"
49,Bin 50,0.0,"['R_22', 'R_25', 'R_35']"
