,Bin #,Score,Bins
0,Bin 23,5253.595153435057,"['P_5', 'P_2', 'P_9', 'P_8', 'P_6', 'P_3']"
1,Bin 16,3816.021384214857,"['P_1', 'P_6', 'P_8', 'P_9']"
2,Bin 1,3809.6535289638427,"['P_1', 'P_8', 'P_9', 'P_2']"
3,Bin 28,3737.33247936667,"['P_8', 'P_3', 'P_1', 'P_9']"
4,Bin 26,3737.2710788280788,"['P_9', 'P_1', 'P_3', 'P_6']"
5,Bin 25,3701.66093636754,"['P_5', 'P_1', 'P_7', 'P_8']"
6,Bin 21,3572.747474078131,"['P_2', 'P_8', 'P_3', 'P_6']"
7,Bin 6,3544.1470993528583,"['P_9', 'P_4', 'P_2', 'P_3']"
8,Bin 9,3443.0454878770133,"['P_4', 'P_9', 'P_3', 'P_6']"
9,Bin 8,2970.6521129572507,"['P_9', 'P_1', 'P_5']"
10,Bin 19,2904.93819596479,"['P_1', 'P_6', 'P_5']"
11,Bin 3,2896.7453937815035,"['P_8', 'P_5', 'P_1']"
12,Bin 5,2863.836439922126,"['P_1', 'P_3', 'P_9']"
13,Bin 13,2863.836439922126,"['P_9', 'P_1', 'P_3']"
14,Bin 22,2863.836439922126,"['P_3', 'P_1', 'P_9']"
15,Bin 39,2844.950694766327,"['P_7', 'P_5', 'P_10']"
16,Bin 35,2825.8673345812704,"['P_6', 'P_1', 'P_3']"
17,Bin 2,2798.693722290008,"['P_6', 'P_10', 'P_3']"
18,Bin 38,2738.070401305562,"['P_3', 'P_2', 'P_8']"
19,Bin 11,2708.5279205954644,"['P_7', 'P_5', 'P_9']"
20,Bin 31,2691.9762278689104,"['P_9', 'P_8', 'P_5']"
21,Bin 34,2691.9762278689104,"['P_8', 'P_5', 'P_9']"
22,Bin 14,2671.622178555346,"['P_9', 'P_6', 'P_5']"
23,Bin 24,2671.622178555346,"['P_9', 'P_5', 'P_6']"
24,Bin 4,2644.652048583126,"['P_7', 'P_5', 'P_8']"
25,Bin 37,2613.313937852962,"['P_6', 'P_2', 'P_5']"
26,Bin 32,2608.2126638338764,"['P_8', 'P_3', 'P_5']"
27,Bin 18,2517.701312498839,"['P_7', 'P_6', 'P_2']"
28,Bin 33,1684.290727734767,"['P_1', 'P_3', 'R_19', 'P_7', 'P_10', 'P_5']"
29,Bin 40,1466.432659422005,"['P_2', 'P_8', 'P_9', 'P_6', 'R_34', 'P_10']"
30,Bin 27,1450.382142750259,"['P_8', 'P_2', 'P_1', 'P_3', 'R_40', 'P_6']"
31,Bin 30,1275.325935117664,"['P_1', 'R_6', 'P_2', 'P_9', 'P_4']"
32,Bin 29,1269.2054702025564,"['P_9', 'P_10', 'P_8', 'P_2', 'R_2']"
33,Bin 17,1226.7819333750783,"['P_5', 'P_6', 'P_1', 'R_8', 'P_8']"
34,Bin 36,1215.6095839304767,"['P_6', 'P_5', 'P_8', 'P_1', 'R_31']"
35,Bin 10,1207.3337139643315,"['P_8', 'P_5', 'P_2', 'P_6', 'R_19']"
36,Bin 12,1202.151075285058,"['P_7', 'P_3', 'P_9', 'R_24', 'P_2']"
37,Bin 20,1193.3062929775897,"['P_8', 'R_9', 'P_2', 'P_6', 'P_4', 'P_5', 'P_9', 'P_10', 'R_25']"
38,Bin 15,1161.9391624168609,"['P_1', 'P_5', 'P_2', 'P_8', 'R_38']"
39,Bin 7,1159.9110938767221,"['P_8', 'P_5', 'P_2', 'P_6', 'R_8']"
40,Bin 41,669.8993951985345,"['P_3', 'P_9', 'P_7', 'R_10']"
41,Bin 47,484.9605469624406,"['P_1', 'P_8', 'R_24']"
42,Bin 48,447.03468299120925,"['P_1', 'R_19', 'P_7']"
43,Bin 42,388.25124545734593,"['P_1', 'P_9', 'R_38']"
44,Bin 44,297.78879945231233,"['P_2', 'P_3', 'P_9', 'R_15', 'R_17']"
45,Bin 50,195.4172239460044,"['R_33', 'P_9', 'P_2', 'R_37']"
46,Bin 49,191.85055762692616,"['P_1', 'P_10', 'R_40', 'R_17']"
47,Bin 43,146.4519084298521,"['P_7', 'P_5', 'R_40', 'R_8']"
48,Bin 46,110.44357912611835,"['P_5', 'P_6', 'R_19', 'R_8', 'R_30', 'R_28']"
49,Bin 45,85.14920087944951,"['P_2', 'R_15']"
