,Bin #,Score,Bins
0,Bin 24,1438.9062170829168,"['P_4', 'P_2', 'P_5', 'P_7']"
1,Bin 5,1400.9162898729446,"['P_1', 'P_2', 'P_7', 'P_4']"
2,Bin 35,1395.765031821405,"['P_5', 'P_10', 'P_2', 'P_7']"
3,Bin 38,1343.0350141999695,"['P_2', 'P_4', 'P_8', 'P_9']"
4,Bin 13,1327.3957645600783,"['P_2', 'P_3', 'P_10', 'P_1']"
5,Bin 32,1228.1709519342194,"['P_5', 'P_2', 'P_7']"
6,Bin 33,1213.7124850093892,"['P_1', 'P_10', 'P_2']"
7,Bin 15,1212.7017118038227,"['P_10', 'P_2', 'P_5']"
8,Bin 17,1211.6711153442905,"['P_6', 'P_2', 'P_4']"
9,Bin 26,1211.6711153442905,"['P_4', 'P_2', 'P_6']"
10,Bin 10,1209.5571368497535,"['P_7', 'P_1', 'P_2']"
11,Bin 39,1202.560055219625,"['P_4', 'P_10', 'P_7']"
12,Bin 36,1190.4434003128827,"['P_4', 'P_7', 'P_6']"
13,Bin 28,1182.8046763630684,"['P_1', 'P_7', 'P_5']"
14,Bin 14,1181.961419387315,"['P_7', 'P_4', 'P_3']"
15,Bin 11,1169.337227964932,"['P_4', 'P_2', 'P_10']"
16,Bin 25,1169.337227964932,"['P_10', 'P_2', 'P_4']"
17,Bin 19,1154.5554371146761,"['P_8', 'P_2', 'P_4']"
18,Bin 23,1154.0620512020464,"['P_10', 'P_4', 'P_3']"
19,Bin 16,1150.0652475952597,"['P_10', 'P_8', 'P_4']"
20,Bin 31,1150.0652475952597,"['P_4', 'P_8', 'P_10']"
21,Bin 21,1143.7708281104226,"['P_2', 'P_1', 'P_3']"
22,Bin 20,1143.6216369444599,"['P_9', 'P_8', 'P_4']"
23,Bin 4,1142.468823831408,"['P_3', 'P_8', 'P_2']"
24,Bin 37,1142.468823831408,"['P_2', 'P_3', 'P_8']"
25,Bin 27,1135.5665171708697,"['P_7', 'P_2', 'P_3']"
26,Bin 22,1097.6153303453743,"['P_10', 'P_7', 'P_8']"
27,Bin 29,946.4732709645974,"['P_4', 'P_5']"
28,Bin 12,941.7458852396826,"['P_4', 'P_1']"
29,Bin 3,939.7803492097557,"['P_7', 'P_4']"
30,Bin 40,939.7803492097557,"['P_4', 'P_7']"
31,Bin 2,939.199106078216,"['P_2', 'P_6']"
32,Bin 34,939.199106078216,"['P_6', 'P_2']"
33,Bin 30,925.5475911737755,"['P_4', 'P_6']"
34,Bin 6,918.46659152905,"['P_2', 'P_4']"
35,Bin 7,918.46659152905,"['P_4', 'P_2']"
36,Bin 1,913.8605146429737,"['P_2', 'P_10']"
37,Bin 18,913.8605146429737,"['P_10', 'P_2']"
38,Bin 9,913.5596872483046,"['P_8', 'P_2']"
39,Bin 8,904.634594321779,"['P_7', 'P_2']"
40,Bin 49,184.80796313484547,"['R_33', 'P_9', 'P_2']"
41,Bin 42,177.1270488278251,"['P_1', 'P_7', 'R_38']"
42,Bin 41,88.42382461689614,"['P_2', 'P_6', 'R_14', 'R_31']"
43,Bin 44,80.73008878371013,"['P_4', 'P_9', 'R_21', 'R_28']"
44,Bin 48,64.10550644690376,"['P_1', 'R_40']"
45,Bin 45,63.78953287547547,"['P_3', 'R_14']"
46,Bin 47,47.15728240590042,"['P_6', 'R_6']"
47,Bin 46,16.4485657954266,"['P_1', 'R_29', 'R_1']"
48,Bin 43,0.0,"['P_7', 'P_4', 'P_10', 'R_23', 'R_4']"
49,Bin 50,0.0,"['R_22', 'R_25', 'R_35']"
