,Bin #,Score,Bins
0,Bin 24,1229.2713453791735,"['P_8', 'P_3', 'P_2', 'P_5', 'P_9']"
1,Bin 35,1095.7308444381754,"['P_4', 'P_6', 'P_3', 'P_2']"
2,Bin 26,1029.8961723773618,"['P_9', 'P_1', 'P_2']"
3,Bin 20,1021.1296965987633,"['P_1', 'P_2', 'P_5']"
4,Bin 8,1001.8551311277371,"['P_3', 'P_8', 'P_2']"
5,Bin 9,1001.8551311277371,"['P_3', 'P_2', 'P_8']"
6,Bin 27,995.7166504490455,"['P_10', 'P_8', 'P_2']"
7,Bin 30,983.8980981998609,"['P_4', 'P_10', 'P_3']"
8,Bin 29,967.5054441340167,"['P_2', 'P_7', 'P_5']"
9,Bin 14,966.7113321725853,"['P_8', 'P_3', 'P_5']"
10,Bin 25,946.7176767716314,"['P_8', 'P_5', 'P_6']"
11,Bin 23,924.8416668553375,"['P_3', 'P_9', 'P_6']"
12,Bin 31,921.2698630178537,"['P_3', 'P_2', 'P_7']"
13,Bin 12,901.6644778543179,"['P_2', 'P_5', 'P_4']"
14,Bin 10,777.6305919020035,"['P_8', 'P_9']"
15,Bin 16,777.6305919020035,"['P_9', 'P_8']"
16,Bin 7,776.504054921504,"['P_2', 'P_8']"
17,Bin 36,770.484123276604,"['P_10', 'P_7']"
18,Bin 28,763.7984625889829,"['P_4', 'P_1']"
19,Bin 5,748.4169857684755,"['P_7', 'P_9']"
20,Bin 38,748.4169857684755,"['P_9', 'P_7']"
21,Bin 2,731.1635190380703,"['P_10', 'P_4']"
22,Bin 22,731.1635190380703,"['P_4', 'P_10']"
23,Bin 4,730.3195241887843,"['P_9', 'P_4']"
24,Bin 37,725.4635389477547,"['P_5', 'P_10']"
25,Bin 6,719.7417498899355,"['P_2', 'P_9']"
26,Bin 21,719.7417498899355,"['P_9', 'P_2']"
27,Bin 11,719.737208372206,"['P_3', 'P_1']"
28,Bin 34,719.737208372206,"['P_1', 'P_3']"
29,Bin 15,718.9605131979608,"['P_8', 'P_3']"
30,Bin 19,718.9605131979608,"['P_3', 'P_8']"
31,Bin 1,718.8021387506492,"['P_2', 'P_10']"
32,Bin 33,717.0583401283426,"['P_8', 'P_5']"
33,Bin 40,712.3903394154657,"['P_2', 'P_7']"
34,Bin 32,701.8801264056824,"['P_1', 'P_6']"
35,Bin 17,700.9936004867934,"['P_9', 'P_3']"
36,Bin 13,696.7756386938964,"['P_3', 'P_5']"
37,Bin 18,696.7756386938964,"['P_5', 'P_3']"
38,Bin 39,694.4486684877646,"['P_2', 'P_5']"
39,Bin 3,690.247745744142,"['P_9', 'P_5']"
40,Bin 47,620.9630254408452,"['P_6', 'P_2']"
41,Bin 45,153.23502211964492,"['P_9', 'R_29', 'P_1']"
42,Bin 41,148.61811078265657,"['P_4', 'R_15', 'P_7']"
43,Bin 49,89.68386129412292,"['R_33', 'P_9']"
44,Bin 42,81.3117187031673,"['P_9', 'R_38']"
45,Bin 43,61.72037262868186,"['P_2', 'P_5', 'R_40', 'R_19']"
46,Bin 48,56.31472206307606,"['P_8', 'R_40']"
47,Bin 46,30.625676408591172,"['P_2', 'R_6']"
48,Bin 50,0.44089372653298625,"['R_22', 'R_25']"
49,Bin 44,0.0,"['P_9', 'R_10', 'R_15', 'R_9']"
