,Bin #,Score,Bins
0,Bin 36,3119.88663150108,"['P_10', 'P_1', 'P_7', 'P_2']"
1,Bin 1,3098.223977299629,"['P_1', 'P_8', 'P_2', 'P_3']"
2,Bin 29,3078.8377701253357,"['P_5', 'P_10', 'P_4', 'P_6']"
3,Bin 28,3071.747706999167,"['P_8', 'P_2', 'P_9', 'P_1']"
4,Bin 24,3061.2419753947906,"['P_1', 'P_8', 'P_5', 'P_9']"
5,Bin 19,3005.426739710045,"['P_2', 'P_7', 'P_5', 'P_4']"
6,Bin 25,2670.8138628397555,"['P_3', 'P_8', 'P_2']"
7,Bin 12,2670.146743486578,"['P_4', 'P_1', 'P_5']"
8,Bin 23,2663.271657061129,"['P_7', 'P_6', 'P_10']"
9,Bin 10,2643.589697731398,"['P_5', 'P_4', 'P_2']"
10,Bin 39,2643.589697731398,"['P_4', 'P_2', 'P_5']"
11,Bin 34,2631.234694265983,"['P_6', 'P_1', 'P_4']"
12,Bin 11,2623.2463691280914,"['P_2', 'P_1', 'P_3']"
13,Bin 14,2623.2463691280914,"['P_1', 'P_3', 'P_2']"
14,Bin 18,2615.989427025992,"['P_1', 'P_8', 'P_3']"
15,Bin 22,2615.0017242869344,"['P_2', 'P_4', 'P_8']"
16,Bin 8,2601.848442935912,"['P_6', 'P_5', 'P_4']"
17,Bin 33,2601.848442935912,"['P_5', 'P_4', 'P_6']"
18,Bin 4,2598.208047613546,"['P_7', 'P_1', 'P_4']"
19,Bin 40,2598.208047613546,"['P_4', 'P_1', 'P_7']"
20,Bin 27,2593.249208906572,"['P_7', 'P_1', 'P_2']"
21,Bin 21,2584.3701650481667,"['P_1', 'P_9', 'P_5']"
22,Bin 35,2580.001149367955,"['P_6', 'P_9', 'P_4']"
23,Bin 9,2564.492362953894,"['P_2', 'P_5', 'P_7']"
24,Bin 16,2562.607519332839,"['P_4', 'P_3', 'P_5']"
25,Bin 6,2562.4980977944024,"['P_1', 'P_8', 'P_10']"
26,Bin 20,2562.4980977944024,"['P_8', 'P_10', 'P_1']"
27,Bin 30,2560.5594508820377,"['P_9', 'P_1', 'P_2']"
28,Bin 31,2553.9474611641253,"['P_3', 'P_2', 'P_4']"
29,Bin 32,2545.876714721726,"['P_7', 'P_9', 'P_10']"
30,Bin 15,2538.147867231982,"['P_5', 'P_7', 'P_3']"
31,Bin 37,2535.286210953728,"['P_1', 'P_5', 'P_3']"
32,Bin 17,2518.4904848062547,"['P_9', 'P_4', 'P_5']"
33,Bin 5,2038.484006933187,"['P_8', 'P_1']"
34,Bin 38,2038.484006933187,"['P_1', 'P_8']"
35,Bin 13,2000.4606680226227,"['P_10', 'P_1']"
36,Bin 3,1991.5296791489018,"['P_8', 'P_2']"
37,Bin 26,1991.5296791489018,"['P_2', 'P_8']"
38,Bin 2,1983.8562708229697,"['P_1', 'P_5']"
39,Bin 7,1956.6065074037565,"['P_1', 'P_2']"
40,Bin 45,1856.7879348314436,"['P_5', 'P_7']"
41,Bin 50,425.8752889055338,"['R_33', 'P_9', 'P_2']"
42,Bin 46,414.54045882657186,"['P_8', 'R_19', 'P_1']"
43,Bin 42,179.997717023013,"['P_1', 'R_38']"
44,Bin 44,145.04923202565695,"['P_4', 'P_9', 'R_21', 'R_28']"
45,Bin 47,129.36706913060908,"['P_2', 'R_6']"
46,Bin 48,121.79228293553636,"['P_4', 'R_15']"
47,Bin 49,109.9260241760986,"['P_6', 'R_40']"
48,Bin 43,93.9919308276439,"['P_4', 'P_2', 'R_29', 'R_4']"
49,Bin 41,43.395855593706,"['P_7', 'R_15', 'R_31']"
