,Bin #,Score,Bins
0,Bin 132,158.447378022592,"['R_741', 'P_1']"
1,Bin 542,156.79439015808168,"['R_1786', 'P_4']"
2,Bin 1229,135.68729768813944,"['P_2', 'R_1235']"
3,Bin 1339,123.50495944978566,"['R_1590', 'P_9']"
4,Bin 1243,117.12444954542467,"['R_1777', 'P_7']"
5,Bin 1031,115.61142519918472,"['P_5', 'R_1646']"
6,Bin 1398,112.08715892967822,"['P_3', 'R_869']"
7,Bin 231,111.8651086938641,"['P_8', 'R_591']"
8,Bin 1397,108.81165626809056,"['R_1318', 'P_5']"
9,Bin 56,108.2662541508487,"['R_812', 'P_1']"
10,Bin 59,96.36671628729842,"['R_730', 'P_10']"
11,Bin 991,91.78451888683588,"['R_570', 'P_6']"
12,Bin 1207,14.934701506086384,"['R_1893', 'R_1317']"
13,Bin 638,10.027382496707316,"['R_1053', 'R_485']"
14,Bin 1379,9.066271429131806,"['R_486', 'R_1006']"
15,Bin 685,8.741251006167753,"['R_236', 'R_1693']"
16,Bin 453,8.737628835281619,"['R_1053', 'R_1542']"
17,Bin 1130,8.574919949215676,"['R_1097', 'R_683']"
18,Bin 1128,8.330214889080255,"['R_1090', 'R_1775']"
19,Bin 20,8.29235055738188,"['R_512', 'R_1465']"
20,Bin 1082,7.855488078655385,"['R_22', 'R_1632']"
21,Bin 608,7.690504355634782,"['R_1898', 'R_793']"
22,Bin 820,7.530941353241248,"['R_474', 'R_733']"
23,Bin 654,7.285440908879114,"['R_290', 'R_515']"
24,Bin 713,7.217103161002717,"['R_1909', 'R_1616']"
25,Bin 1286,6.9692614267521815,"['R_526', 'R_1063']"
26,Bin 1385,6.967381337765981,"['R_858', 'R_1724']"
27,Bin 1151,6.926018415280608,"['R_508', 'R_1247']"
28,Bin 509,6.864515101724425,"['R_223', 'R_367']"
29,Bin 152,6.848992411314138,"['R_328', 'R_375']"
30,Bin 706,6.677742488851172,"['R_309', 'R_1571']"
31,Bin 1061,6.593886116331339,"['R_309', 'R_801']"
32,Bin 1247,5.949307059181237,"['R_944', 'R_201']"
33,Bin 1309,5.746767169001502,"['R_400', 'R_599']"
34,Bin 857,5.740727377854153,"['R_1729', 'R_1019']"
35,Bin 50,5.708497763344501,"['R_1521', 'R_681']"
36,Bin 1040,5.692548082654567,"['R_1416', 'R_914']"
37,Bin 294,5.649534521908723,"['R_1050', 'R_1280']"
38,Bin 1374,5.557168309896682,"['R_1928', 'R_20']"
39,Bin 934,5.451924806087025,"['R_604', 'R_1841']"
40,Bin 1049,5.421546967201701,"['R_1760', 'R_506']"
41,Bin 308,5.397785274918815,"['R_1334', 'R_1801']"
42,Bin 129,5.392653385134526,"['R_1598', 'R_792']"
43,Bin 515,5.379726821131882,"['R_1842', 'R_245']"
44,Bin 439,5.299596031713023,"['R_1824', 'R_257']"
45,Bin 481,5.295896293582533,"['R_137', 'R_860']"
46,Bin 649,5.285370384434436,"['R_1439', 'R_1170']"
47,Bin 457,5.280012152308604,"['R_984', 'R_331']"
48,Bin 492,5.211969292563317,"['R_1000', 'R_881']"
49,Bin 1302,5.200428360675073,"['R_458', 'R_1524']"
50,Bin 793,5.146419163521529,"['R_1322', 'R_654']"
51,Bin 459,5.13311572028006,"['R_1225', 'R_225']"
52,Bin 1454,5.08547190691515,"['R_317', 'R_944']"
53,Bin 999,5.083870209343327,"['R_1791', 'R_1519']"
54,Bin 483,5.0807730337416945,"['R_1749', 'R_1113']"
55,Bin 390,5.071576118872782,"['R_1814', 'R_206']"
56,Bin 856,5.01319007143911,"['R_1739', 'R_1610']"
57,Bin 657,4.926386479790963,"['R_1427', 'R_706']"
58,Bin 1224,4.824844482410736,"['R_195', 'R_1355']"
59,Bin 1148,4.808886563217207,"['R_1501', 'R_1040']"
60,Bin 405,4.783617395305291,"['R_641', 'R_1867']"
61,Bin 1021,4.770364720413892,"['R_1281', 'R_1334']"
62,Bin 1403,4.709615279269336,"['R_1229', 'R_1213']"
63,Bin 1034,4.567473449124966,"['R_633', 'R_351']"
64,Bin 150,4.5588894956068655,"['R_208', 'R_913']"
65,Bin 829,4.523641592447928,"['R_1967', 'R_1808']"
66,Bin 1088,4.478406495364686,"['R_41', 'R_1155']"
67,Bin 1428,4.456335611255959,"['R_1001', 'R_584']"
68,Bin 404,4.3789226872830564,"['R_590', 'R_823']"
69,Bin 434,4.27647840657054,"['R_569', 'R_1526']"
70,Bin 336,4.274755998591677,"['R_880', 'R_1665']"
71,Bin 278,4.272414391332914,"['R_1619', 'R_1296']"
72,Bin 1455,4.2718596815942504,"['R_924', 'R_1176']"
73,Bin 1012,4.270824706346482,"['R_1711', 'R_1351']"
74,Bin 1204,4.269293758115121,"['R_1894', 'R_537']"
75,Bin 742,4.246943638944723,"['R_1660', 'R_666']"
76,Bin 1064,4.235742912942517,"['R_1171', 'R_939']"
77,Bin 805,4.234892412499778,"['R_1315', 'R_1558']"
78,Bin 175,4.225995122644529,"['R_1190', 'R_847']"
79,Bin 1168,4.224544147135274,"['R_612', 'R_1604']"
80,Bin 429,4.214308690748386,"['R_1636', 'R_1955']"
81,Bin 634,4.1828118541438535,"['R_1661', 'R_1207']"
82,Bin 98,4.159106263010414,"['R_717', 'R_1425']"
83,Bin 1160,4.113110505987534,"['R_1916', 'R_636']"
84,Bin 1095,4.094104618014942,"['R_922', 'R_1204']"
85,Bin 711,4.091196588506781,"['R_850', 'R_1565']"
86,Bin 873,4.081352253491548,"['R_1521', 'R_18']"
87,Bin 1218,4.060359952506361,"['R_806', 'R_594']"
88,Bin 204,3.9955463534501914,"['R_143', 'R_385']"
89,Bin 393,3.9871386448358015,"['R_1480', 'R_594']"
90,Bin 468,3.983266823392249,"['R_1731', 'R_1104']"
91,Bin 1161,3.978023420206683,"['R_1373', 'R_1329']"
92,Bin 226,3.9575226644886077,"['R_1689', 'R_1741']"
93,Bin 529,3.94147938758236,"['R_264', 'R_81']"
94,Bin 1156,3.882855310360873,"['R_204', 'R_1424']"
95,Bin 120,3.8755413766354314,"['R_355', 'R_1858']"
96,Bin 301,3.868929151216698,"['R_49', 'R_186']"
97,Bin 776,3.8490161175406032,"['R_1223', 'R_1396']"
98,Bin 246,3.8410497165301747,"['R_636', 'R_129']"
99,Bin 506,3.8168485721040324,"['R_1752', 'R_218']"
100,Bin 461,3.78987655903798,"['R_1893', 'R_521']"
101,Bin 673,3.7799515512506487,"['R_846', 'R_1302']"
102,Bin 239,3.6828297717513747,"['R_24', 'R_1828']"
103,Bin 449,3.671295199583273,"['R_1671', 'R_1410']"
104,Bin 366,3.664382522061579,"['R_90', 'R_135']"
105,Bin 339,3.6579304477641146,"['R_997', 'R_1659']"
106,Bin 962,3.6457442345723776,"['R_1068', 'R_195']"
107,Bin 912,3.639142263739044,"['R_142', 'R_314']"
108,Bin 1453,3.6181104915005435,"['R_1933', 'R_404']"
109,Bin 1200,3.6125707544114687,"['R_878', 'R_1817']"
110,Bin 1371,3.576842678637896,"['R_119', 'R_267']"
111,Bin 223,3.5523914292464474,"['R_1525', 'R_1323']"
112,Bin 1342,3.531157745110863,"['R_866', 'R_1962']"
113,Bin 752,3.4738726338491275,"['R_1353', 'R_1496']"
114,Bin 945,3.4109833208299634,"['R_1099', 'R_947']"
115,Bin 572,3.3903013337787735,"['R_1249', 'R_1099']"
116,Bin 736,3.389909414917065,"['R_800', 'R_203']"
117,Bin 675,3.334655584031752,"['R_870', 'R_105']"
118,Bin 925,3.3161632247080197,"['R_359', 'R_315']"
119,Bin 103,3.3160997874307148,"['R_997', 'R_1989']"
120,Bin 678,3.2945889442801786,"['R_1500', 'R_884']"
121,Bin 1388,3.267903956229624,"['R_502', 'R_1937']"
122,Bin 271,3.2603212506773254,"['R_1656', 'R_1291']"
123,Bin 1176,3.242182284136273,"['R_894', 'R_475']"
124,Bin 926,3.242138767419111,"['R_1614', 'R_1387']"
125,Bin 1159,3.2402221697192086,"['R_1024', 'R_1717']"
126,Bin 216,3.239396791861056,"['R_219', 'R_1705']"
127,Bin 686,3.2293905774867926,"['R_583', 'R_539']"
128,Bin 1389,3.20322528906492,"['R_1394', 'R_516']"
129,Bin 25,3.2008158564516735,"['R_173', 'R_780']"
130,Bin 1440,3.185220070741721,"['R_1637', 'R_551']"
131,Bin 450,3.175730228052672,"['R_446', 'R_954']"
132,Bin 1180,3.1749715411315034,"['R_1944', 'R_1549']"
133,Bin 462,3.1685848077366026,"['R_1873', 'R_1096']"
134,Bin 567,3.1514494737518053,"['R_914', 'R_1303']"
135,Bin 821,3.142015344447198,"['R_1934', 'R_901']"
136,Bin 1281,3.130800101790192,"['R_471', 'R_601']"
137,Bin 415,3.124400812936408,"['R_777', 'R_1486']"
138,Bin 222,3.109709599208026,"['R_1812', 'R_1788']"
139,Bin 1203,3.10748911125818,"['R_567', 'R_1309']"
140,Bin 476,3.103712256833272,"['R_651', 'R_788']"
141,Bin 138,3.1023953059223968,"['R_215', 'R_1596']"
142,Bin 1041,3.1017475400908197,"['R_1916', 'R_364']"
143,Bin 1029,3.0895979381415812,"['R_759', 'R_213']"
144,Bin 445,3.0602647335588395,"['R_1529', 'R_645']"
145,Bin 1430,3.04806455518892,"['R_1870', 'R_576']"
146,Bin 1011,2.990515460786511,"['R_312', 'R_1317']"
147,Bin 31,2.958028261387102,"['R_270', 'R_396']"
148,Bin 927,2.944784508648439,"['R_834', 'R_403']"
149,Bin 1485,2.9335138307712185,"['R_562', 'R_410']"
150,Bin 303,2.915384466144041,"['R_565', 'R_96']"
151,Bin 1436,2.9144241090767924,"['R_1283', 'R_1634']"
152,Bin 1073,2.910885447733997,"['R_237', 'R_1034']"
153,Bin 839,2.908336656962086,"['R_1250', 'R_1320']"
154,Bin 1400,2.8906475179459834,"['R_1522', 'R_652']"
155,Bin 177,2.890578703365442,"['R_1578', 'R_1198']"
156,Bin 690,2.887270427292906,"['R_103', 'R_679']"
157,Bin 183,2.853213885841665,"['R_963', 'R_265']"
158,Bin 1242,2.8477883163985536,"['R_263', 'R_424']"
159,Bin 1375,2.8428722232987105,"['R_933', 'R_793']"
160,Bin 1027,2.8138128030323935,"['R_202', 'R_1801']"
161,Bin 914,2.8069992959135694,"['R_580', 'R_1950']"
162,Bin 1368,2.8020345203722297,"['R_1979', 'R_1131']"
163,Bin 362,2.7976869659145653,"['R_1012', 'R_1414']"
164,Bin 1140,2.7634913479063767,"['R_159', 'R_1519']"
165,Bin 1124,2.730585509703612,"['R_627', 'R_783']"
