,Bin #,Score,Bins
0,Bin 39,492.8123513554092,"['P_10', 'P_2', 'P_6', 'P_1']"
1,Bin 22,467.17596615292643,"['P_3', 'P_6', 'P_8', 'P_2']"
2,Bin 40,452.90413211325466,"['P_9', 'P_2', 'P_4', 'P_1']"
3,Bin 32,442.1956400062796,"['P_8', 'P_1', 'P_5', 'P_9']"
4,Bin 5,433.151009757176,"['P_10', 'P_2', 'P_6']"
5,Bin 33,421.7639676284435,"['P_6', 'P_10', 'P_8', 'P_7']"
6,Bin 7,402.275769883101,"['P_4', 'P_8', 'P_7']"
7,Bin 14,396.74588990518623,"['P_10', 'P_8', 'P_4']"
8,Bin 8,392.28187304761644,"['P_3', 'P_8', 'P_1']"
9,Bin 27,391.93030844802155,"['P_10', 'P_2', 'P_3']"
10,Bin 25,391.56437963947633,"['P_4', 'P_1', 'P_3']"
11,Bin 16,390.3855046783693,"['P_9', 'P_4', 'P_6']"
12,Bin 26,388.7776602496932,"['P_9', 'P_5', 'P_3']"
13,Bin 10,387.27303228624777,"['P_7', 'P_4', 'P_6']"
14,Bin 34,387.27303228624777,"['P_4', 'P_7', 'P_6']"
15,Bin 30,386.11133393247286,"['P_4', 'P_1', 'P_6']"
16,Bin 17,385.5127712102358,"['P_4', 'P_9', 'P_2']"
17,Bin 35,385.5127712102358,"['P_2', 'P_9', 'P_4']"
18,Bin 23,385.18804175618055,"['P_4', 'P_2', 'P_5']"
19,Bin 21,381.3712832419508,"['P_1', 'P_10', 'P_4']"
20,Bin 18,372.0704336291093,"['P_4', 'P_5', 'P_8']"
21,Bin 12,366.69004672068934,"['P_3', 'P_8', 'P_9']"
22,Bin 24,357.0630908509499,"['P_4', 'P_9', 'P_5']"
23,Bin 9,356.3890547822115,"['P_4', 'P_9', 'P_3']"
24,Bin 29,354.81678971539776,"['P_6', 'P_8', 'P_7']"
25,Bin 1,330.9188491204553,"['P_10', 'P_2']"
26,Bin 2,320.7482706268562,"['P_6', 'P_2']"
27,Bin 13,320.7482706268562,"['P_2', 'P_6']"
28,Bin 4,315.6249380759607,"['P_9', 'P_6']"
29,Bin 36,315.6249380759607,"['P_6', 'P_9']"
30,Bin 38,304.9645135215561,"['P_7', 'P_9']"
31,Bin 6,299.9270129956493,"['P_1', 'P_2']"
32,Bin 49,298.7284797799426,"['P_10', 'P_7']"
33,Bin 11,295.8475968472965,"['P_1', 'P_6']"
34,Bin 28,295.8475968472965,"['P_6', 'P_1']"
35,Bin 3,295.3147091819591,"['P_3', 'P_2']"
36,Bin 19,295.3147091819591,"['P_2', 'P_3']"
37,Bin 37,291.9878833072638,"['P_3', 'P_5']"
38,Bin 20,288.7334857235664,"['P_10', 'P_6']"
39,Bin 31,288.7334857235664,"['P_6', 'P_10']"
40,Bin 15,286.46544814285375,"['P_1', 'P_4']"
41,Bin 42,53.8474850969098,"['P_10', 'P_6', 'R_14']"
42,Bin 46,37.77335337178653,"['P_1', 'R_15']"
43,Bin 48,18.21768046946187,"['P_3', 'R_6']"
44,Bin 50,17.346323723765497,"['P_2', 'R_40']"
45,Bin 41,17.001629203641418,"['P_2', 'P_6', 'R_14', 'R_31']"
46,Bin 47,3.3026535913292996,"['P_4', 'R_29', 'R_1']"
47,Bin 44,0.005900717704732373,['R_2']
48,Bin 43,0.0,"['P_10', 'P_2', 'P_6', 'R_8', 'R_25', 'R_2', 'P_4']"
49,Bin 45,0.0,"['R_14', 'P_4', 'R_10', 'R_15', 'R_17']"
