,Bin #,Score,Bins
0,Bin 39,161.6887364138844,"['R_167', 'P_6']"
1,Bin 40,39.54584987811554,"['P_6', 'R_154', 'R_111']"
2,Bin 1,0.0,"['R_111', 'R_14', 'P_4', 'R_216', 'R_70', 'R_285', 'R_122', 'R_191', 'R_160', 'R_193', 'R_210', 'R_84', 'R_30']"
3,Bin 2,0.0,"['R_197', 'R_149', 'R_110', 'R_9', 'R_193', 'R_77', 'R_13', 'R_146', 'R_72']"
4,Bin 3,0.0,"['R_200', 'R_109', 'R_159', 'R_157', 'R_97', 'R_221', 'R_276', 'R_62']"
5,Bin 4,0.0,"['R_15', 'R_61', 'R_217', 'R_147', 'R_175', 'R_73', 'R_7', 'R_109', 'R_246', 'R_181', 'R_144', 'R_47']"
6,Bin 5,0.0,"['R_173', 'R_115', 'R_153', 'R_195', 'R_81', 'R_24', 'R_214', 'R_213', 'R_118']"
7,Bin 6,0.0,"['R_204', 'R_156', 'R_85', 'R_112', 'R_125', 'R_40', 'R_142', 'R_160', 'R_133', 'R_132', 'R_1']"
8,Bin 7,0.0,"['R_69', 'R_222', 'R_253', 'R_16', 'R_32', 'R_4', 'R_238', 'R_104', 'R_260']"
9,Bin 8,0.0,"['R_53', 'R_242', 'R_241', 'R_163', 'R_20', 'R_155', 'R_247', 'R_150', 'R_230']"
10,Bin 9,0.0,"['R_46', 'R_287', 'R_34', 'R_161', 'R_58', 'R_2', 'R_282']"
11,Bin 10,0.0,"['R_204', 'P_10', 'R_186', 'R_35', 'R_31', 'R_212', 'R_163', 'R_229', 'R_103', 'R_47', 'R_255']"
12,Bin 11,0.0,"['R_71', 'R_172', 'R_140', 'P_9', 'R_260', 'R_199', 'P_5']"
13,Bin 12,0.0,"['R_194', 'R_270', 'R_26', 'R_186', 'R_23', 'R_268', 'R_25', 'R_127', 'P_6', 'R_241', 'R_250', 'R_142', 'R_57', 'R_161', 'R_30']"
14,Bin 13,0.0,"['R_19', 'R_249', 'R_256', 'R_28', 'R_224', 'R_223', 'R_257', 'R_251', 'R_284']"
15,Bin 14,0.0,"['R_211', 'P_10', 'R_60', 'R_90', 'R_64', 'R_174', 'R_250', 'R_177', 'R_94', 'R_245', 'R_49', 'R_29', 'R_236']"
16,Bin 15,0.0,"['R_121', 'R_232', 'R_45', 'R_231', 'R_86', 'R_104', 'R_117', 'R_126']"
17,Bin 16,0.0,"['R_151', 'R_173', 'R_83', 'R_143', 'R_38', 'R_58', 'R_82', 'R_5']"
18,Bin 17,0.0,"['R_206', 'R_107', 'R_217', 'R_73', 'R_174', 'R_57', 'P_9', 'R_264', 'R_1', 'R_259']"
19,Bin 18,0.0,"['R_282', 'R_135', 'P_3', 'R_229', 'R_220']"
20,Bin 19,0.0,"['R_51', 'R_218', 'R_68', 'R_196', 'R_139', 'R_284']"
21,Bin 20,0.0,"['R_52', 'R_147', 'R_80', 'R_169', 'R_283', 'R_3', 'R_286', 'R_96']"
22,Bin 21,0.0,"['R_170', 'R_189', 'R_225', 'R_277', 'R_248', 'R_127', 'R_238', 'R_48', 'R_67', 'R_93', 'R_168', 'R_261', 'R_263', 'R_236']"
23,Bin 22,0.0,"['R_65', 'R_105', 'R_129', 'R_177', 'R_138', 'P_3', 'R_98', 'R_226', 'R_50', 'R_56']"
24,Bin 23,0.0,"['R_41', 'R_60', 'R_165', 'R_143', 'R_240', 'R_67', 'R_207', 'R_188', 'R_168', 'R_267', 'R_166']"
25,Bin 24,0.0,"['R_12', 'R_16', 'R_108', 'R_152', 'R_240', 'R_119', 'R_2', 'R_227', 'R_261', 'P_5']"
26,Bin 25,0.0,"['R_39', 'R_258', 'R_262', 'R_225', 'R_154', 'R_235', 'R_102', 'R_36']"
27,Bin 26,0.0,"['R_78', 'R_242', 'P_1', 'R_279', 'R_248', 'R_198', 'R_281', 'R_100']"
28,Bin 27,0.0,"['R_151', 'R_290', 'P_7', 'R_80', 'R_201', 'R_18']"
29,Bin 28,0.0,"['R_179', 'P_4', 'R_71', 'R_192', 'R_219', 'R_264', 'R_106', 'R_166']"
30,Bin 29,0.0,"['R_167', 'R_91', 'R_52', 'R_64', 'P_7', 'R_239', 'R_182']"
31,Bin 30,0.0,"['R_288', 'R_25', 'R_209', 'R_162', 'R_27', 'R_93', 'R_289', 'R_116', 'R_92']"
32,Bin 31,0.0,"['R_149', 'R_270', 'R_123', 'R_6', 'R_223', 'R_66', 'R_203', 'R_114', 'R_43', 'R_255']"
33,Bin 32,0.0,"['R_10', 'R_285', 'R_234', 'R_145', 'R_205', 'R_172', 'R_180', 'R_98', 'R_114', 'R_63', 'R_164']"
34,Bin 33,0.0,"['R_22', 'R_268', 'R_158', 'R_105', 'R_220', 'R_128', 'R_18', 'R_269']"
35,Bin 34,0.0,"['R_79', 'R_208', 'R_209', 'R_131', 'R_239', 'R_184']"
36,Bin 35,0.0,"['R_252', 'R_95', 'R_90', 'R_23', 'R_158', 'R_34', 'R_7', 'R_207', 'R_11']"
37,Bin 36,0.0,"['R_244', 'R_194', 'R_31', 'R_274', 'R_157', 'R_246', 'R_148', 'R_132', 'R_221']"
38,Bin 37,0.0,"['R_256', 'R_53', 'R_155']"
39,Bin 38,0.0,"['R_211', 'R_197', 'R_21', 'R_89', 'R_87', 'R_234', 'R_75', 'R_74', 'R_196', 'R_200', 'R_84', 'R_55']"
40,Bin 41,0.0,"['R_251', 'P_5', 'R_157', 'R_71', 'R_140', 'R_249', 'R_256', 'R_163', 'R_4']"
41,Bin 42,0.0,"['R_170', 'R_172', 'R_199', 'R_260', 'R_215', 'R_223', 'R_166', 'R_113']"
42,Bin 43,0.0,"['R_173', 'R_148', 'R_220']"
43,Bin 44,0.0,"['P_10', 'R_80', 'R_64', 'R_28', 'R_203', 'R_147', 'R_152', 'R_13']"
44,Bin 45,0.0,"['R_182', 'R_172', 'R_98', 'R_204', 'R_275', 'R_76', 'R_287', 'R_10', 'R_52', 'R_64', 'R_210', 'R_286', 'R_26', 'R_261', 'R_72', 'R_62']"
45,Bin 46,0.0,"['R_167', 'R_239', 'R_285', 'R_52', 'R_139', 'R_248', 'R_64', 'R_99']"
46,Bin 47,0.0,"['R_117', 'R_129', 'R_226', 'R_56', 'R_197', 'R_151', 'R_231', 'R_55', 'R_286']"
47,Bin 48,0.0,"['R_45', 'R_105', 'R_138', 'R_98', 'R_126', 'R_104', 'R_91', 'R_235', 'R_257', 'R_103']"
48,Bin 49,0.0,"['P_4', 'R_172', 'R_140', 'R_166', 'R_97', 'R_179', 'R_134', 'R_70', 'R_88', 'R_53', 'R_243', 'R_14', 'R_261']"
49,Bin 50,0.0,"['P_9', 'R_179', 'R_264', 'R_76', 'R_166', 'R_37', 'R_107', 'R_3']"
