,Bin #,Score,Bins
0,Bin 21,4430.5248042436815,"['P_3', 'P_5', 'P_1', 'P_7']"
1,Bin 30,4415.5454637917765,"['P_4', 'P_1', 'P_5', 'P_2']"
2,Bin 27,4413.261446432663,"['P_4', 'P_8', 'P_2', 'P_1']"
3,Bin 38,4385.638816996332,"['P_8', 'P_4', 'P_3', 'P_9']"
4,Bin 24,4364.898128523599,"['P_10', 'P_6', 'P_3', 'P_2']"
5,Bin 29,4297.303304035239,"['P_3', 'P_1', 'P_9', 'P_10']"
6,Bin 32,3867.247426931921,"['P_10', 'P_2', 'P_7']"
7,Bin 17,3855.178427222717,"['P_1', 'P_8', 'P_4']"
8,Bin 12,3816.8632802160528,"['P_10', 'P_4', 'P_3']"
9,Bin 35,3796.4375088214065,"['P_9', 'P_2', 'P_3']"
10,Bin 22,3770.071460805078,"['P_5', 'P_3', 'P_4']"
11,Bin 33,3768.061934800073,"['P_3', 'P_10', 'P_2']"
12,Bin 26,3758.516971811751,"['P_6', 'P_2', 'P_10']"
13,Bin 13,3756.728564033779,"['P_6', 'P_8', 'P_9']"
14,Bin 4,3724.318329129526,"['P_1', 'P_5', 'P_3']"
15,Bin 37,3711.01435388157,"['P_2', 'P_5', 'P_1']"
16,Bin 7,3706.1398988392116,"['P_2', 'P_3', 'P_1']"
17,Bin 28,3706.1398988392116,"['P_2', 'P_1', 'P_3']"
18,Bin 39,3690.8067151708274,"['P_8', 'P_6', 'P_1']"
19,Bin 34,3628.1829285216995,"['P_2', 'P_5', 'P_6']"
20,Bin 31,3588.067677957165,"['P_4', 'P_3', 'P_6']"
21,Bin 2,2928.8499189807003,"['P_10', 'P_4']"
22,Bin 5,2918.398880315007,"['P_4', 'P_1']"
23,Bin 14,2916.0977605097273,"['P_2', 'P_4']"
24,Bin 19,2916.0977605097273,"['P_4', 'P_2']"
25,Bin 20,2909.2407542359356,"['P_2', 'P_9']"
26,Bin 3,2868.0394022527794,"['P_2', 'P_7']"
27,Bin 8,2868.0394022527794,"['P_7', 'P_2']"
28,Bin 11,2829.614253750336,"['P_2', 'P_8']"
29,Bin 16,2829.614253750336,"['P_8', 'P_2']"
30,Bin 1,2826.8356983331505,"['P_2', 'P_10']"
31,Bin 18,2826.8356983331505,"['P_10', 'P_2']"
32,Bin 6,2826.796028724943,"['P_2', 'P_3']"
33,Bin 15,2826.796028724943,"['P_3', 'P_2']"
34,Bin 10,2823.003655038483,"['P_10', 'P_7']"
35,Bin 23,2801.240940503055,"['P_3', 'P_4']"
36,Bin 25,2801.240940503055,"['P_4', 'P_3']"
37,Bin 36,2792.23296823494,"['P_9', 'P_10']"
38,Bin 40,2768.0127090013452,"['P_1', 'P_7']"
39,Bin 9,2761.3317483384353,"['P_1', 'P_2']"
40,Bin 50,474.2789683825457,"['R_33', 'P_9', 'P_2']"
41,Bin 41,403.2616330174565,"['P_5', 'P_7', 'R_10']"
42,Bin 46,360.8232100309118,"['P_7', 'R_29', 'P_1']"
43,Bin 45,152.66738453468966,"['P_3', 'R_14']"
44,Bin 42,149.95264241690836,"['P_1', 'R_38']"
45,Bin 43,146.25532832091722,"['P_8', 'P_6', 'R_23', 'R_8']"
46,Bin 49,124.9427437142751,"['P_3', 'R_40']"
47,Bin 47,121.26002431155527,"['P_10', 'R_6']"
48,Bin 48,92.52652200288514,"['P_2', 'R_29']"
49,Bin 44,0.0,"['P_1', 'P_9', 'R_21', 'R_9', 'R_33']"
