,Bin #,Score,Bins
0,Bin 14,8.887010405228144,"['R_31', 'R_21']"
1,Bin 11,8.297992768426635,"['R_31', 'R_6']"
2,Bin 6,8.265088073565385,"['R_5', 'P_10', 'R_3']"
3,Bin 32,6.883954955230466,"['P_5', 'R_31', 'R_6']"
4,Bin 23,6.338775486923602,"['R_5', 'R_20']"
5,Bin 36,5.468371833674078,"['R_26', 'P_9']"
6,Bin 21,5.3468068532215005,['R_31']
7,Bin 2,5.237635809087397,"['R_5', 'P_4']"
8,Bin 19,5.237635809087397,"['P_4', 'R_5']"
9,Bin 16,5.153736023677366,"['R_24', 'R_20']"
10,Bin 20,4.984568308062025,"['R_26', 'R_38', 'P_2']"
11,Bin 25,4.807185863970176,"['R_11', 'R_29']"
12,Bin 18,4.667837949316339,"['R_11', 'R_12']"
13,Bin 35,4.605863697446722,"['R_31', 'P_3']"
14,Bin 29,4.4873917235004015,['R_3']
15,Bin 39,4.468191484894287,"['R_5', 'R_37']"
16,Bin 24,4.458208188714609,"['R_25', 'R_38']"
17,Bin 1,4.371123549790232,"['R_36', 'R_3']"
18,Bin 10,4.287255436557851,"['R_21', 'R_28']"
19,Bin 28,4.149463340093996,"['R_31', 'R_28']"
20,Bin 33,4.149463340093996,"['R_28', 'R_31']"
21,Bin 9,4.128562313692296,['P_9']
22,Bin 27,4.1219071124006375,"['R_20', 'R_12']"
23,Bin 22,4.117811741778921,"['P_8', 'R_31']"
24,Bin 17,4.0543145878518,"['R_11', 'R_3']"
25,Bin 13,4.051805533361253,"['P_5', 'R_31']"
26,Bin 30,4.027653615288016,"['R_38', 'P_4', 'R_25']"
27,Bin 34,3.7635404614212593,"['P_9', 'R_6']"
28,Bin 31,3.7630851613789082,"['R_26', 'R_29']"
29,Bin 3,3.7168091612600316,"['R_5', 'R_10']"
30,Bin 5,3.7168091612600316,"['R_10', 'R_5']"
31,Bin 40,3.7062571259008528,"['P_9', 'R_25']"
32,Bin 12,3.6852684869158607,"['R_37', 'P_2', 'P_4']"
33,Bin 15,3.6358618082559544,"['R_26', 'R_28', 'P_3']"
34,Bin 37,3.615923485839548,"['R_7', 'R_25']"
35,Bin 7,3.607350381772821,"['P_9', 'R_7']"
36,Bin 8,3.607135711131105,"['R_11', 'R_16']"
37,Bin 26,3.607135711131105,"['R_16', 'R_11']"
38,Bin 38,3.5579505774548563,"['P_9', 'R_28', 'R_21']"
39,Bin 4,3.531195670007216,['R_5']
40,Bin 45,2.0867758018681055,"['R_11', 'R_19', 'P_1']"
41,Bin 48,0.9167023928478227,"['R_31', 'R_40']"
42,Bin 42,0.140534699970415,"['R_5', 'R_38']"
43,Bin 50,0.09591180293955334,"['R_22', 'R_25']"
44,Bin 41,0.04573929578952148,"['P_6', 'R_10', 'P_7', 'P_10']"
45,Bin 49,0.0007497527216455422,"['R_33', 'P_9']"
46,Bin 46,8.368107566064152e-05,"['R_21', 'R_24']"
47,Bin 43,0.0,"['R_5', 'R_37', 'R_29', 'R_2']"
48,Bin 44,0.0,"['R_31', 'P_9', 'R_21', 'R_9']"
49,Bin 47,0.0,['P_3']
