,Bin #,Score,Bins
0,Bin 1,9280.695169435605,"['P_2', 'P_10']"
1,Bin 2,9280.695169435605,"['P_6', 'P_2']"
2,Bin 3,9280.695169435605,"['P_10', 'P_4']"
3,Bin 8,9280.695169435605,"['P_6', 'P_3']"
4,Bin 9,9280.695169435605,"['P_3', 'P_8']"
5,Bin 10,9280.695169435605,"['P_4', 'P_2']"
6,Bin 12,9280.695169435605,"['P_3', 'P_5']"
7,Bin 13,9280.695169435605,"['P_9', 'P_3']"
8,Bin 15,9280.695169435605,"['P_8', 'P_5']"
9,Bin 16,9280.695169435605,"['P_2', 'P_7']"
10,Bin 17,9280.695169435605,"['P_5', 'P_3', 'P_8', 'P_6']"
11,Bin 18,9280.695169435605,"['P_2', 'P_7', 'P_8']"
12,Bin 19,9280.695169435605,"['P_7', 'P_6']"
13,Bin 20,9280.695169435605,"['P_9', 'P_7']"
14,Bin 21,9280.695169435605,"['P_5', 'P_8']"
15,Bin 22,9280.695169435605,"['P_3', 'P_9']"
16,Bin 23,9280.695169435605,"['P_2', 'P_8', 'P_10']"
17,Bin 24,9280.695169435605,"['P_10', 'P_1']"
18,Bin 25,9280.695169435605,"['P_10', 'P_2']"
19,Bin 26,9280.695169435605,"['P_8', 'P_6']"
20,Bin 27,9280.695169435605,"['P_8', 'P_3']"
21,Bin 28,9280.695169435605,"['P_3', 'P_1']"
22,Bin 29,9280.695169435605,"['P_5', 'P_6']"
23,Bin 30,9280.695169435605,"['P_7', 'P_10', 'P_2']"
24,Bin 31,9280.695169435605,"['P_9', 'P_2']"
25,Bin 32,9280.695169435605,"['P_3', 'P_9', 'P_2']"
26,Bin 33,9280.695169435605,"['P_8', 'P_2']"
27,Bin 34,9280.695169435605,"['P_7', 'P_8']"
28,Bin 35,9280.695169435605,"['P_9', 'P_6', 'P_3']"
29,Bin 36,9280.695169435605,"['P_2', 'P_6']"
30,Bin 37,9280.695169435605,"['P_7', 'P_5']"
31,Bin 38,9280.695169435605,"['P_10', 'P_8']"
32,Bin 39,9280.695169435605,"['P_6', 'P_5']"
33,Bin 14,8134.201524573709,['P_4']
34,Bin 6,8036.033080214036,['P_7']
35,Bin 40,8028.27871714709,['P_1']
36,Bin 7,8000.491324272024,['P_9']
37,Bin 4,7995.924104686848,['P_10']
38,Bin 5,7956.0694428213155,['P_8']
39,Bin 11,7929.349098790004,['P_2']
40,Bin 41,0.0,"['R_28', 'R_15', 'P_7']"
41,Bin 42,0.0,"['P_10', 'P_8', 'R_23', 'R_4']"
42,Bin 43,0.0,"['R_15', 'P_9', 'R_21', 'R_9']"
43,Bin 44,0.0,"['P_9', 'R_14']"
44,Bin 45,0.0,"['P_2', 'R_29', 'P_1']"
45,Bin 46,0.0,"['P_10', 'R_6']"
46,Bin 47,0.0,"['P_8', 'R_40']"
47,Bin 48,0.0,"['R_33', 'P_9']"
48,Bin 49,0.0,"['R_22', 'R_25']"
49,Bin 50,0.0,"['R_29', 'R_14']"
