,Bin #,Score,Bins
0,Bin 29,173.33653370840588,"['P_3', 'P_6', 'P_8', 'P_9']"
1,Bin 15,156.36960538476046,"['P_10', 'P_8', 'P_3']"
2,Bin 9,153.86508943999326,"['P_4', 'P_6', 'P_3']"
3,Bin 11,153.86508943999326,"['P_4', 'P_3', 'P_6']"
4,Bin 33,153.86508943999326,"['P_3', 'P_4', 'P_6']"
5,Bin 25,153.23719118700186,"['P_5', 'P_7', 'P_6']"
6,Bin 28,153.23719118700186,"['P_6', 'P_5', 'P_7']"
7,Bin 38,150.0970133092028,"['P_8', 'P_7', 'P_1']"
8,Bin 14,149.97375096502452,"['P_8', 'P_7', 'P_2']"
9,Bin 23,149.46201355995473,"['P_2', 'P_3', 'P_8']"
10,Bin 26,149.46201355995473,"['P_3', 'P_8', 'P_2']"
11,Bin 18,148.33289857264683,"['P_3', 'P_2', 'P_6']"
12,Bin 32,147.96615505957882,"['P_6', 'P_1', 'P_5']"
13,Bin 24,143.45841220046955,"['P_9', 'P_3', 'P_6']"
14,Bin 16,141.13665039422406,"['P_2', 'P_10', 'P_8']"
15,Bin 36,140.9990043940523,"['P_7', 'P_8']"
16,Bin 19,139.10782913012528,"['P_5', 'P_9', 'P_7']"
17,Bin 5,131.9581110620608,"['P_3', 'P_8']"
18,Bin 2,128.81910897352935,"['P_8', 'P_6']"
19,Bin 20,128.81910897352935,"['P_6', 'P_8']"
20,Bin 40,125.69471087684437,"['P_7', 'P_5']"
21,Bin 12,123.97495561626653,"['P_8', 'P_9']"
22,Bin 4,122.9054110148501,"['P_8', 'P_4']"
23,Bin 27,122.9054110148501,"['P_4', 'P_8']"
24,Bin 6,122.71654254849301,"['P_3', 'P_6']"
25,Bin 35,122.71654254849301,"['P_6', 'P_3']"
26,Bin 21,121.29216623323764,"['P_2', 'P_8']"
27,Bin 17,121.17539464883664,"['P_8', 'P_1']"
28,Bin 39,120.62761936059051,"['P_10', 'P_4', 'P_7']"
29,Bin 10,118.03026363174753,"['P_1', 'P_6']"
30,Bin 13,115.32783516985916,"['P_6', 'P_7']"
31,Bin 22,115.32783516985916,"['P_7', 'P_6']"
32,Bin 1,114.80060584534296,"['P_3', 'P_7']"
33,Bin 30,114.80060584534296,"['P_7', 'P_3']"
34,Bin 7,111.84972077619882,"['P_3', 'P_1']"
35,Bin 8,111.84972077619882,"['P_1', 'P_3']"
36,Bin 3,106.05393449702515,"['P_4', 'P_1']"
37,Bin 34,106.05393449702515,"['P_1', 'P_4']"
38,Bin 31,102.57223950449313,"['P_1', 'P_2']"
39,Bin 37,102.57223950449313,"['P_2', 'P_1']"
40,Bin 47,100.60372175210321,"['P_4', 'P_6']"
41,Bin 45,26.66462820949456,"['P_6', 'R_29', 'P_1']"
42,Bin 42,13.857415275425288,"['P_8', 'R_14']"
43,Bin 49,8.470224395817457,"['R_33', 'P_9']"
44,Bin 48,7.838088087958991,"['P_3', 'R_40']"
45,Bin 44,6.475145328413484,"['P_2', 'P_9', 'R_21', 'R_9']"
46,Bin 41,4.346935753362925,"['P_8', 'R_14', 'R_31']"
47,Bin 43,2.652885711580514,"['P_10', 'P_4', 'R_29', 'R_2']"
48,Bin 50,0.7519365644034819,"['R_22', 'R_25']"
49,Bin 46,0.131106238200851,"['P_2', 'R_6']"
