,Bin #,Score,Bins
0,Bin 9,1632.4921713527683,"['P_8', 'P_3', 'P_5', 'P_7', 'P_2']"
1,Bin 34,1527.0201743174657,"['P_9', 'P_7', 'P_1', 'P_2']"
2,Bin 21,1523.7922870564478,"['P_7', 'P_8', 'P_9', 'P_6']"
3,Bin 13,1517.444489649988,"['P_2', 'P_6', 'P_4', 'P_8']"
4,Bin 10,1506.4430351353876,"['P_5', 'P_7', 'P_9', 'P_1']"
5,Bin 29,1506.4430351353876,"['P_7', 'P_1', 'P_9', 'P_5']"
6,Bin 22,1496.4246114803118,"['P_6', 'P_7', 'P_5', 'P_9']"
7,Bin 27,1489.4367937372094,"['P_7', 'P_8', 'P_10', 'P_3']"
8,Bin 31,1487.1083689938507,"['P_8', 'P_7', 'P_4', 'P_5']"
9,Bin 20,1332.5670079652778,"['P_2', 'P_9', 'P_1']"
10,Bin 18,1331.635896597486,"['P_10', 'P_2', 'P_1']"
11,Bin 40,1316.699208862718,"['P_1', 'P_9', 'P_8']"
12,Bin 36,1314.6056354247403,"['P_2', 'P_7', 'P_5']"
13,Bin 28,1313.159128006581,"['P_7', 'P_2', 'P_10']"
14,Bin 7,1311.5877283116438,"['P_9', 'P_3', 'P_4']"
15,Bin 26,1309.6987541939932,"['P_9', 'P_7', 'P_1']"
16,Bin 35,1309.6467988086597,"['P_7', 'P_5', 'P_3']"
17,Bin 37,1305.3842851805416,"['P_9', 'P_8', 'P_7']"
18,Bin 38,1304.9018752596894,"['P_1', 'P_7', 'P_6']"
19,Bin 33,1296.7791629631658,"['P_8', 'P_9', 'P_6']"
20,Bin 25,1295.8523367613982,"['P_8', 'P_1', 'P_2']"
21,Bin 3,1293.3019028115905,"['P_6', 'P_2', 'P_1']"
22,Bin 8,1292.2507181610154,"['P_6', 'P_4', 'P_3']"
23,Bin 6,1290.4499821964866,"['P_7', 'P_6', 'P_10']"
24,Bin 16,1290.4499821964866,"['P_6', 'P_10', 'P_7']"
25,Bin 11,1280.959937157789,"['P_8', 'P_6', 'P_1']"
26,Bin 24,1280.0080334366128,"['P_7', 'P_5', 'P_6']"
27,Bin 19,1275.6563188127186,"['P_7', 'P_9', 'P_5']"
28,Bin 17,1265.8791041949355,"['P_8', 'P_5', 'P_9']"
29,Bin 39,1265.8791041949355,"['P_9', 'P_8', 'P_5']"
30,Bin 23,1265.8066013292462,"['P_9', 'P_2', 'P_4']"
31,Bin 4,1264.410792501894,"['P_7', 'P_8', 'P_6']"
32,Bin 32,1261.8244140968945,"['P_6', 'P_3', 'P_2']"
33,Bin 30,1244.5187162929296,"['P_8', 'P_5', 'P_4']"
34,Bin 15,1237.052070544669,"['P_7', 'P_4', 'P_3']"
35,Bin 1,991.8218980423195,"['P_2', 'P_10']"
36,Bin 14,991.8218980423195,"['P_10', 'P_2']"
37,Bin 12,991.679438740203,"['P_7', 'P_1']"
38,Bin 2,982.7108195968812,"['P_8', 'P_2']"
39,Bin 5,982.7108195968812,"['P_2', 'P_8']"
40,Bin 48,897.4574465287947,"['P_5', 'P_6']"
41,Bin 50,237.844155520061,"['R_33', 'P_9', 'P_2']"
42,Bin 49,75.3327212220584,"['P_8', 'R_40']"
43,Bin 45,67.5868488701379,"['P_7', 'R_15']"
44,Bin 42,67.34310844386093,"['P_8', 'R_14']"
45,Bin 43,54.84802474989772,"['P_9', 'P_8', 'R_23', 'R_4']"
46,Bin 47,49.47743307545116,"['P_9', 'R_6']"
47,Bin 41,34.37008347158818,"['P_8', 'R_14', 'R_31']"
48,Bin 44,0.0,"['P_7', 'P_9', 'R_10', 'R_15', 'R_17']"
49,Bin 46,0.0,"['P_7', 'R_39', 'R_29', 'P_1', 'R_21']"
