,Bin #,Score,Bins
0,Bin 33,7274.097251400186,"['P_1', 'P_9', 'P_2']"
1,Bin 7,7272.389593445877,"['P_9', 'P_4', 'P_2']"
2,Bin 27,7246.235049231313,"['P_10', 'P_9', 'P_4']"
3,Bin 25,7135.247525583268,"['P_10', 'P_2', 'P_6']"
4,Bin 13,7133.315335406089,"['P_3', 'P_4', 'P_2']"
5,Bin 40,7115.583567391064,"['P_2', 'P_4', 'P_6']"
6,Bin 23,7111.514923727094,"['P_6', 'P_3', 'P_1']"
7,Bin 20,7062.881741957039,"['P_9', 'P_3', 'P_2']"
8,Bin 32,5527.727673064932,"['P_4', 'P_1']"
9,Bin 34,5527.727673064932,"['P_1', 'P_4']"
10,Bin 39,5526.1316792303405,"['P_1', 'P_9']"
11,Bin 24,5460.185712088784,"['P_4', 'P_9']"
12,Bin 26,5460.185712088784,"['P_9', 'P_4']"
13,Bin 19,5427.017310131373,"['P_2', 'P_10']"
14,Bin 10,5408.584514499922,"['P_4', 'P_2']"
15,Bin 37,5377.456449565123,"['P_1', 'P_6']"
16,Bin 35,5243.261238174912,"['P_3', 'P_2']"
17,Bin 5,5233.050436040805,"['P_6', 'P_9']"
18,Bin 28,5211.198609067065,"['P_9', 'P_7']"
19,Bin 6,5153.276522607827,"['P_3', 'P_9']"
20,Bin 14,5153.276522607827,"['P_9', 'P_3']"
21,Bin 31,5111.74018881947,"['P_5', 'P_9']"
22,Bin 3,5081.915781518279,"['P_5', 'P_6']"
23,Bin 30,5080.7597518383645,"['P_3', 'P_6']"
24,Bin 2,3026.168771090543,['P_1']
25,Bin 4,2945.240511514265,['P_4']
26,Bin 12,2908.4499614268234,['P_2']
27,Bin 1,2888.925724648085,['P_9']
28,Bin 21,1094.716526803205,"['P_2', 'P_1', 'P_4', 'P_5', 'R_41']"
29,Bin 38,989.0609235836951,"['P_6', 'P_10', 'P_4', 'R_6']"
30,Bin 22,978.4062345590548,"['P_9', 'P_2', 'P_4', 'R_31']"
31,Bin 16,970.2074860934748,"['P_6', 'P_10', 'P_1', 'R_38']"
32,Bin 17,932.6440605758903,"['P_2', 'P_1', 'P_4', 'R_22']"
33,Bin 29,897.3914628035376,"['P_2', 'P_1', 'P_4', 'R_35']"
34,Bin 15,839.0936397350811,"['P_9', 'R_42', 'P_3', 'P_6']"
35,Bin 11,711.471368677752,"['P_1', 'P_9', 'R_2']"
36,Bin 9,694.3663015687214,"['R_32', 'P_4', 'P_9']"
37,Bin 18,689.8619036693209,"['R_14', 'P_4', 'P_9']"
38,Bin 36,674.5611943003249,"['P_9', 'P_4', 'R_85']"
39,Bin 8,671.2397671334013,"['P_5', 'P_2', 'R_56']"
40,Bin 41,88.3326842047478,"['P_9', 'R_54', 'R_82']"
41,Bin 50,82.76418180159185,"['P_9', 'R_3', 'R_71']"
42,Bin 45,0.47975996493462214,"['R_31', 'R_83']"
43,Bin 42,0.0,"['P_4', 'P_7', 'R_60', 'R_87']"
44,Bin 43,0.0,"['P_10', 'R_90', 'R_53', 'R_23', 'R_15', 'R_24']"
45,Bin 44,0.0,"['R_85', 'R_7', 'R_75', 'R_9']"
46,Bin 46,0.0,"['P_2', 'P_3', 'R_79', 'R_58', 'R_64', 'R_18']"
47,Bin 47,0.0,"['P_6', 'R_42', 'R_82', 'R_6', 'R_61']"
48,Bin 48,0.0,"['P_3', 'R_26', 'R_4', 'R_84']"
49,Bin 49,0.0,"['P_4', 'P_8', 'R_32', 'R_90', 'R_85', 'R_24', 'R_26', 'R_61']"
