,Bin #,Score,Bins
0,Bin 660,262.25746639159183,"['R_654', 'P_4']"
1,Bin 507,252.77874551733137,"['R_844', 'P_1']"
2,Bin 501,245.90453026871336,"['P_9', 'R_443']"
3,Bin 474,236.02090290606318,"['P_6', 'R_905']"
4,Bin 521,218.59279963008257,"['P_4', 'R_90']"
5,Bin 670,217.96030482066314,"['P_7', 'R_920']"
6,Bin 78,215.39930242087968,"['P_9', 'R_62']"
7,Bin 661,213.68157345909535,"['R_470', 'P_2']"
8,Bin 606,204.1303601508185,"['R_790', 'P_5']"
9,Bin 283,192.48296393012828,"['R_367', 'P_3']"
10,Bin 385,178.95541697251434,"['R_499', 'P_10']"
11,Bin 88,177.79954243507993,"['P_10', 'R_696']"
12,Bin 559,177.46956902733422,"['R_674', 'P_8']"
13,Bin 312,9.28368410734321,"['R_563', 'R_454']"
14,Bin 260,8.862884690451672,"['R_273', 'R_553']"
15,Bin 304,7.5904701586697305,"['R_820', 'R_564']"
16,Bin 623,7.39450008081152,"['R_192', 'R_115']"
17,Bin 403,7.068924695666718,"['R_326', 'R_207']"
18,Bin 398,6.779712069524311,"['R_74', 'R_249']"
19,Bin 238,6.739489813308018,"['R_854', 'R_983']"
20,Bin 511,6.36983246832165,"['R_875', 'R_757']"
21,Bin 476,5.825298158543988,"['R_142', 'R_240']"
22,Bin 110,5.534513455452294,"['R_820', 'R_567']"
23,Bin 224,5.480546019356413,"['R_150', 'R_492']"
24,Bin 350,5.4322867155317915,"['R_27', 'R_942']"
25,Bin 237,5.289571403123523,"['R_893', 'R_743']"
26,Bin 37,5.089667742581981,"['R_535', 'R_938']"
27,Bin 538,4.930531702960391,"['R_446', 'R_399']"
28,Bin 492,4.844490253577733,"['R_334', 'R_625']"
29,Bin 371,4.759751531225711,"['R_946', 'R_19']"
30,Bin 734,4.661053232720455,"['R_442', 'R_850']"
31,Bin 105,4.558453144643452,"['R_400', 'R_789']"
32,Bin 544,4.483892943629735,"['R_835', 'R_41']"
33,Bin 685,4.473232748966067,"['R_274', 'R_828']"
34,Bin 40,4.3339148046834755,"['R_610', 'R_956']"
35,Bin 677,4.235102146980976,"['R_949', 'R_180']"
36,Bin 288,4.208418990532788,"['R_9', 'R_296']"
37,Bin 557,4.0731903336403725,"['R_895', 'R_663']"
38,Bin 120,4.045897663613164,"['R_653', 'R_692']"
39,Bin 251,3.9945912034721753,"['R_771', 'R_725']"
40,Bin 434,3.9485809850062044,"['R_468', 'R_546']"
41,Bin 323,3.948142354333536,"['R_728', 'R_755']"
42,Bin 649,3.9411872327195647,"['R_501', 'R_857']"
43,Bin 576,3.9127183791746196,"['R_262', 'R_705']"
44,Bin 585,3.72889498069282,"['R_634', 'R_479']"
45,Bin 491,3.6901823899343356,"['R_86', 'R_829']"
46,Bin 551,3.6781437832193893,"['R_622', 'R_76']"
47,Bin 372,3.6513212078776673,"['R_270', 'R_239']"
48,Bin 496,3.5916906190335354,"['R_164', 'R_744']"
49,Bin 528,3.5774187074758945,"['R_687', 'R_368']"
50,Bin 716,3.5529944363234596,"['R_718', 'R_84']"
51,Bin 256,3.535128793404611,"['R_347', 'R_911']"
52,Bin 376,3.507712650697011,"['R_397', 'R_375']"
53,Bin 370,3.4928255152922474,"['R_691', 'R_354']"
54,Bin 644,3.4817327567860596,"['R_915', 'R_238']"
