,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,1231.6179929956288,"['P_1', 'P_4', 'P_5']",0,0.559
1,Bin 2,1212.8735381109395,"['P_4', 'P_5', 'P_10', 'P_1']",0,0.6392
2,Bin 3,1196.9239879647173,"['P_4', 'P_7', 'P_1', 'P_5']",0,0.6422
3,Bin 4,1190.6828927613021,"['P_1', 'P_5', 'P_4', 'P_6']",0,0.6436
4,Bin 5,1183.5112900209674,"['P_4', 'P_7', 'P_5', 'P_10']",0,0.641
5,Bin 6,1180.1855383823568,"['P_1', 'P_5', 'P_4', 'P_2']",0,0.6433
6,Bin 7,1178.2572224831736,"['P_1', 'P_3', 'P_5', 'P_4']",0,0.641
7,Bin 8,1175.9607801602992,"['P_2', 'P_5', 'P_4']",0,0.5565
8,Bin 9,1174.1769777149213,"['P_5', 'P_4', 'P_6']",0,0.5567
9,Bin 10,1169.031805162833,"['P_1', 'P_5', 'P_9', 'P_4']",0,0.6446
10,Bin 11,1160.8533320584122,"['P_4', 'P_1', 'P_10', 'P_7']",0,0.6438
11,Bin 12,1159.5051643446286,"['P_4', 'P_5', 'P_6', 'P_10']",0,0.6405
12,Bin 13,1158.2252000447395,"['P_2', 'P_5', 'P_4', 'P_3']",0,0.6405
13,Bin 14,1155.9001941057984,"['P_4', 'P_5', 'P_6', 'P_9']",0,0.642
14,Bin 15,1152.1623146242987,"['P_5', 'P_4', 'P_10']",0,0.5506
15,Bin 16,1145.0826098451398,"['P_2', 'P_10', 'P_5', 'P_4']",0,0.6391
16,Bin 17,1144.0572882994006,"['P_4', 'P_5', 'P_7']",0,0.5561
17,Bin 18,1143.1218216664647,"['P_4', 'P_1', 'P_8', 'P_5']",0,0.648
18,Bin 19,1137.224872864901,"['P_4', 'P_1', 'P_10']",0,0.5552
19,Bin 20,1133.9072437353798,"['P_5', 'P_4', 'P_6', 'P_7']",0,0.6434
20,Bin 21,1133.7169138784159,"['P_1', 'P_9', 'P_4']",0,0.5623
21,Bin 22,1133.3156869399963,"['P_2', 'P_5', 'P_4', 'P_9']",0,0.6422
22,Bin 23,1131.6109081136362,"['P_7', 'P_5', 'P_2', 'P_4']",0,0.6431
23,Bin 24,1129.8041408814731,"['P_7', 'P_1', 'P_5', 'P_10']",0,0.6376
24,Bin 25,1124.8326449349993,"['P_4', 'P_7', 'P_1']",0,0.5592
25,Bin 26,1124.7984901996733,"['P_4', 'P_10', 'P_9', 'P_1']",0,0.6432
26,Bin 27,1124.6777108364113,"['P_5', 'P_4', 'P_6', 'P_2']",0,0.6415
27,Bin 28,1121.5064461054915,"['P_4', 'P_5', 'P_7', 'P_1', 'P_10']",0,0.6992
28,Bin 29,1120.5369723464466,"['P_1', 'P_9', 'P_4', 'P_2']",0,0.6477
29,Bin 30,1119.3562896345466,"['P_7', 'P_1', 'P_10']",0,0.5562
30,Bin 31,1118.0362254342544,"['P_7', 'P_3', 'P_4', 'P_5']",0,0.6409
31,Bin 32,1116.3397781759322,"['P_5', 'P_1', 'P_9', 'P_2']",0,0.6419
32,Bin 33,1115.994680406691,"['P_4', 'P_10', 'P_7']",0,0.5612
33,Bin 34,1115.4961729341192,"['P_5', 'P_9', 'P_4']",0,0.555
34,Bin 35,1110.9421383579654,"['P_5', 'P_4', 'P_10', 'P_9']",0,0.6379
35,Bin 36,1110.8700477205339,"['P_4', 'P_1', 'P_2']",0,0.5597
36,Bin 37,1109.7761032291205,"['P_4', 'P_5', 'P_10', 'P_3']",0,0.6361
37,Bin 38,1109.295488192087,"['P_3', 'P_4', 'P_5']",0,0.5521
38,Bin 39,1108.4784985342606,"['P_1', 'P_2', 'P_5', 'P_10']",0,0.6371
39,Bin 40,1107.5201501991899,"['P_1', 'P_3', 'P_4', 'P_2']",0,0.6415
40,Bin 47,952.9241145387023,"['P_2', 'P_4']",0,0.4341
41,Bin 48,907.0931564365297,"['P_2', 'P_1']",0,0.4307
42,Bin 45,503.4168648515426,['P_7'],0,0.2506
43,Bin 41,450.2968594523251,['P_6'],0,0.2506
44,Bin 42,359.0914381110624,"['P_4', 'R_45', 'P_7', 'P_5']",0,0.7528
45,Bin 44,0.03270356825250366,"['R_14', 'R_89']",0,0.695
46,Bin 43,0.0,"['R_21', 'P_9', 'P_4', 'R_74', 'P_7', 'P_2']",0,0.8938
47,Bin 46,0.0,"['R_41', 'P_4', 'R_3', 'P_5']",0,0.8219
48,Bin 49,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9106
49,Bin 50,0.0,"['R_84', 'R_69', 'R_79', 'R_52']",0,0.9051
