,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,5497.678139946757,"['P_7', 'P_4', 'P_6', 'P_2', 'P_5', 'P_1', 'P_8', 'P_3', 'P_9']",2,0.5
1,Bin 2,5497.678139946757,"['P_8', 'P_2', 'P_10', 'P_3', 'P_9', 'P_7', 'P_1', 'P_6', 'P_5']",2,0.5
2,Bin 3,5497.678139946757,"['P_8', 'P_10', 'P_9', 'P_5', 'P_2', 'P_7', 'P_1', 'P_3', 'P_4']",2,0.5
3,Bin 4,4531.793238754077,"['P_8', 'P_9', 'P_1', 'P_10', 'P_6', 'P_4', 'P_3', 'P_7']",2,0.4359
4,Bin 5,4522.073484281023,"['P_7', 'P_8', 'P_4', 'P_10', 'P_1', 'P_9', 'P_5', 'P_2']",2,0.4371
5,Bin 6,4478.045468697969,"['P_8', 'P_10', 'P_3', 'P_9', 'P_7', 'P_1', 'P_5', 'P_2']",2,0.4304
6,Bin 7,4472.223044187835,"['P_7', 'P_8', 'P_4', 'P_10', 'P_6', 'P_2', 'P_5', 'P_1']",2,0.4317
7,Bin 8,4345.6870310914555,"['P_8', 'P_9', 'P_7', 'P_1', 'P_6', 'P_5', 'P_3', 'P_2']",2,0.4294
8,Bin 9,4182.907175339554,"['P_2', 'P_8', 'R_26', 'P_9', 'P_7', 'P_4', 'P_1', 'P_3', 'R_69', 'P_6', 'P_10', 'P_5']",3,0.5322
9,Bin 10,3896.565077985935,"['P_7', 'P_8', 'P_4', 'P_10', 'P_1', 'P_9', 'P_5', 'R_43', 'P_2', 'P_6']",3,0.3905
10,Bin 11,3379.786410520257,"['P_8', 'R_31', 'P_10', 'P_9', 'P_7', 'P_1', 'P_2', 'P_5', 'R_27', 'P_3', 'P_4']",3,0.4676
11,Bin 12,3357.812702063694,"['P_2', 'P_8', 'P_9', 'P_1', 'P_10', 'P_6', 'P_4']",2,0.3418
12,Bin 13,3331.550396467349,"['P_5', 'P_2', 'R_7', 'P_8', 'P_1', 'P_4', 'P_10', 'P_7', 'R_38', 'P_3', 'P_6']",3,0.4647
13,Bin 14,3316.6649094544077,"['P_8', 'P_7', 'P_1', 'R_69', 'P_6', 'P_2', 'P_5', 'P_10', 'P_3', 'P_4']",2,0.5572
14,Bin 15,3300.003627114736,"['P_7', 'P_8', 'P_9', 'P_2', 'P_1', 'P_4', 'P_5']",2,0.3394
15,Bin 16,3290.710449908848,"['P_2', 'P_9', 'R_33', 'P_7', 'P_4', 'P_1', 'P_6', 'P_10', 'P_5', 'R_79', 'P_8']",3,0.4657
16,Bin 17,3282.4092393980627,"['R_26', 'P_9', 'P_7', 'P_4', 'P_3', 'P_6', 'R_36', 'P_10', 'P_8', 'P_5', 'P_2']",3,0.4599
17,Bin 18,3273.6793186930277,"['P_2', 'P_8', 'P_9', 'P_7', 'P_1', 'P_4', 'P_6']",2,0.34
18,Bin 19,3221.3126933031276,"['P_4', 'P_8', 'P_2', 'P_7', 'P_10', 'P_1', 'P_6']",2,0.3392
19,Bin 20,3169.374026081322,"['P_2', 'P_7', 'P_8', 'P_6', 'P_5', 'P_3', 'P_4']",2,0.3343
20,Bin 21,3149.2095727247847,"['P_1', 'P_4', 'P_7', 'P_2', 'P_9', 'P_10', 'P_6']",2,0.3385
21,Bin 22,3086.4730801825294,"['P_2', 'P_7', 'P_8', 'P_4', 'P_10', 'P_3', 'P_6']",2,0.3357
