,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,4344.470056692376,"['P_5', 'P_2', 'P_10', 'P_3', 'P_4', 'P_1', 'P_9', 'P_7']",2,0.4314,0.9314
1,Bin 2,3268.5596812221206,"['P_8', 'P_1', 'P_2', 'P_10', 'P_9', 'P_4', 'P_5']",2,0.3385,0.8385
2,Bin 3,3220.4594361106856,"['P_9', 'P_2', 'P_7', 'P_1', 'P_10', 'P_8', 'P_3']",2,0.3351,0.8351
3,Bin 4,3207.133743246511,"['P_9', 'P_8', 'R_66', 'P_2', 'P_3', 'P_4', 'P_7', 'P_5', 'P_1', 'P_10']",2,0.5603,0.9397
4,Bin 5,3206.6483199420613,"['P_3', 'P_7', 'P_1', 'P_10', 'P_4', 'P_9', 'P_2']",2,0.3384,0.8384
5,Bin 6,3169.085191858622,"['P_6', 'P_3', 'P_4', 'P_1', 'P_10', 'P_9', 'P_2']",2,0.3373,0.8373
6,Bin 7,3130.6269751132254,"['P_4', 'P_10', 'P_2', 'P_9', 'P_3', 'P_8', 'P_6']",2,0.3333,0.8333
7,Bin 8,3123.494259242522,"['P_10', 'R_25', 'P_9', 'P_3', 'P_1', 'P_2', 'R_68', 'P_8', 'P_4', 'P_5', 'P_7']",3,0.4629,0.9101
8,Bin 9,3122.0307346680247,"['P_9', 'P_8', 'P_3', 'P_4', 'P_5', 'P_2', 'P_10']",2,0.3335,0.8335
9,Bin 10,3015.6153176408,"['P_4', 'P_10', 'P_9', 'P_3', 'P_5', 'R_60', 'P_1', 'P_2', 'P_8']",2,0.5091,0.9175
10,Bin 11,3010.7433828965027,"['P_7', 'P_10', 'P_4', 'P_8', 'P_5', 'P_6', 'P_1']",2,0.3324,0.8324
11,Bin 12,2988.411684044642,"['P_4', 'P_10', 'P_9', 'P_1', 'P_8', 'P_3', 'P_5']",2,0.3331,0.8331
12,Bin 13,2986.1510282381173,"['P_4', 'P_2', 'R_44', 'P_10', 'P_1', 'P_9', 'P_7', 'P_5', 'P_8']",2,0.5152,0.9178
13,Bin 14,2778.108788925051,"['P_8', 'P_2', 'P_4', 'P_7', 'P_5', 'P_1', 'P_10', 'R_69']",2,0.436,0.8672
14,Bin 15,2774.403345917732,"['R_23', 'P_4', 'P_2', 'P_10', 'P_7', 'P_8', 'P_5', 'P_1']",2,0.4345,0.8663
15,Bin 16,2771.642227195462,"['P_2', 'P_5', 'P_6', 'R_90', 'R_4', 'P_10', 'P_8', 'P_9', 'P_4', 'P_1']",3,0.3861,0.8463
16,Bin 17,2770.5139705143406,"['P_2', 'R_89', 'P_3', 'P_4', 'P_1', 'P_7', 'P_9', 'P_10']",2,0.4342,0.8694
17,Bin 18,2749.4144648369393,"['P_2', 'P_1', 'P_10', 'R_56', 'P_3', 'P_6', 'P_4', 'P_9']",2,0.436,0.873
18,Bin 19,2744.861451781761,"['P_9', 'R_66', 'P_4', 'P_7', 'P_1', 'P_10', 'P_2', 'P_3']",2,0.4374,0.8704
19,Bin 20,2733.406910698977,"['P_3', 'P_7', 'P_1', 'P_10', 'P_6', 'R_88', 'P_4', 'P_9']",2,0.4334,0.8688
20,Bin 21,2732.816233023995,"['P_4', 'P_2', 'P_10', 'P_1', 'R_79', 'P_9', 'P_7', 'P_5']",2,0.4341,0.8649
