,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,0,"['R_270', 'R_104', 'P_7', 'R_320', 'R_242', 'R_283', 'R_376', 'R_52', 'R_11', 'R_266', 'R_2', 'R_72', 'R_129', 'R_198', 'R_257', 'R_60', 'R_174', 'R_114', 'R_51', 'R_262', 'R_313', 'R_386', 'R_154', 'R_219']",0,1.0,0.5
1,Bin 2,0,"['R_47', 'R_44', 'R_33', 'R_222', 'R_7', 'R_299', 'R_190', 'R_259', 'R_301', 'R_220', 'R_131', 'R_389', 'R_216', 'R_143', 'R_53', 'R_290', 'R_10']",0,1.0,0.5
2,Bin 3,0,"['R_347', 'R_266', 'R_284', 'R_292', 'R_302', 'R_239', 'R_1', 'R_115', 'R_90', 'R_310', 'R_342', 'R_233', 'R_245', 'R_262', 'R_268', 'R_234', 'R_311', 'R_134']",0,1.0,0.5
3,Bin 4,0,"['R_77', 'R_335', 'R_232', 'R_80', 'R_57', 'R_125', 'R_247', 'R_64', 'R_315', 'R_254', 'R_88', 'R_279', 'R_115', 'R_358', 'R_349', 'R_170', 'R_147', 'R_343', 'R_234', 'R_370', 'R_241', 'R_380', 'R_85', 'R_328', 'R_245']",0,1.0,0.5
4,Bin 5,0,"['R_324', 'R_10', 'R_310', 'R_161', 'R_268', 'R_163', 'R_341', 'R_308', 'R_42', 'R_285', 'R_311', 'R_352', 'R_234', 'R_99', 'R_269', 'R_365', 'R_97', 'R_221']",0,1.0,0.5
5,Bin 6,0,"['R_280', 'R_335', 'R_33', 'R_253', 'R_312', 'R_176', 'R_374', 'R_308', 'R_37', 'R_245', 'R_297', 'R_200', 'R_321', 'R_191', 'R_249', 'R_63', 'R_39', 'R_299']",0,1.0,0.5
6,Bin 7,0,"['R_46', 'R_281', 'R_31', 'R_373', 'R_45', 'R_118', 'R_135', 'R_82', 'R_92', 'R_285', 'R_136', 'P_10', 'R_305', 'R_123', 'R_390', 'R_159', 'R_371', 'R_315', 'R_346', 'R_236', 'R_225', 'R_223', 'R_293']",0,1.0,0.5
7,Bin 8,0,"['R_27', 'R_67', 'R_149', 'R_134', 'R_130', 'R_153', 'R_355', 'R_200', 'R_217', 'R_301', 'R_142', 'R_164', 'R_244', 'P_1', 'R_390', 'R_381', 'R_263']",0,1.0,0.5
8,Bin 9,0,"['R_168', 'R_300', 'P_5', 'R_69', 'R_78', 'R_363', 'R_111', 'R_367', 'R_359', 'R_236', 'R_97', 'R_65', 'R_31', 'R_223', 'R_253', 'R_91', 'R_353', 'R_162', 'R_369', 'R_275', 'R_73']",0,1.0,0.5
9,Bin 10,0,"['R_327', 'R_242', 'R_19', 'R_189', 'R_169', 'R_136', 'R_110', 'R_277', 'R_161', 'R_296', 'R_328', 'R_203', 'R_82', 'R_332', 'R_252', 'R_89', 'R_5', 'R_79', 'R_210', 'R_284', 'P_8', 'R_323', 'R_291', 'R_260']",0,1.0,0.5
10,Bin 11,0,"['R_274', 'R_362', 'R_120', 'R_4', 'R_77', 'R_33', 'R_240', 'R_144', 'R_54', 'R_68', 'R_96', 'R_300', 'R_58', 'R_74']",0,0.9994,0.5
11,Bin 12,0,"['R_69', 'R_139', 'R_104', 'R_370', 'R_144', 'R_79', 'R_52', 'R_266', 'R_4', 'R_75', 'R_319', 'R_249', 'R_140', 'R_259', 'R_205', 'R_129', 'R_309', 'R_12', 'R_373', 'R_345', 'R_108', 'R_267', 'R_305', 'R_39', 'R_335', 'R_18']",0,1.0,0.5
12,Bin 13,0,"['R_358', 'R_197', 'R_325', 'R_95', 'R_227', 'R_218', 'R_29', 'R_389', 'R_368', 'R_293', 'R_256', 'R_51', 'R_114', 'R_74', 'R_184', 'R_12', 'R_267', 'R_153', 'R_94']",0,1.0,0.5
13,Bin 14,0,"['R_24', 'R_263', 'R_283', 'R_133', 'R_212', 'R_338', 'R_81', 'R_245', 'R_239', 'P_6', 'R_170', 'R_319', 'R_46', 'R_87', 'R_203', 'R_298', 'R_122', 'R_64', 'R_380']",0,1.0,0.5
14,Bin 15,0,"['R_327', 'R_165', 'R_186', 'R_334', 'R_353', 'R_259', 'R_381', 'R_107', 'R_10', 'R_314', 'R_215', 'R_205', 'R_35', 'R_149']",0,0.9996,0.5
15,Bin 16,0,"['R_222', 'P_7', 'R_148', 'R_83', 'R_238', 'R_379', 'R_152', 'R_304', 'R_360', 'R_176', 'P_8', 'R_52', 'R_27', 'R_282', 'R_369', 'R_155', 'R_106', 'R_1', 'R_105']",0,0.9998,0.5
16,Bin 17,0,"['R_252', 'R_125', 'R_271', 'R_298', 'R_240', 'R_72', 'R_233', 'R_98', 'R_184', 'R_3', 'R_149', 'R_43', 'R_42', 'R_239', 'R_153', 'R_242', 'R_118', 'R_316', 'R_339', 'R_137', 'R_207']",0,1.0,0.5
17,Bin 18,0,"['R_65', 'R_325', 'R_339', 'R_351', 'R_139', 'R_345', 'R_192', 'R_228', 'P_5', 'R_14', 'R_330', 'R_170', 'R_199', 'R_231', 'R_102', 'R_230', 'R_305', 'R_214', 'R_203', 'R_150', 'R_11', 'R_101']",0,1.0,0.5
18,Bin 19,0,"['R_175', 'R_62', 'R_141', 'R_309', 'R_307', 'R_340', 'R_14', 'R_21', 'R_84', 'R_126', 'R_276', 'R_253', 'R_252', 'R_260', 'R_95']",0,1.0,0.5
19,Bin 20,0,"['R_352', 'R_375', 'R_344', 'R_241', 'R_207', 'R_100', 'R_50', 'R_71', 'R_117', 'R_382', 'R_233', 'R_286', 'R_346', 'R_322', 'R_166', 'R_74', 'R_1', 'R_56', 'R_200', 'R_149', 'R_202', 'R_310', 'R_61']",0,1.0,0.5
20,Bin 21,0,"['R_253', 'R_384', 'R_68', 'R_3', 'R_296', 'R_2', 'R_137', 'R_22', 'R_349', 'R_336', 'R_305', 'R_122', 'R_157', 'R_167', 'R_30', 'R_196', 'R_332', 'R_154', 'R_91', 'R_338', 'R_175']",0,1.0,0.5
