,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,5497.678139946757,"['P_3', 'P_5', 'P_8', 'P_10', 'P_4', 'P_9', 'P_7', 'P_1', 'P_2']",2,0.5,1.0
1,Bin 2,4547.7354426103875,"['P_4', 'P_8', 'P_3', 'P_2', 'P_10', 'P_9', 'P_7', 'P_1']",2,0.438,0.938
2,Bin 3,4476.3361886559915,"['P_4', 'P_7', 'P_1', 'P_6', 'P_10', 'P_5', 'P_9', 'P_3']",2,0.4312,0.9312
3,Bin 4,4472.223044187835,"['P_4', 'P_7', 'P_10', 'P_2', 'P_6', 'P_8', 'P_1', 'P_5']",2,0.4317,0.9317
4,Bin 5,4458.47335979868,"['P_4', 'P_8', 'P_2', 'P_10', 'P_9', 'P_7', 'P_6', 'P_3']",2,0.4359,0.9359
5,Bin 6,4447.639681908118,"['P_5', 'P_4', 'P_8', 'P_9', 'P_7', 'P_6', 'P_10', 'P_1']",2,0.4361,0.9361
6,Bin 7,4394.249478742096,"['P_3', 'P_5', 'P_8', 'P_4', 'P_7', 'P_1', 'P_2', 'P_6']",2,0.4331,0.9331
7,Bin 8,4345.6870310914555,"['P_7', 'P_6', 'P_5', 'P_9', 'P_3', 'P_1', 'P_8', 'P_2']",2,0.4294,0.9294
8,Bin 9,4009.1173382964885,"['P_9', 'P_1', 'R_82', 'P_8', 'P_10', 'P_4', 'P_2', 'P_6', 'P_3', 'P_7']",3,0.3937,0.8937
9,Bin 10,3825.6527499580766,"['P_3', 'P_2', 'P_9', 'P_1', 'P_5', 'P_4', 'P_6', 'P_8', 'R_76', 'P_10']",3,0.3889,0.8889
10,Bin 11,3688.137541666232,"['P_1', 'P_4', 'P_7', 'P_3', 'P_6', 'P_8', 'P_5', 'R_106', 'P_10', 'P_9']",3,0.3899,0.8899
11,Bin 12,3357.812702063694,"['P_6', 'P_2', 'P_4', 'P_8', 'P_1', 'P_9', 'P_10']",2,0.3418,0.8418
12,Bin 13,3324.3020753273618,"['P_7', 'P_2', 'P_6', 'P_8', 'P_3', 'R_167', 'P_1', 'P_9', 'R_37', 'P_10', 'P_4']",3,0.4679,0.9135
