,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,4472.223044187835,"['P_4', 'P_7', 'P_10', 'P_1', 'P_2', 'P_5', 'P_8', 'P_6']",2,0.4317
1,Bin 2,3221.3126933031276,"['P_1', 'P_8', 'P_10', 'P_6', 'P_4', 'P_7', 'P_2']",2,0.3392
2,Bin 3,3214.6578321279785,"['P_4', 'P_2', 'P_6', 'P_1', 'P_5', 'P_7', 'P_8']",2,0.335
3,Bin 4,3203.394752331257,"['P_10', 'P_4', 'P_2', 'P_6', 'P_1', 'P_5', 'P_7']",2,0.3336
4,Bin 5,3160.840663904076,"['P_2', 'P_3', 'P_6', 'P_8', 'P_4', 'R_39', 'P_5', 'P_1', 'P_10']",2,0.5101
5,Bin 6,3158.9727107005824,"['P_1', 'P_8', 'P_10', 'R_249', 'P_6', 'P_4', 'P_5', 'P_7', 'P_2']",2,0.5093
6,Bin 7,3152.350153083194,"['P_2', 'P_6', 'P_1', 'P_4', 'P_8', 'P_5', 'P_10']",2,0.3336
7,Bin 8,3093.8517963336108,"['P_2', 'P_6', 'P_7', 'P_5', 'P_8', 'P_10', 'P_1']",2,0.3319
8,Bin 9,3088.4577798292053,"['P_5', 'P_4', 'P_7', 'P_1', 'P_10', 'P_8', 'P_2']",2,0.3346
9,Bin 10,3080.292869846436,"['P_2', 'P_6', 'P_7', 'P_8', 'P_10', 'P_5', 'P_4']",2,0.3309
10,Bin 11,3068.4232617305397,"['P_10', 'P_4', 'R_166', 'P_5', 'P_8', 'P_2', 'P_6', 'P_1', 'P_7']",2,0.5094
11,Bin 12,3059.5645803122197,"['P_4', 'P_7', 'P_10', 'P_1', 'P_2', 'P_5', 'P_6', 'P_8', 'R_197']",2,0.5109
12,Bin 13,3010.7433828965027,"['P_1', 'P_10', 'P_4', 'P_5', 'P_6', 'P_8', 'P_7']",2,0.3324
13,Bin 14,2962.9643739301428,"['P_5', 'P_6', 'P_8', 'P_4', 'P_2', 'P_7', 'R_196', 'P_1', 'P_10']",2,0.5078
14,Bin 15,2807.4926133720746,"['P_6', 'P_8', 'P_1', 'P_10', 'P_4', 'R_39', 'P_2', 'P_5']",2,0.4378
15,Bin 16,2796.7998315550267,"['P_2', 'P_1', 'P_8', 'P_10', 'R_249', 'P_6', 'P_4', 'P_7']",2,0.4381
16,Bin 17,2779.0780657927958,"['P_4', 'P_6', 'P_7', 'P_8', 'P_1', 'R_40', 'P_10', 'P_2']",2,0.4397
17,Bin 18,2770.6512041351366,"['P_8', 'P_7', 'R_380', 'P_2', 'P_10', 'P_1', 'P_5', 'P_4']",2,0.437
18,Bin 19,2764.6957894015504,"['P_2', 'P_6', 'R_218', 'P_7', 'P_5', 'P_10', 'P_4', 'P_1']",2,0.4376
19,Bin 20,2738.2405478967917,"['P_7', 'P_1', 'P_2', 'P_8', 'P_4', 'R_369', 'P_6', 'P_10']",2,0.4317
20,Bin 21,2736.282478448136,"['P_1', 'P_4', 'P_5', 'P_8', 'P_7', 'P_2', 'R_50', 'P_6']",2,0.4364
21,Bin 22,2732.0605276400156,"['P_4', 'P_8', 'P_7', 'P_2', 'R_21', 'P_10', 'P_1', 'P_5']",2,0.4349
22,Bin 23,2727.1517098994477,"['P_10', 'P_4', 'P_5', 'P_8', 'P_2', 'P_1']",1,0.4969
23,Bin 24,2724.121129590357,"['R_338', 'P_2', 'P_7', 'P_1', 'P_6', 'P_5', 'P_8', 'P_4']",2,0.4332
24,Bin 25,2723.614304764123,"['P_4', 'P_7', 'P_10', 'P_1', 'P_2', 'R_94', 'P_5', 'P_6']",2,0.4329
25,Bin 26,2710.6969259374005,"['P_2', 'P_7', 'P_10', 'P_1', 'P_4', 'P_8']",1,0.4986
26,Bin 27,2701.908835755717,"['P_7', 'P_1', 'P_8', 'R_202', 'P_4', 'P_6', 'P_10', 'P_2', 'R_344', 'P_5']",3,0.3906
27,Bin 28,2697.52365845947,"['R_212', 'P_2', 'P_1', 'P_8', 'P_4', 'P_7', 'P_5', 'P_10']",2,0.4404
28,Bin 29,2693.7209486107654,"['P_6', 'P_7', 'P_10', 'P_8', 'R_212', 'P_2', 'P_1', 'P_4']",2,0.4379
29,Bin 30,2689.1693946638047,"['P_6', 'P_10', 'P_1', 'P_2', 'P_7', 'P_4']",1,0.4948
30,Bin 31,2684.773488648596,"['P_1', 'P_10', 'P_5', 'R_31', 'P_6', 'P_8', 'P_7', 'R_158', 'P_2', 'P_4']",3,0.3857
31,Bin 32,2680.5835459184746,"['P_8', 'P_7', 'R_385', 'P_2', 'P_10', 'P_1', 'P_5', 'P_4']",2,0.4331
32,Bin 33,2679.8479159918743,"['P_2', 'P_4', 'P_7', 'P_10', 'P_1', 'P_5']",1,0.4965
33,Bin 34,2678.4597761864584,"['P_2', 'P_6', 'P_1', 'P_7', 'P_4', 'P_10', 'R_197', 'P_8']",2,0.44
34,Bin 35,2674.2026463823404,"['P_1', 'P_10', 'P_4', 'P_5', 'P_8', 'P_2', 'P_7', 'R_28']",2,0.4316
35,Bin 36,2673.228612871264,"['P_6', 'R_370', 'P_10', 'P_1', 'P_2', 'P_8', 'P_5', 'P_4']",2,0.4377
36,Bin 37,2672.822478921272,"['P_1', 'P_6', 'P_7', 'R_382', 'P_2', 'P_5', 'P_10', 'P_8']",2,0.4336
37,Bin 38,2671.1309688488636,"['P_4', 'P_2', 'R_151', 'P_10', 'P_1', 'P_5', 'P_6', 'P_7', 'R_207', 'P_8']",3,0.3884
38,Bin 39,2664.3419585904016,"['P_2', 'P_3', 'R_344', 'P_8', 'R_101', 'P_4', 'P_1', 'P_10', 'P_5', 'P_7']",3,0.3865
39,Bin 40,2657.6077245479582,"['R_32', 'P_5', 'P_7', 'P_1', 'P_10', 'P_4', 'P_8', 'P_2']",2,0.4342
40,Bin 50,1587.148777838936,"['P_1', 'P_10', 'P_8', 'P_7']",1,0.2956
41,Bin 42,1429.3525226900285,"['P_10', 'P_2', 'P_6', 'P_1', 'R_302', 'P_5']",2,0.2541
